topic,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brute-force / Timing Attacks (T13),0.9320078230701858,0.9583118923961422,0.9839350205671177,0.9335126852733373,1.0957250120240898,1.1324314160611366,1.1680220920210103,1.151545804287448,1.1575910738177473,1.063737017863767,1.1347168757933979,1.21387661121683,1.2493697866178
Cross-site Request Forgery (T4),5.043894174373726,4.751156878571004,5.824504947969614,6.772798708936086,6.662704994704352,6.8777219560318885,7.9770490963422755,8.777745306943402,9.211512668180008,10.698884809253215,10.587345423624498,11.333847538147626,12.240073660186408
Cross-site Scripting (T11),10.240436223470589,10.069538132005999,9.953843148579558,8.405738359759379,7.810434834103913,7.76684297834972,7.346931151356382,7.400891543608723,7.3567007733412595,7.427221378826,7.521203553491784,8.076754680040057,7.552724064480487
Encryption Errors (T7),1.6045455401936428,2.067231531471534,2.261913536914084,2.178156878253148,2.5383353621160034,2.569967430841875,2.9972734926469125,3.187527016076175,3.429969638273959,3.0669451354170194,2.8163454537243804,3.183107759752208,2.834581209918781
File-Related Vulnerabilities (T5),1.3346923771400878,2.066092838013415,1.9759760475626178,2.011743110100824,2.6997915853325662,2.5434692341532523,2.9811367901521337,2.903263675624674,2.9015330572847824,3.1724381813907567,3.457537334325702,3.7814760501283136,4.152948353396552
General Memory Errors (T10),7.871969678477283,12.462618628646744,14.346808127724318,16.770188130108554,18.52651239284058,20.58430240775247,20.179676701549642,19.768914971929608,17.664619995440432,17.557496083175852,17.48161099516144,17.274881898163223,20.198356815534225
Malwares (T1),1.0094938225019379,1.6456790907351775,1.5730460701601028,1.53855951818773,2.082830456270902,2.1026583280102664,2.58199380255093,2.753748708602154,3.3124205214776326,3.0981602529410313,3.0524082745230476,2.7863581226503036,3.0137317900397487
Network Attacks (T9),1.2295572731131514,0.8201205751013965,1.1624351313489665,1.42114328073802,1.9737917143277286,2.1055754803487186,2.696396489975873,3.0560306510238937,3.2656504025054405,3.316175569848419,3.206599954140279,3.3675245820129582,3.3313507448632365
Resource Leaks (T8),7.384720378205678,11.313210061188181,12.375795164962572,13.028560980118012,10.540870482911444,9.43107663585766,8.699322805960671,8.37106990850333,8.092361967611156,7.604759509266767,6.6383765216252595,6.652633290175672,6.5887906108972105
SQL Injection (T2),14.113511665824621,12.306357702500252,11.242701735283891,11.71575322687272,11.041827082841735,11.482720473610547,10.372479690949424,9.168926704652382,8.41403633756542,8.554302898509661,9.21185966552228,8.239167656908238,7.512590809193963
Synchronisation Errors (T6),4.6897649488041395,3.888370240713621,3.64517373451698,3.218736432879609,3.1931746645457606,3.6270213993897,3.1461825674099915,2.8599361489216486,2.7511702285980353,3.0341879317690243,3.344067322422368,3.1541580332515333,3.838632936109778
Vulnerability Testing (T3),5.913739283067143,5.322424277424986,4.985467320017087,4.708822216452436,4.7595582997078685,4.322496357944066,4.292873968151888,4.616436318014607,5.1269586321879235,5.489627546037567,5.523599709189216,6.081066518253296,5.888498610414685
Vulnerability Theory (T12),26.30402430836596,19.944217862279782,17.400787354392165,15.667261332587554,15.282084162294357,13.884055254607402,14.082619875235098,14.325311613985987,15.771073338143488,14.41697970677373,14.601374076780424,13.826854638003342,10.784643412918266
