topic,|topic_i|,|topic_i|_drop,sum_D1,sum_D2,sum_D3,|topic_i|/sum_D1,sum_D2/|topic_i|_drop,|topic_i|_drop/sum_D3,difficulty
Malwares (T1),850,323,323.0,0.5805555555555556,2.1623331409667546,2.6315789473684212,0.5805555555555556,149.37568771460923,6.111015268679263
SQL Injection (T2),7482,4285,4285.0,0.2125,44.29406615798417,1.7460910151691948,0.2125,96.73982028917011,3.298706650836198
Vulnerability Scanning Tools (T3),2149,744,744.0,6.00375,3.1536533344708704,2.888440860215054,6.00375,235.91686247430573,15.993678232677851
Cross-site Request Forgery (T4),7265,3306,3306.0,1.7893055555555555,16.27422762632645,2.1975196612220205,1.7893055555555555,203.14328126097723,9.278403337375995
File-Related Vulnerabilities (T5),1075,406,406.0,0.7124999999999999,2.3464032257704406,2.647783251231527,0.7124999999999999,173.03078837470062,6.885416701360932
Synchronisation Errors (T6),2928,1494,1494.0,0.7933333333333333,9.937803914314834,1.9598393574297188,0.7933333333333333,150.33502500969848,6.159972648377011
Encryption Errors (T7),1056,560,560.0,1.0190277777777776,4.682462426219462,1.8857142857142857,1.0190277777777776,119.59519351704317,6.125269664530428
Resource Leaks (T8),8966,4033,4033.0,0.8688888888888889,22.3361487312446,2.223158938755269,0.8688888888888889,180.5593277751816,7.039117722834039
Network Attacks (T9),855,326,326.0,2.040277777777778,2.072411418275414,2.6226993865030677,2.040277777777778,157.30467277162825,9.441909045960195
Memory Allocation Errors (T10),16364,8863,8863.0,0.2627777777777778,88.55167238890633,1.8463274286359022,0.2627777777777778,100.08845412964045,3.6483271874860583
Cross-site Scripting (T11),5529,2732,2732.0,0.574861111111111,17.04092746715594,2.023792093704246,0.574861111111111,160.3199124734001,5.713542084891251
Vulnerability Theory (T12),4097,2318,2318.0,0.7976388888888889,17.756750817271335,1.767471958584987,0.7976388888888889,130.54190059058368,5.688131061667038
Brute-force / Timing Attacks (T13),256,129,129.0,0.5788888888888889,0.8298214598235636,1.9844961240310077,0.5788888888888889,155.45512648880873,5.631405998601608
