topic,|topic_i|,|topic_i|_drop,sum_D1,sum_D2,sum_D3,|topic_i|/sum_D1,sum_D2/|topic_i|_drop,|topic_i|_drop/sum_D3,difficulty
Malwares (T1),1008,436,436.0,1.1281944444444445,1.6727833821004343,2.311926605504587,1.1281944444444445,260.64343098180206,8.79295656440641
SQL Injection (T2),601,290,290.0,1.6015277777777777,0.75446999857134,2.0724137931034483,1.6015277777777777,384.3757877041397,10.845651808986617
Vulnerability Scanning Tools (T3),123,37,37.0,2.8580555555555556,0.12566120010919254,3.324324324324324,2.8580555555555556,294.44251660694846,14.090449840660147
Cross-site Request Forgery (T4),779,381,381.0,2.167777777777778,1.2627482106093153,2.0446194225721785,2.167777777777778,301.7228587606991,11.017383966728774
File-Related Vulnerabilities (T5),316,145,145.0,1.4291666666666667,0.44244785275066345,2.179310344827586,1.4291666666666667,327.7222368659864,10.06860468197244
Synchronisation Errors (T6),11,3,3.0,8.424444444444445,0.02000422725093814,3.6666666666666665,8.424444444444445,149.9683023176668,16.670068794327964
Encryption Errors (T7),1041,548,548.0,0.9608333333333334,2.696755292684713,1.8996350364963503,0.9608333333333334,203.2071658435301,7.184872796993852
Network Attacks (T9),1280,580,580.0,1.4555555555555555,2.1254720739480053,2.206896551724138,1.4555555555555555,272.8805553877102,9.570349194105132
Memory Allocation Errors (T10),404,167,167.0,3.6277777777777778,0.4534912800863898,2.4191616766467066,3.6277777777777778,368.2540488279876,14.784876467308376
Cross-site Scripting (T11),1239,616,616.0,1.4816666666666667,2.092428728361741,2.0113636363636362,1.4816666666666667,294.39473452569865,9.573198136833964
Vulnerability Theory (T12),5558,2813,2813.0,1.538888888888889,13.213541880366325,1.9758265197298257,1.538888888888889,212.88765915062993,8.650386660827424
Brute-force / Timing Attacks (T13),92,49,49.0,0.7163888888888889,0.19003700594771583,1.8775510204081634,0.7163888888888889,257.84451694361667,7.025860077656908
