postid,hours_for_accepted_answer,nanswers,view_count,answersviews
1651616,92355.08333333333,5.0,6203.0,0.0008060615831049493
3146324,72119.4811111111,4.0,68208.0,5.864414731409805e-05
3222341,70646.55333333333,5.0,4236.0,0.0011803588290840415
188870,69983.2636111111,5.0,39361.0,0.00012702929295495543
3445988,60372.623611111114,1.0,1873.0,0.0005339028296849973
3475648,57270.09361111111,5.0,33401.0,0.00014969611688272805
12428026,53143.1575,4.0,2819.0,0.001418942887548776
1000002,49139.115,2.0,72180.0,2.770850651149903e-05
2392100,48606.48388888889,6.0,64501.0,9.302181361529279e-05
26649239,48576.7225,2.0,793.0,0.0025220680958385876
5441777,47084.82444444444,4.0,4168.0,0.0009596928982725527
2802298,45839.833333333336,2.0,1170.0,0.0017094017094017094
2178115,44354.51972222222,6.0,6476.0,0.0009264978381717109
14131108,43763.97,2.0,6519.0,0.00030679552078539653
7055657,43441.215833333335,2.0,1785.0,0.0011204481792717086
14118586,42989.408055555556,1.0,210.0,0.004761904761904762
24473415,42057.585277777776,2.0,1153.0,0.0017346053772766695
28992329,41128.24,2.0,1346.0,0.0014858841010401188
4128885,38732.326944444445,5.0,3176.0,0.0015743073047858943
1113422,37096.10555555556,7.0,72886.0,9.604039184479872e-05
6287903,36253.41,3.0,122658.0,2.4458249767646627e-05
23074190,35168.40472222222,1.0,807.0,0.0012391573729863693
5584524,35115.69805555556,2.0,4397.0,0.00045485558335228563
19322973,34579.10138888889,6.0,17779.0,0.00033747679847010516
134099,34441.641388888886,7.0,211536.0,3.309129415324106e-05
16969248,33283.282222222224,2.0,3603.0,0.0005550929780738274
36088976,33124.467777777776,2.0,585.0,0.003418803418803419
3559621,32624.217777777776,7.0,19846.0,0.0003527159125264537
22478392,31877.288333333334,6.0,11788.0,0.0005089921954530031
25356625,31848.591666666667,1.0,784.0,0.0012755102040816326
23294996,31753.61,1.0,7719.0,0.00012955045990413266
34708143,31367.987777777777,2.0,930.0,0.002150537634408602
27529800,31120.533055555556,2.0,2957.0,0.0006763611768684477
3684239,31066.75527777778,2.0,5392.0,0.000370919881305638
9731800,30909.062222222223,3.0,446.0,0.006726457399103139
14519114,30201.371666666666,3.0,2886.0,0.0010395010395010396
13829791,30008.569166666668,1.0,1278.0,0.000782472613458529
20501980,28965.254444444443,2.0,370.0,0.005405405405405406
6477574,28577.168055555554,4.0,17139.0,0.00023338584514849173
34134619,28452.614166666666,1.0,216.0,0.004629629629629629
3940576,28228.18472222222,12.0,13298.0,0.0009023913370431644
798933,27659.338333333333,3.0,1491.0,0.002012072434607646
43005644,27484.343333333334,2.0,2444.0,0.0008183306055646482
7819809,27052.739166666666,1.0,1141.0,0.0008764241893076249
6968074,26738.608333333334,3.0,11898.0,0.0002521432173474534
5633289,26413.8725,2.0,549.0,0.0036429872495446266
27994063,26129.483888888888,2.0,2081.0,0.0009610764055742432
6729351,26103.60361111111,1.0,3013.0,0.00033189512114171923
19128243,25699.873333333333,1.0,1682.0,0.0005945303210463733
43948315,25439.736944444445,1.0,1071.0,0.0009337068160597573
3343113,25284.16,3.0,4082.0,0.0007349338559529642
4031617,25015.136944444443,3.0,4597.0,0.0006525995214270176
23682114,24919.159444444445,2.0,1651.0,0.0012113870381586917
20365010,24580.778611111113,1.0,1353.0,0.0007390983000739098
34313354,24161.735833333332,1.0,1385.0,0.0007220216606498195
27834257,23978.149444444443,1.0,318.0,0.0031446540880503146
11973452,23825.437777777777,2.0,908.0,0.0022026431718061676
13696621,23747.959722222222,2.0,6129.0,0.00032631750693424703
45524997,23741.696944444444,1.0,627.0,0.001594896331738437
2375798,23642.786944444444,5.0,296.0,0.016891891891891893
8587567,23570.713888888888,2.0,2173.0,0.0009203865623561896
40783170,23353.73888888889,1.0,1885.0,0.0005305039787798408
2856530,23068.136388888888,6.0,4228.0,0.0014191106906338694
11485159,23003.760555555556,1.0,198.0,0.005050505050505051
32828037,22734.592777777776,2.0,828.0,0.0024154589371980675
41140969,21980.796388888888,4.0,3743.0,0.0010686615014694097
2369715,21954.02388888889,3.0,4610.0,0.0006507592190889371
19793695,21879.870555555557,5.0,10206.0,0.0004899078973153047
13231570,21438.42861111111,3.0,1173.0,0.0025575447570332483
35686019,21396.238333333335,2.0,3411.0,0.0005863383172090296
38305108,21288.726944444443,2.0,344.0,0.005813953488372093
9142786,21207.200277777778,3.0,1827.0,0.0016420361247947454
28792621,21184.118611111113,1.0,1196.0,0.0008361204013377926
40677798,20809.215555555555,2.0,1241.0,0.0016116035455278
36141235,20577.74861111111,1.0,409.0,0.0024449877750611247
19244144,20543.559444444443,1.0,1222.0,0.0008183306055646482
36333978,20510.54138888889,3.0,73664.0,4.0725456125108604e-05
25166051,20498.07138888889,1.0,1415.0,0.0007067137809187279
27346616,20441.351666666666,1.0,99.0,0.010101010101010102
31673604,20346.91,1.0,297.0,0.003367003367003367
31715074,20304.858888888888,2.0,2416.0,0.0008278145695364238
10647394,20181.713333333333,2.0,248.0,0.008064516129032258
27410804,20007.839444444446,1.0,60.0,0.016666666666666666
8770688,19721.266666666666,2.0,1404.0,0.0014245014245014246
23395912,19656.00888888889,3.0,2186.0,0.0013723696248856359
31067300,19535.674444444445,3.0,6088.0,0.0004927726675427069
1984426,19475.684444444443,2.0,2132.0,0.0009380863039399625
3552222,19221.260555555556,2.0,1988.0,0.001006036217303823
8353110,19130.73138888889,3.0,14387.0,0.00020852158198373532
48456729,18988.729166666668,1.0,314.0,0.0031847133757961785
43802888,18988.190555555557,1.0,145.0,0.006896551724137931
493909,18809.72333333333,1.0,296.0,0.0033783783783783786
12295995,18694.644166666665,3.0,6851.0,0.00043789227849948915
41950929,18690.118611111113,1.0,330.0,0.0030303030303030303
11242795,18642.453611111112,1.0,17277.0,5.7880419054233955e-05
14710208,18175.965277777777,2.0,598.0,0.0033444816053511705
10221296,17939.51,2.0,1433.0,0.0013956734124214933
40337152,17694.415833333333,1.0,230.0,0.004347826086956522
33556428,17636.852777777778,3.0,62.0,0.04838709677419355
9720756,17475.41277777778,2.0,9132.0,0.0002190100744634253
22917760,17312.245555555557,1.0,545.0,0.001834862385321101
4891449,17271.254444444443,1.0,1975.0,0.0005063291139240507
5140998,17269.001666666667,2.0,1705.0,0.0011730205278592375
23214616,17159.360833333332,1.0,791.0,0.0012642225031605564
1198900,17074.179166666665,2.0,1435.0,0.0013937282229965157
18204984,16999.8,1.0,519.0,0.0019267822736030828
51086638,16931.719166666666,2.0,2108.0,0.0009487666034155598
3451203,16899.661944444444,3.0,28226.0,0.00010628498547438532
27920143,16871.689444444444,1.0,140.0,0.007142857142857143
5080922,16703.575,2.0,1538.0,0.0013003901170351106
9764206,16648.327777777777,1.0,119.0,0.008403361344537815
2992704,16389.236944444445,1.0,2049.0,0.0004880429477794046
40876375,16354.634444444444,1.0,69.0,0.014492753623188406
5173477,16226.675555555556,2.0,270.0,0.007407407407407408
8392804,16057.4675,2.0,850.0,0.002352941176470588
11615958,16045.699444444444,2.0,3256.0,0.0006142506142506142
6880232,16023.819444444445,8.0,145077.0,5.514313088911406e-05
48673308,16005.481944444444,1.0,752.0,0.0013297872340425532
30298117,15840.183611111112,2.0,13559.0,0.00014750350320820118
28616901,15815.834722222222,1.0,233.0,0.004291845493562232
48529564,15743.801111111112,1.0,209.0,0.004784688995215311
15574486,15733.099166666667,4.0,15091.0,0.0002650586442250348
46456399,15566.621666666666,2.0,861.0,0.0023228803716608595
9606307,15189.522777777778,1.0,4245.0,0.00023557126030624264
7782120,15129.156111111111,2.0,8394.0,0.0002382654276864427
3022907,15074.40361111111,4.0,941.0,0.004250797024442083
3134394,14997.308333333332,2.0,2830.0,0.0007067137809187279
5807504,14967.308888888889,1.0,2003.0,0.0004992511233150275
5888711,14920.00861111111,1.0,517.0,0.0019342359767891683
9377469,14893.330277777777,1.0,257.0,0.0038910505836575876
12404759,14853.865555555556,5.0,1272.0,0.003930817610062893
51841308,14766.280555555555,1.0,256.0,0.00390625
35520946,14742.135,4.0,12015.0,0.0003329171868497711
34384934,14628.240277777777,1.0,314.0,0.0031847133757961785
7987712,14587.59888888889,3.0,20818.0,0.0001441060620616774
39634868,14430.342222222222,1.0,1415.0,0.0007067137809187279
34716286,14382.576111111111,1.0,65.0,0.015384615384615385
33377204,14374.825833333334,1.0,340.0,0.0029411764705882353
33227375,14345.69611111111,1.0,1341.0,0.0007457121551081282
