,hours_for_accepted_answer,nanswers,view_count,answersviews
3848,37286.038611111115,3.0,102608.0,2.92374863558397e-05
45864,36710.25833333333,1.0,1200.0,0.0008333333333333334
36001,34456.133055555554,3.0,3497.0,0.0008578781812982557
100548,33265.92611111111,2.0,3468.0,0.0005767012687427913
111550,28796.06,2.0,497.0,0.004024144869215292
134034,27094.31527777778,4.0,804.0,0.004975124378109453
4699,26920.504722222224,3.0,2704.0,0.0011094674556213018
49852,26589.57222222222,4.0,2052.0,0.001949317738791423
8518,24934.03111111111,2.0,752.0,0.0026595744680851063
92137,23357.26027777778,3.0,6967.0,0.00043060140663126167
120680,22812.886944444443,1.0,1032.0,0.0009689922480620155
134095,20950.189166666667,1.0,329.0,0.00303951367781155
133565,20220.85361111111,1.0,314.0,0.0031847133757961785
74656,20077.758611111112,3.0,18887.0,0.00015883941335310001
438,19604.54,8.0,3470.0,0.0023054755043227667
43794,18993.941666666666,1.0,825.0,0.0012121212121212121
158584,17525.936944444446,1.0,100.0,0.01
68216,17514.307777777776,1.0,2174.0,0.00045998160073597056
85764,17401.59972222222,3.0,3655.0,0.0008207934336525308
120290,17390.72611111111,1.0,455.0,0.002197802197802198
53197,15860.378611111111,2.0,500.0,0.004
143942,15516.916944444445,1.0,577.0,0.0017331022530329288
119869,14703.923888888889,2.0,549.0,0.0036429872495446266
119165,14282.423333333334,2.0,375.0,0.005333333333333333
158920,13599.735,1.0,256.0,0.00390625
158045,13507.613611111112,3.0,12415.0,0.00024164317358034635
177458,12201.31111111111,1.0,305.0,0.003278688524590164
143122,11570.556388888888,3.0,3235.0,0.0009273570324574962
380,11493.977222222222,2.0,2033.0,0.000983767830791933
135492,11436.935833333333,1.0,479.0,0.0020876826722338203
43546,11334.81388888889,1.0,949.0,0.001053740779768177
172369,10959.39388888889,1.0,2251.0,0.000444247001332741
102922,10854.996388888889,3.0,324.0,0.009259259259259259
95909,9598.069722222222,2.0,1284.0,0.001557632398753894
151164,9470.052777777777,1.0,1456.0,0.0006868131868131869
120614,9115.326388888889,1.0,1439.0,0.0006949270326615705
184885,8962.073055555555,1.0,605.0,0.001652892561983471
123415,8864.166111111112,2.0,1474.0,0.0013568521031207597
113543,8743.36,1.0,470.0,0.002127659574468085
168913,8655.222222222223,1.0,92.0,0.010869565217391304
187767,8551.518055555556,1.0,102.0,0.00980392156862745
104738,8175.9655555555555,4.0,3534.0,0.0011318619128466328
137104,8104.666666666667,3.0,15051.0,0.00019932230416583617
138226,8098.153888888889,2.0,681.0,0.002936857562408223
264,7863.833888888889,4.0,10084.0,0.0003966679888932963
157478,7860.333611111111,2.0,15886.0,0.0001258970162407151
190610,7439.223888888889,1.0,235.0,0.00425531914893617
191124,7323.5275,1.0,1124.0,0.0008896797153024911
80454,7226.668611111111,3.0,7281.0,0.00041203131437989287
54626,7040.766666666666,1.0,108.0,0.009259259259259259
92846,6673.76,4.0,1872.0,0.002136752136752137
41207,6517.136388888889,3.0,1905.0,0.0015748031496062992
142767,6365.696944444445,1.0,279.0,0.0035842293906810036
159261,6292.551944444444,1.0,79.0,0.012658227848101266
11363,5857.8452777777775,3.0,18720.0,0.00016025641025641026
182739,5851.408055555556,1.0,1998.0,0.0005005005005005005
141729,5777.543333333333,2.0,217.0,0.009216589861751152
143993,5699.534722222223,1.0,2613.0,0.0003827018752391887
189360,5686.720833333334,1.0,2735.0,0.00036563071297989033
6998,5511.768611111111,4.0,3804.0,0.0010515247108307045
117260,5431.4047222222225,2.0,97.0,0.020618556701030927
128503,5113.902777777777,1.0,2804.0,0.0003566333808844508
103936,5083.637222222223,2.0,768.0,0.0026041666666666665
165466,5013.335555555555,1.0,4454.0,0.000224517287831163
31653,4983.872777777778,6.0,3276.0,0.0018315018315018315
146610,4724.883611111111,2.0,934.0,0.0021413276231263384
8621,4666.221388888889,1.0,1733.0,0.0005770340450086555
171711,4538.093333333333,2.0,5583.0,0.0003582303421099767
115832,4477.921111111111,2.0,11989.0,0.0001668195846192343
160014,4330.8261111111115,2.0,2528.0,0.0007911392405063291
17638,4215.366666666667,4.0,1783.0,0.002243409983174425
83331,4200.670555555555,1.0,1875.0,0.0005333333333333334
42618,4051.668611111111,5.0,25255.0,0.00019798059790140566
63947,4005.138611111111,3.0,9629.0,0.00031155883269290684
18035,3945.5494444444444,3.0,545.0,0.005504587155963303
174929,3894.380277777778,1.0,632.0,0.0015822784810126582
151306,3800.833888888889,1.0,1360.0,0.0007352941176470588
179831,3784.1052777777777,1.0,1268.0,0.0007886435331230284
207267,3715.5447222222224,1.0,1787.0,0.0005595970900951316
220999,3711.5261111111113,3.0,138.0,0.021739130434782608
204706,3623.1794444444445,3.0,173.0,0.017341040462427744
120684,3613.52,2.0,140.0,0.014285714285714285
214534,3612.969722222222,4.0,120.0,0.03333333333333333
170070,3574.904722222222,2.0,1159.0,0.001725625539257981
179278,3567.032222222222,1.0,2711.0,0.00036886757654002215
126392,3428.0138888888887,3.0,809.0,0.003708281829419036
83171,3337.3219444444444,2.0,10832.0,0.00018463810930576072
126149,3294.5344444444445,2.0,2029.0,0.0009857072449482504
151973,3250.1244444444446,1.0,389.0,0.002570694087403599
179900,3124.360833333333,2.0,271.0,0.007380073800738007
46652,3107.154722222222,1.0,1522.0,0.000657030223390276
153330,2900.6047222222223,2.0,503.0,0.003976143141153081
147942,2898.6644444444446,2.0,1771.0,0.001129305477131564
172583,2887.0480555555555,2.0,267.0,0.00749063670411985
51366,2853.6494444444443,1.0,3943.0,0.000253613999492772
154181,2776.9625,1.0,40.0,0.025
2231,2737.591388888889,12.0,41251.0,0.00029090203873845483
56366,2709.698611111111,2.0,1181.0,0.001693480101608806
83356,2689.0875,1.0,11177.0,8.946944618412812e-05
168412,2686.5630555555554,1.0,12666.0,7.895152376440866e-05
150356,2573.0994444444445,1.0,2469.0,0.0004050222762251924
106122,2534.8544444444447,1.0,2044.0,0.0004892367906066536
102642,2503.5994444444445,2.0,3945.0,0.0005069708491761723
26660,2488.5202777777777,4.0,4341.0,0.0009214466712739
