topic,|topic_i|,sum_favorite,sum_views,sum_score,sum_ncomments,(f*v*s*n)^(1/4),popularity
Malwares (T1),1008,781.0,2006420.0,2871.0,2348.0,10137.970935036104,10.057510848250104
SQL Injection (T2),601,692.0,2570691.0,2315.0,1409.0,8727.794057223155,14.522119895546014
Vulnerability Scanning Tools (T3),123,50.0,227376.0,156.0,183.0,754.7838145014553,6.136453776434595
Cross-site Request Forgery (T4),779,1090.0,2639213.0,3362.0,1312.0,10613.487700492258,13.624502824765415
File-Related Vulnerabilities (T5),316,217.0,801788.0,742.0,527.0,2871.993493009969,9.088587003196103
Synchronisation Errors (T6),11,15.0,57901.0,31.0,26.0,162.65899749793013,14.787181590720921
Encryption Errors (T7),1041,1343.0,2540052.0,4475.0,2003.0,13223.552759058064,12.702740402553376
Resource Leaks (T8),5,4.0,4714.0,13.0,5.0,33.27290588203533,6.654581176407066
Network Attacks (T9),1280,1257.0,4395388.0,3941.0,2419.0,15149.339550103794,11.835421523518589
Memory Allocation Errors (T10),404,603.0,891332.0,1378.0,687.0,4749.421253100585,11.755993200744022
Cross-site Scripting (T11),1239,1100.0,3157709.0,3847.0,2472.0,13481.364800713434,10.880843261269924
Vulnerability Theory (T12),5558,10612.0,14768827.0,33332.0,12773.0,90380.42568078314,16.261321641018917
Brute-force / Timing Attacks (T13),92,171.0,291372.0,550.0,200.0,1530.0624344561543,16.63111341800168
