topic_q,topic_a,score
T1,T1,60.097400553590035
T1,T2,24.486970081595743
T1,T3,24.54895929651851
T1,T4,15.215924201213882
T1,T5,16.539255791199487
T1,T6,5.256390130183367
T1,T7,12.953611445250516
T1,T8,13.139208950941722
T1,T9,11.21140392592893
T1,T10,22.062070792844622
T1,T11,26.25139426111606
T1,T12,68.52724063633542
T1,T13,2.8253401245674867
T2,T1,29.37177503904706
T2,T2,1657.426042660778
T2,T3,78.20859073143676
T2,T4,146.0538073575516
T2,T5,45.168481667214394
T2,T6,79.245589960688
T2,T7,80.08618082551082
T2,T8,117.8920984130653
T2,T9,32.88709810715729
T2,T10,236.20808683444383
T2,T11,308.6349322337367
T2,T12,528.9907111783278
T2,T13,34.117405940057225
T3,T1,30.527075460460846
T3,T2,81.2943019362802
T3,T3,234.63317527320615
T3,T4,67.61168305631465
T3,T5,37.9200289520333
T3,T6,37.91405759647596
T3,T7,23.913921363501053
T3,T8,164.11465665194345
T3,T9,17.62636181567198
T3,T10,165.82951972723367
T3,T11,78.4339490243921
T3,T12,195.58694091877032
T3,T13,15.119703350883873
T4,T1,21.103108454283134
T4,T2,207.66077810192783
T4,T3,90.79073860840943
T4,T4,961.6264101884849
T4,T5,38.942921618497664
T4,T6,31.456477904136996
T4,T7,118.07810649211106
T4,T8,87.79073665624274
T4,T9,44.338421858388806
T4,T10,91.82625101727265
T4,T11,273.37449125326094
T4,T12,388.5872925181577
T4,T13,22.31675446408638
T5,T1,17.891448526904497
T5,T2,59.59353781225553
T5,T3,46.57985859522888
T5,T4,27.88291751366669
T5,T5,85.86248580993967
T5,T6,19.76298689588583
T5,T7,14.480775889594423
T5,T8,40.45986081214709
T5,T9,10.245108064216733
T5,T10,148.47295684009546
T5,T11,42.9692368334957
T5,T12,114.5672887359103
T5,T13,9.557429611096605
T6,T1,8.80896555476773
T6,T2,111.75636858712237
T6,T3,40.681179928025756
T6,T4,27.645986321806554
T6,T5,16.38803641997446
T6,T6,315.65311377919494
T6,T7,18.33301749618771
T6,T8,99.33708609911415
T6,T9,13.142877152326095
T6,T10,170.37978583605667
T6,T11,19.743266956242568
T6,T12,161.1043092897287
T6,T13,13.228737221010032
T7,T1,9.12135625308645
T7,T2,49.47441126237099
T7,T3,16.006374392925782
T7,T4,64.27965004846044
T7,T5,21.970507466413977
T7,T6,11.60135367702159
T7,T7,125.08371968169804
T7,T8,17.341546990386373
T7,T9,20.031129226738173
T7,T10,25.91750886459064
T7,T11,42.48033731921731
T7,T12,143.95106417968364
T7,T13,15.872854332276217
T8,T1,23.540362694146314
T8,T2,138.1053103185392
T8,T3,199.43686872225243
T8,T4,59.77460583575327
T8,T5,40.50857448917725
T8,T6,113.3454081334487
T8,T7,32.54313665609811
T8,T8,913.2575487143054
T8,T9,17.304986120842017
T8,T10,580.6341806306674
T8,T11,81.68052925349372
T8,T12,368.1951301868198
T8,T13,39.517009735215254
T9,T1,7.66089546484455
T9,T2,19.095058167479174
T9,T3,15.397145452584002
T9,T4,23.65260292343003
T9,T5,8.802689863768606
T9,T6,6.531536900017523
T9,T7,19.49563523670427
T9,T8,11.471976922186927
T9,T9,71.47651861704074
T9,T10,17.294552742289568
T9,T11,15.2904141817923
T9,T12,72.80242761730567
T9,T13,7.118365037982684
T10,T1,48.29952047187107
T10,T2,384.0113483187085
T10,T3,218.5789529633118
T10,T4,77.78031178859945
T10,T5,149.56029501769254
T10,T6,229.7589857817461
T10,T7,53.59471132869604
T10,T8,594.3682420848979
T10,T9,38.35465064336056
T10,T10,3386.906998002407
T10,T11,150.67727033412856
T10,T12,752.5361483272648
T10,T13,112.55716252939408
T11,T1,38.145236291394546
T11,T2,340.32631041877926
T11,T3,78.09533303295565
T11,T4,229.6963312908657
T11,T5,41.61771677205064
T11,T6,20.822316103379755
T11,T7,84.35442302235036
T11,T8,76.12005313914935
T11,T9,28.318050246659066
T11,T10,93.92761468467576
T11,T11,769.4267566493668
T11,T12,420.23287288491025
T11,T13,15.333336209075087
T12,T1,58.72207040843131
T12,T2,434.2172544279916
T12,T3,157.54352594730267
T12,T4,247.18415606608883
T12,T5,85.27597513044614
T12,T6,120.58860622006829
T12,T7,153.72365364804332
T12,T8,240.36760604986767
T12,T9,83.75084105965887
T12,T10,458.65603151092586
T12,T11,290.38720817338384
T12,T12,985.2803552598045
T12,T13,56.72067253540113
T13,T1,3.6127742686010427
T13,T2,28.47914005354007
T13,T3,11.277783402828156
T13,T4,10.530663144740151
T13,T5,5.205926517356821
T13,T6,9.323546021526889
T13,T7,15.57874727942449
T13,T8,23.55360635697235
T13,T9,5.798260758624093
T13,T10,55.316156829316576
T13,T11,12.74863201442757
T13,T12,57.576408836783045
T13,T13,38.95361290972966
