index,answers,creation_date,len,postid,question,ratio,raw,source,tags,title,uniq,words,probability
33694,it is not that simple  indeed md5 is considered as weak today and it is possible to  find a collision  another input giving the same hash under a minute  regardless that you have to compute the inputs just guessing won t work md5 produces 128 bit output so with random guessing will find collision with probability 1/2^128   almost impossible,2019-03-20 17:10:34.337 UTC,115,55266546,i know that there is some case 2 different strings can have same md5 hash but when i try with php it still become 2 different hash so is there any string that have same md5 hash in php if i use  ,0.017391304347826087,2,so,cryptography|exploit|md5|php,same md5 hash value but different input using hash md5,2,exploit|weakness,0.695672869682312
10187,from wikipedia   http://en.wikipedia.org/wiki/cryptographic_hash_function        properties        most cryptographic hash functions are designed to take a string of any  length as input and produce a fixed-length hash value a cryptographic  hash function must be able to withstand all known types of  cryptanalytic attack as a minimum it must have the following  properties       preimage resistance  given a hash  h  it should be difficult to find any message  m  such that  h = hashm  this concept is related to that of one-way  function functions that lack this property are vulnerable to preimage  attacks       second-preimage resistance  given an input  m  1  it should be difficult to find another input  m  2  — where  m  1  !=  m  2  — such that  hash   m  1   =  hash   m  2   this property is  sometimes referred to as weak collision resistance and functions that  lack this property are vulnerable to second-preimage attacks       collision resistance  it should be difficult to find two different messages  m  1  and  m  2  such that    hash   m  1   =  hash   m  2   such a pair is called a cryptographic hash  collision this property is sometimes referred to as strong collision  resistance it requires a hash value at least twice as long as that  required for preimage-resistance otherwise collisions may be found by  a birthday attack,2012-01-14 06:05:08.43 UTC,237,8860512,for hash function what s the difference for collision protection and preimage protection,0.0379746835443038,9,so,cryptography|hash|security,what s the difference between collision resistance and preimage  resistance,4,attacks|weakness|protection|vulnerability,0.6933221817016602
26980,brute force is the worst attack nothing can be brute force proof..  right now ~80-90 bits is considered cryptographically safe from a brute force attack standpoint so you only need 10 bytes if a collision resistant hash function is perfect but they aren t so you just do more bits..  the proof that nothing can be brute force proof is in the  pigeon hole principle   since hash function   allows arbitrary sized input   and outputs constant output   when the size of input exceeds the output size:   there are necessarily some outputs that can be produced by more than one input  you can visualize that with a square divided into 9 sub squares   these are your 9 holes we are a brute force attacker we have unlimited chances to attack.. we have unlimited pigeons.. but we at most need 10 to find a collision..  after 4 pidgeons and a good collision resistant hashing algorithm   after 9 pidgeons    so our 10th pigeon will necessarily be a collision because all of the holes are full  but it really isn t even that good because of another numerical property called the  birthday paradox  where given a number of independent selections you will find a duplicate much much faster than it takes to fill all of your holes  all cryptographic systems are vulnerable to brute force  another term for this is a trivial attack  a simple explanation for hashing  is that all hashing algorithms we use accept an infinitely sized input and have a fixed sized output  this is an unavoidable collision  and for something like sha256 it takes 2^256 operations to find one naturally md5 has a shortcut making it 2^39th operations to find a collision   one thing you can do to make your passwords stronger is to hide your salt   a password hash cannot be broken until its salt is retrieved   john the ripper  can be given a dictionary  a salt and a password to recover password hashes of any type  in this case sha256 and md5 will break in about the same amount of time  if the attacker doesn t have the salt he will have to make  significantly more  guesses  if your salt is the same size as sha256 32 bytes it will take   guesses to break one password  this property of salts is the basis of  cwe-760   as codeka said no hashing algorithm is 100% secure against brute force attacks however even with hardware-assisted password cracking using the gpu to try passwords the time it takes to crack a sufficiently long password is astronomical if you have a password of 8ish characters you could be vulnerable to a brute force attack but if you add a few more characters the time it takes to crack increases radically  of course this doesn t mean you re safe from rainbow attacks the solution to that is to add a salt to your password and use a hashing algorithm that isn t vulnerable to preimage attacks  if you use a salted password of 12-14 characters preferably hashed with an sha2 algo or equivalent you ve got a pretty secure password  read more here  http://www.codinghorror.com/blog/2007/10/hardware-assisted-brute-force-attacks-still-for-dummies.html   consider the output of the hash algorithms  a md5 128 bit or sha-1 160 bit is certainly easier to brute-force than a sha-2 224 384 or even 512 bit  of course there can be other flaws like in  md5  or a bit less in  sha-1  which weaken the algorithm a lot more  the only protection against brute force is the fact that it takes an inordinately long time to perform a brute force  brute force works by simply going through every possible input string and trying it one at a time there s no way to protect against simply trying every possible combination  if you know that the input space is small enough for a brute force attack to be feasible then there are two options for protecting against brute-force attacks   artificially enlarging the input space this isn t really feasible -  password salting  looks like that at first glance but it really only prevents attackers from amortizing the cost of a brute force attack across multiple targets  artificially slowing down the hashing through  key strengthening  or using a hash algorithm that is inherently slow to compute - presumably it s only a small extra cost to have the hash take a relatively long time say a tenth of a second in production but a brute-force attacker incurs this cost billions of times   so that s the answer  the slower a hash algorithm is to compute the less susceptible it is against brute-forcing the input space   original answer follows  any additional bit in the output format makes the algorithm twice as strong against a straightforward brute force attack  but consider that if you had a trillion computers that could each try a trillion hashes per second it would still take you over 100 trillion years to brute-force a 128 bit hash and you ll realize that a straightforward brute-force attack on the output is simply not worth wasting any throughts on  of course if the  input  of the hash has less than 128bits of entropy then you can brute-force the input - this is why it s often feasible to brute-force password cracking nobody can actually remember a password with 128 bits of entropy,2010-05-05 08:09:12.13 UTC,936,2771487,well from the discussion of hashing methods weaknesses i ve got that the only ol  good brute-force is efficient to break   so the question is is there a hashing algorithm which is more rigid against brute-force than others? in case of hashing passwords,0.029914529914529916,28,so,brute-force|hash|security,is there a bruteforce-proof hashing algorithm,6,cwe|flaws|attacks|weakness|protection|vulnerability,0.6840500235557556
53561,,2018-12-05 05:56:56.633 UTC,68,53626008,"i have a list of sha-256 and sha1 hashes.to add these hashes to the system i have to convert these hashes to md5  if there is a scanned result of malware file on virustotal.com,i can know md5 hash through result  but i have thousands of hashes.it s impossible to convert one by one  how to convert hashes ",0.058823529411764705,4,so,hash|malware|md5,convert sha-256 or sha-1 to md5 through virustotal.com,2,virus|malware,0.6443780660629272
2194,strong passwords always matter because of two concepts that make hacking passwords easier dictionary attacks and rainbow attacks often used together for maximum effectiveness for a dictionary attack one simply takes every word in the dictionary and usually two three and four words etc and tries those combinations first given the rather small size of dictionaries having a password that matches a word in the dictionary makes finding the password trivial this is why you shouldn t use common names words or phrases as passwords  rainbow attacks give attackers even more firepower by pre-computing values say from a dictionary attack or even millions of possible random-character passwords since they are pre-computed the attacker only needs to scan their table for your hash and if there s a match they know your password immediately while this is similar in nature to a brute-force attack the deciding factor here is that the attacker comes at your data already armed with millions or even billions of hashes which can be scanned in just a couple of seconds for a match even if it took the attackers one million seconds to guess the password they already spent that time even before they found your file preparation for the actual attack can drastically reduce the time needed to find the password even if they don t find it they ve already eliminated all the passwords they ve pre-computed as possible passwords so the work isn t lost  so while there is still a huge space of safe passwords far more than there are unsafe passwords some care must be taken to avoid passwords that most likely would appear in a dictionary attack or a rainbow attack choosing a combination of letters numbers and symbols but not in common patterns is important for example h4ck3rz might seem somewhat safe but since this is a common leet-speek term you should avoid using it as a password or a part thereof also any passwords less than eight letters long are trivially easy to break and should also be avoided  the question implied is does a password of 32 characters with numbers letters uppercase symbols etc make sense?   i d say it s an overkill when being used with bcrypt in a key derivation function  but at those length there is a choice to use passphrases the latter may be composed of existing words like   cater low ebony align scan    spaces added for readability  the words can be chosen from a rather small dictionary like a 7776 word diceware-like dictionary the individual words must be chosen at random! likewise for individual characters of a password.  at  http://en.wikipedia.org/wiki/password_strength   one can see that a 5-word diceware phrase is as strong as a 11 character password consisting of a..z a..z 0..9 if you want to do the math  a 11 character password 11^62possibilities = 5.23e19 combinations  a five word phrase form a 7776 word dictionary 7776^5=2.8e19 combinations  won t do the math a phrase likecater=low=eboony=align=scan  1.3e22 combinationsincluding separators + just one random inserted character  what does the strength of your password have to do with the fact that a bcrypt hash happens to be 60 characters long?  if your password is trivial to guess then it s trivial to guess no matter how long the resulting hash may be if you re talking about a single printable ascii character then the attacker needs at most 95 attempts to find out the password no hash algorithm will prevent this  bcrypt does not magically make every password immune to brute-force attacks it only makes those attacks  harder  weak passwords do not benefit from this but if you have a decent password then bcrypt can make a brute-force attack infeasible by demanding more resources than the attacker has  the strength of a password is exactly how much it is unknown to the attacker it  always  matters that strength equates to the number of tries on average that the attacker will have to perform in order to guess it  what bcrypt does is that it makes each try more expensive with its configurable number of iteration set sufficiently high bcrypt can make it so that the attacker cannot try more than one password per second on his machine this is much better for you than a  billion  tries per second with a less suitable hash function it makes cracking your password a billion times harder however if your password consists of only one character the attacker will still find it in less than a minute  so while bcrypt makes weak passwords more tolerable it cannot save your skin  absolutely   output length of bcrypt is irrelevant for this it is normal that hash functions have a fixed output size in fact if the output size depended on the input size then it would be a weakness since it would leak information on the password,2014-06-16 23:40:53,854,61190,even if i choose 1 character for my password or 32 characters with numbers letters uppercase symbols etc the bcrypted password will still be 60 characters length password so does the password strength matter when using bcrypt,0.03044496487119438,26,sse,bcrypt|passwords,does the strength of password matter in bcrypt,4,leak|attacks|weakness|weak password,0.6426823735237122
21880,the cost should depend on your hardware   you should test your cost settings and aim for the   interval of course if you are working with highly sensitive information the time could be   or even more  you must set the number of iterations at the maximum value which is still tolerable depending on the hardware you use and the patience of the users higher is better  the whole point of the iteration count is to make the password processing slow -- that is to make it slow for the attacker who tries potential passwords the slower the better unfortunately raising the iteration count makes it slow for you too..  as a rule of thumb consider that an attacker will break passwords by trying on average about 10 millions 10 7  of potential passwords if you set the iteration count so that password hashing takes 1 second for you and you consider that the attacker can muster ten times more computing power than you then it will take him 10 7 *1/10 seconds i.e about 12 days if you set the iteration count so that password hashing takes only 0.01 second on your pc then the attacker is done in three hours  the cost you should use depends on how fast your hardware and implementation is  generally speaking a cost of 8 or 10 is fine -- there isn t any noticable delay it s still a huge level of protection and far better than any home-grown solution using shas and salts once you upgrade your hardware you could increase the cost to 16 i would say that 16 is a little high at this time and will probably result in noticeable and annoying delays but if 16 works for you by all means go for it,2011-10-01 20:16:15.953 UTC,342,7622698,i ve read some articles saying you should set the cost to be at least 16 2 16  yet others say 8 or so is fine  is there any official standard for how high the cost should be set to,0.017543859649122806,6,so,bcrypt|cryptography,bcrypt - how many iterations/cost,3,attacks|protection|sensitive information,0.6241496801376343
5593,yes you can  bcrypt and other similarly slow password hashing functions aren t designed to make this impossible but only to make it prohibitively expensive   weak passwords are still susceptible to being discovered but the amount of work an attacker needs to do goes up substantially and compared to a fast hashing function much weaker passwords become infeasible to crack due to the extra work required for each guess,2017-03-01 19:59:44,112,152725,let s suppose i know a website is using bcrypt with salts and the default round of 10 can i do a dictionary attack by hashing all the words using bcrypt with the same parameters,0.044642857142857144,5,sse,bcrypt|cryptography|hash,dictionary attack knowing the cipher,3,attacks|weakness|weak password,0.6090107560157776
524,there is no problem  if  you have a good password created by diceware or bip39 with good entropy then a polynomial-time adversary even with the knowledge of the hash and salt cannot do anything if your password is already   we already assumed that can be broken part of it leaked or not what about the salt is not available to the attacker good luck for them    the bitcoin bip-39 dictionary with 2048 words can create ≈2263-entropy by tossing the coin 256 times to choose the words randomly    the diceware passphrases has an entropy around   a five-word  has 64.6 bits  six words have 77.5 bits  seven words 90.4 bits  eight words 103 bits  nine words 116 bits  ten words 129 bits     we consider that the polynomial-time attackers can access the salt and the hash value and the security of your passwords must be satisfied with this case the motivation for this approach is easy the attacker can always reach/access the database and download the hashes and salts simply   there is no security with obscurity we consider the security of the passwords even the hash and salt are totally leaked therefore a partial recovery must not create a difference   passwords actually are not simply hashed they are processed with good password hashing functions like pbkdf2 scrypt bcrypt and argon2 which is the winner of the password hashing competition in july 2015  if you are not using a good password hashing mechanism and if you don t have a password with good entropy then you have already insecure  tl;dr the answer depends on the hash algorithm what part of the hash is revealed and the strength of the password  assuming that the hash algorithm is known  the knowledge of a specific part of the hash might make brute force attacks easier  the attacker might now run most brute force tests offline and also in parallel and is thus not restricted by rate limiting or even account locking after failed attempts which is hopefully in place to deter massive brute forcing  how much easier the attack gets depends on the hash and on the strength of the password though if the hash algorithm is slow as recommended then brute forcing will be slow too if the password is weak enough such offline brute forcing will still likely be successful too in contrast if the site implements a wait time after each failed login attempt or maybe even locks the account then online brute force attacks will often fail even for weaker passwords  how much easier it gets depends also a lot on the type of hash and which parts are revealed if the attacker does not know the salt which was used in hashing and which is commonly stored as part of the hash then brute forcing is nearly impossible - provided that the salt is chosen from a large enough random pool  there is quite no case when it s not easier for the adversary the only case is if the password is salted with large random and the salt is not displayed    the main concern is to know how much easier it is for the adversary    in the worst case he can perform offline dictionary/bruteforce attack and due to the dispersion of the hashing function he will have few false positives for example if the website display 6 hex characters you can assume that a bruteforce attack will statistically match a hash with the same heading 6 characters every 16^6 attempt so one false positive every 16 millions attempt it s a big advantage  as previously mentioned if the hash algorithm is bcrypt scrypt and so one the speed of an offline attack will not be very interesting comparing to the online attack but !!! with abilities to perform an offline attack you can avoid account lockout due to passwords attempt threshold so there is some cases where displaying part of the hash will permit to bypass an account lockout functionnality even if the offline attack speed is not huge 10 attemps per sec is still better than 10 attemps and then blocked it is also a way to stay quiet relatively to the siem and other intrusion detection mechanisms    note that having a huge randomly generated password will not be enough to ignore the risk if the password is not salted and the hash algorithm is weak a collide could occur with a shorter password attempt,2020-01-04 21:16:54,843,223688,this question was prompted by a recent visit to a certain site that provides apparently for gdpr reasons a table with all of your data including  part  of your hashed password i understand this poses no problem in this case as you would have to be logged in to see this table but what if this data was made public?  to rephrase more clearly does revealing  part  of your password hash including the hash  length  make password cracking via bruteforce or any other method any simpler or more efficient than before,0.02609727164887307,22,sse,hash|password-cracking|passwords,does revealing part of your hash give an attacker advantage when attacking your password,4,leak|bypass|attacks|weakness,0.6029097437858582
18145,"first of all md5 and sha1 are not encryption functions  they are message digest functions  also most hashes are broken in real world using dictionary attacks like  john the ripper  and  rainbow crack   john the ripper is best suited for salted passwords where the attacker knows the salt value  rainbow crack is good for passwords with small unknown salts and straight hashes like     rainbow crack takes a long time to build the tables  but after that passwords break in a matter of seconds  it depends on how fast your disk drives are   when you hash a password multiple times you actually increase the chance of hash collisions so best practice is to hash only once  it also has nothing to do with how easy it will be to perform a brute-force attack such an attack will systematically try every possible password within a given range thus if your password is foobar and the attack tests the password foobar it wont matter how or how many times you hashed the password because the brute-force attack successfully guessed it  therefore if you wish to guard yourself against a brute-force attack you could limit how often a user can attempt authorization or require passwords to be above a certain length  on a side note rainbow tables and similar methods are used by hackers that have already gained access to your database and are meant to decrypt the stored password in order make such an attack more difficult you should use static and dynamic salts  you are talking about 2 distinct although related problems  first is the likely-hood of a collision and the second is the ability to run the algorithm on tons of values to find the original value which created the hash    collisions   if you run sha1md5text you first get the hash of md5 then pass that to sha1   lets assume the sha1 function has a 128-bit output and the md5 also has 128-bit output   your chance of collision in the md5 function is 1/2^128  then your chance of collision in the sha1 is 1/2^128  if either collides then the function overall collides and hence the result is   or     brute forcing   running sha1md5text will only double the time it takes to find the original string  this is nothing in terms of security  for instance if you have 128-bits of output space for each algorithm and it takes 1 hour to brute force then it will take 2 hours to run the same brute force twice to get the original string  this would be the same as increasing the output space to 129-bits  however if you want to really make brute forcing impossible what you have to do is double the output-size which can be compared to the key size in encryption     hashing a hash is sort of encryption though obfuscation which isn t really a best practice you re right in that it could theoretically reduce the possibility of a collision but it probably wont eliminate the possibility whats more a hashing function isn t really an encrypting function google hashing vs encrypting for several hundred explanations  a collision attack the type that s known against md5 for example does no real good to be effective with regard to a password you need a preimage attack i.e the ability to find some input that will hash to a known hash code though there are preimage attacks known against md5 they re not currently practical  collision attacks are useful for entirely different purposes one example that s been carried out is creating two x.509 certificates for two different identities that collide submit one to be signed by a certificate authority and then you can use the other to claim that you re somebody else entirely since the hash will collide with the first when/if a user tries to verify the certificate it will show up as having been verified  first not encryption creating message digest using the hash functions  your question     but can t you just encrypt  hash  your  password using say md5 and then,  say sha-1 or any other doesn t  matter.   if the hash function does not provide any of these properties it does not matter how many times you hashed also the attacker can hash n times to get the collisions         for any given code h it is computationally infeasible to find  such x that hx=h this property is   called one way or preimage resistant      for any given block x ,it is computationally infeasible to find y≠x  with hy=hx.this property is  referred second preimage resistant or  weak collision resistant      it is computationally infeasible to find any pear x,y such that  hx=hy this is called strong  collision resistant       so as the rook mentioned the passwords are stored by adding different salt values for each users the dictionary gets longer and also computational overhead and time gets longer for the attacker if she exploits the password file  let s say attacker has the hashed values of the passwords and starts reading from the dictionary file and compares with the hashed values if matches then pasword is cracked if salt is used then read from the dictionary and add some salt value then try to find a match.however this should be done for each user so the complexity that salt adds is from wikipedia     assume a user’s encrypted secret key  is stolen and he is known to use one  of 200,000 english words as his  password the system uses a  32-bit  salt  the salted key is now the  original password appended to this  random 32-bit salt because of this  salt the attacker’s pre-calculated  hashes are of no value he must  calculate the hash of each word with  each of 2^32 4,294,967,296 possible  salts appended until a match is found.  the total number of possible inputs  can be obtained by multiplying the  number of words in the dictionary with  the number of possible salts",2010-06-09 21:13:45.023 UTC,1059,3009988,i just spent some time reading  https://stackoverflow.com/questions/2768248/is-md5-really-that-bad  i highly recommend!  in it it talks about hash collisions maybe i m missing something here but can t you just encrypt your password using say md5 and then say sha-1 or any other doesn t matter. wouldn t this increase the processing power required to brute-force the hash and reduce the possibility of collision,0.0169971671388102,18,so,cryptography|hash|md5|security|sha1,what s the big deal with brute force on hashes like md5,3,attacks|exploit|weakness,0.5980901122093201
1608,a salt can make brute forcing much longer  assuming the attacker only has hashes he will have to find out the hash algorithm and the salt  you can sometimes tell the hash algo used by looking at the hash or at least narrow it down  next is finding the salt  usually a hacker probably has many hashes  you can assume a user has the password called password or the hacker made their own account so they know the password and start appending a salt until you get a match  it s best to have unique salt per password to make this process more cumbersome although they may focus all resources on an admin s hash  salt does not protect against brute force attacks because the salt is usually stored adjacent to the hash in clear text so it doesn t add additional unknown entropy  salt is a mitigation against  rainbow table attacks   protection against brute force is provided by the hashing algorithm itself  the hash algorithm should be  slow  so that a brute force attack will take an infeasible amount of time  in addition cryptgraphic pepper added to the cleartext + salt can make the brute force attack more difficult because it renders a dictionary attack impossible  on the other hand if the hacker has access to the db table with the hashes and the salts he may also have access to the pepper    if the sap system uses pepper the length of the password doesn t matter because the pepper will be longer than the password anyway  if it doesn t then shorter passwords are indeed more vulnerable as the brute force attack will check for shorter passwords first  more info on salt vs pepper  here  and  here,2013-11-20 19:05:51,361,45808,sap netweaver has its passwords hashed and also salted but i read that a tool such as john the ripper can bruteforce them  so how does security varies when passwords are hashed in particular in the sap system?  what if i have a password such is this.. a12345 ?  is it easy to bruteforce it even though it is  lets say salted,0.027700831024930747,10,sse,hash,how secure are hashed passwords that are salted too,3,attacks|protection|vulnerability,0.5950549840927124
