id,activity_time
"5509","5412339"
"16473","2027357"
"19773","1854939"
"20047","4912687"
"20386","2033200"
"20510","4325796"
"25730","6255803"
"33529","4233047"
"34512","5872011"
"36877","6124391"
"40119","5930532"
"44080","298153"
"47707","2115550"
"52566","734667"
"60518","71958"
"62923","3596878"
"64432","4769923"
"69565","4590995"
"76408","3193474"
"78900","16"
"89112","9290"
"100832","2142"
"108057","4620776"
"117461","76246"
"122877","1645857"
"124745","3900201"
"140365","2063303"
"146841","247"
"150805","620785"
"153953","4577"
"178876","9533"
"180239","1721886"
"191692","5"
"196177","9650"
"199017","5452722"
"200786","122969"
"208387","36"
"217113","6139794"
"217213","2046901"
"218681","1485571"
"228476","4768614"
"233258","671358"
"239905","367"
"242629","5103222"
"244489","405"
"260192","1727626"
"269676","3618193"
"270011","25"
"271850","299529"
"273209","5017354"
"276087","82"
"279173","3024532"
"280053","4980030"
"285392","5350191"
"285586","2442245"
"287456","128"
"302357","4038132"
"307478","509"
"312069","5418264"
"320636","4243280"
"321036","5131821"
"321241","4944751"
"329775","1153731"
"332833","49"
"344719","71"
"346499","350"
"352066","266"
"354035","2447884"
"364172","1332"
"367571","3277716"
"372933","990"
"376346","3206483"
"391913","4405401"
"394836","188"
"394895","36"
"396100","2075544"
"409449","69"
"413940","2368841"
"420599","2485589"
"421893","236"
"423802","8535"
"428478","10"
"429254","3431084"
"432491","2830209"
"433700","77"
"443009","1745219"
"443237","1836"
"444191","14"
"466601","4727722"
"469098","4240481"
"470820","903711"
"472700","519582"
"473760","5935799"
"475539","1862643"
"478242","2154076"
"487173","2217628"
"487889","4981158"
"491527","989238"
"493909","1128588"
"494327","5971933"
"505465","3482633"
"507249","2953955"
"508398","2469425"
"510955","5293205"
"511289","5544848"
"512371","311"
"516869","4475280"
"517950","622833"
"520107","34"
"527296","44"
"528127","1425"
"528405","2850382"
"531717","574"
"532346","31"
"532917","1068814"
"533021","3580842"
"536432","7"
"537103","3181425"
"541620","5094064"
"554138","2126936"
"556616","1725216"
"560507","203849"
"562617","355593"
"562843","1901409"
"565425","3162174"
"580177","229"
"582663","403357"
"585149","3015104"
"586759","15"
"595187","297680"
"596057","532819"
"600757","1529316"
"611520","1255705"
"612964","188407"
"620733","5259899"
"626290","1414"
"639034","511201"
"641666","1789811"
"643122","5280410"
"651481","2614"
"653012","249"
"656274","2659096"
"656583","3962131"
"661908","2115152"
"664718","6"
"665094","523547"
"666573","17258"
"667177","4327654"
"670791","169347"
"674724","3298475"
"679270","23"
"685904","1299289"
"686397","3192741"
"687059","80"
"693270","2472390"
"697336","2645092"
"701580","4618605"
"703856","3325634"
"706367","1863524"
"709145","330885"
"712975","11785"
"714125","29"
"720508","4030113"
"728063","14"
"728088","5217217"
"730913","20265"
"735894","4475538"
"738846","760"
"739850","3063880"
"742730","565370"
"749911","28372"
"751957","1"
"756908","855590"
"758743","61"
"761077","893757"
"765285","4747891"
"767392","319"
"770555","453508"
"789826","376095"
"795237","689464"
"797883","3527403"
"798933","1660514"
"801589","986776"
"801737","28"
"803150","1501573"
"803566","1484"
"812980","537710"
"829105","5184167"
"838540","4791746"
"838824","3978767"
"841984","1799988"
"846460","3274778"
"849549","4616749"
"856358","1011"
"863948","4285653"
"867660","1296793"
"867928","411207"
"871610","180"
"879758","513355"
"882884","54"
"884781","3575597"
"891913","2746431"
"895600","3396715"
"897020","5513992"
"898273","1729596"
"901369","3199058"
"902687","1069"
"904775","1270"
"905118","6"
"914199","3052474"
"918180","3164575"
"919334","13"
"920114","1959439"
"935463","323193"
"935922","1274119"
"937178","4129470"
"939831","1270487"
"942421","459404"
"943312","1769206"
"943841","90"
"945584","62"
"959501","1267213"
"960081","148"
"960122","1594391"
"969223","30"
"974136","10"
"985535","2323670"
"990015","4920591"
"994371","931"
"997366","460540"
"1000192","5"
"1001073","4452999"
"1001448","1610723"
"1003736","841413"
"1008514","896690"
"1019945","1125"
"1021413","392265"
"1021839","18"
"1034760","4340"
"1035915","755"
"1037240","137874"
"1037798","72939"
"1039244","19"
"1041477","30035"
"1042917","1039626"
"1043803","14667"
"1043928","1463149"
"1044215","123"
"1049005","24427"
"1051090","3144976"
"1051370","14"
"1052145","4549987"
"1052979","3063"
"1056073","355"
"1056693","163108"
"1058462","1097869"
"1059648","4474"
"1061235","1168307"
"1063595","1024"
"1068649","3"
"1080649","1661245"
"1081026","182466"
"1083842","1274446"
"1084032","1348396"
"1085236","5707269"
"1086950","64800"
"1089296","270133"
"1097781","3941149"
"1099437","611275"
"1102359","5120270"
"1106166","1914863"
"1111408","5288"
"1113982","7"
"1115739","4463945"
"1116308","3586"
"1117263","2408715"
"1117685","809693"
"1117983","298395"
"1119587","87680"
"1120337","2530331"
"1124657","18"
"1128458","1759610"
"1131332","1817369"
"1132561","893877"
"1136844","4257491"
"1139687","28790"
"1140487","313725"
"1145762","61"
"1146715","1878178"
"1147355","22"
"1147387","5692138"
"1150209","7"
"1153364","129"
"1153569","352"
"1164188","101955"
"1165233","390298"
"1172476","774320"
"1173241","1308"
"1177065","5689232"
"1178538","2323033"
"1179750","9"
"1186164","5233110"
"1190568","60"
"1192999","9"
"1194606","2223632"
"1198990","810842"
"1205430","1680473"
"1214595","144"
"1214974","128971"
"1218830","1118641"
"1224042","991662"
"1234431","63912"
"1236679","211055"
"1236789","64610"
"1240546","390221"
"1249182","2515"
"1250050","877267"
"1250666","407569"
"1252367","545565"
"1254148","3518941"
"1258201","1090765"
"1258550","4006586"
"1259015","375"
"1263599","2627516"
"1266367","1584357"
"1267173","3676480"
"1269801","18613"
"1270284","5083661"
"1270913","436"
"1272523","34"
"1276579","4200933"
"1279722","4355"
"1280574","31442"
"1281549","1556952"
"1288912","46"
"1289855","647752"
"1299466","2603822"
"1299809","2497"
"1306896","96"
"1307820","1883147"
"1310023","77"
"1310178","3092590"
"1311592","3"
"1317123","321"
"1317598","858"
"1321328","1268909"
"1326361","63"
"1326617","121701"
"1329535","3060074"
"1330416","1909109"
"1332423","373018"
"1334299","284"
"1335143","1850726"
"1338645","1488"
"1339293","2141322"
"1341690","1581"
"1344795","789"
"1345755","1343"
"1352313","102"
"1352588","964719"
"1352980","2515470"
"1354610","130"
"1354958","1031"
"1359771","3709968"
"1360900","545483"
"1363452","265098"
"1372869","249176"
"1376035","93"
"1379564","5064388"
"1381335","4"
"1383756","1999476"
"1384050","79672"
"1385843","5179035"
"1386684","6"
"1390165","587355"
"1392023","255720"
"1393080","5"
"1396967","7"
"1397221","12"
"1404183","343"
"1407942","1694492"
"1409858","28"
"1413320","1141361"
"1413662","761571"
"1414072","1296811"
"1414861","1790419"
"1419169","1785117"
"1423698","1823479"
"1426861","3228370"
"1427478","2606065"
"1429335","767862"
"1432463","3338038"
"1434714","2450058"
"1435415","5546029"
"1436465","511149"
"1437200","1403065"
"1437791","139"
"1440810","2340111"
"1443164","4989003"
"1444731","22"
"1446629","1525327"
"1447499","3778989"
"1449491","19"
"1452029","7"
"1454380","300485"
"1454450","11"
"1456899","1940810"
"1458099","5191471"
"1459739","4958481"
"1461604","376"
"1462649","2895742"
"1463009","9"
"1463175","72"
"1469841","929700"
"1473510","5131776"
"1474052","4604092"
"1474101","5157540"
"1475442","104"
"1480278","291"
"1480452","1877"
"1481183","400814"
"1481382","3293407"
"1487684","65953"
"1496121","1636"
"1498519","1479816"
"1502799","1502062"
"1504899","148"
"1505489","1147409"
"1518009","727353"
"1520976","29"
"1525177","13"
"1527301","568"
"1530844","3034003"
"1531637","70547"
"1533378","135"
"1535326","1690334"
"1538958","440952"
"1539983","48"
"1540063","243182"
"1541476","351984"
"1541817","4734938"
"1542457","3813347"
"1545530","9"
"1547562","13"
"1549949","50"
"1551997","64"
"1554526","688176"
"1558863","86"
"1560130","2577261"
"1566045","11"
"1570660","10246"
"1579663","3343437"
"1580419","3"
"1582161","5653282"
"1583812","1372334"
"1587540","454"
"1598928","1117563"
"1598932","5421756"
"1599756","551402"
"1602375","11"
"1607681","3"
"1608370","11"
"1608522","3174826"
"1611756","479"
"1622370","629"
"1624087","1418"
"1625423","1003628"
"1626069","296985"
"1631940","73"
"1632183","306577"
"1640582","80622"
"1641231","2792810"
"1650854","2523157"
"1651616","5541305"
"1657037","28"
"1658328","2670"
"1660765","169"
"1662016","449189"
"1663498","57"
"1663740","8"
"1664567","1187"
"1668268","4335"
"1673036","75"
"1676593","15"
"1678373","157022"
"1678543","409577"
"1679725","1723756"
"1683649","4"
"1684975","4991364"
"1691528","510649"
"1692149","16"
"1694256","26"
"1696009","3275103"
"1698933","1377624"
"1702602","2866"
"1705727","61"
"1705849","204673"
"1714841","26"
"1718388","276421"
"1718658","3769020"
"1720014","129466"
"1721092","1804844"
"1721112","44"
"1722453","119009"
"1726462","168"
"1727673","90"
"1731802","3383238"
"1732991","98"
"1735344","473"
"1735349","1968122"
"1738779","23"
"1739875","149"
"1743607","4068009"
"1743868","475850"
"1745472","418"
"1745875","73"
"1746973","105"
"1747235","851261"
"1751408","760209"
"1751616","21"
"1751896","79507"
"1752261","1196"
"1752998","4982207"
"1753094","33796"
"1753790","75"
"1754415","87930"
"1758631","14"
"1765168","3206622"
"1765351","43873"
"1765723","1146043"
"1765733","2784099"
"1766301","5086573"
"1767790","218"
"1768855","47"
"1770890","600532"
"1773079","78"
"1779617","1043870"
"1780628","700452"
"1782309","820727"
"1785772","386149"
"1789298","9"
"1791162","2194585"
"1795305","1059130"
"1796203","1687085"
"1796410","3248910"
"1800013","1608308"
"1800423","78220"
"1802540","37"
"1804416","229"
"1805102","988020"
"1807864","367"
"1811796","275196"
"1812086","833932"
"1813283","2130735"
"1816832","2127956"
"1818861","1554132"
"1819122","938360"
"1822529","135622"
"1826566","1137829"
"1828005","2476913"
"1838215","583"
"1840090","1394"
"1840624","244"
"1842738","994"
"1845143","5569082"
"1847364","22"
"1849929","1476545"
"1849972","927915"
"1850251","247360"
"1851528","980581"
"1856430","107"
"1858229","89"
"1858978","28"
"1862036","660805"
"1863124","7"
"1865741","1967111"
"1870976","71"
"1871418","10"
"1871774","86"
"1876076","15"
"1878127","1097386"
"1882266","111"
"1883165","1872698"
"1895326","1468"
"1899015","1764518"
"1901091","2893073"
"1903193","3330034"
"1911697","30040"
"1911791","1487178"
"1912693","38647"
"1914149","53"
"1919852","195310"
"1920854","1160928"
"1922399","2155734"
"1922815","1597"
"1925052","2556628"
"1930571","774668"
"1931871","588168"
"1933330","2787"
"1936694","2671824"
"1938462","1261767"
"1938801","588"
"1944602","320"
"1947177","6"
"1955675","84"
"1962825","1309"
"1962959","656"
"1984186","3897978"
"1984784","2452983"
"1988469","470"
"1989180","73"
"1999086","3096"
"1999735","732176"
"1999781","1582486"
"1999840","1091517"
"2003395","41673"
"2006534","5318464"
"2008349","2406548"
"2011386","1939899"
"2014135","2168285"
"2015389","4939573"
"2017587","4606"
"2017904","1690170"
"2020705","542"
"2020737","7"
"2022871","1648903"
"2024153","1526"
"2025763","289477"
"2027451","1310218"
"2028145","804844"
"2034613","2387"
"2034885","37"
"2044083","888"
"2044645","4614216"
"2051034","1184238"
"2051429","278"
"2053272","65"
"2053404","1475"
"2055061","1624451"
"2055085","2593212"
"2055354","1169263"
"2055684","72559"
"2064166","8750"
"2064354","58"
"2067846","2404100"
"2067866","293582"
"2067901","28"
"2073628","55"
"2074094","21"
"2078235","163"
"2078631","112"
"2078791","45"
"2078969","4782905"
"2087480","156637"
"2095095","1163003"
"2096203","23"
"2099056","722"
"2099075","30448"
"2099659","938"
"2100644","2395898"
"2101376","3143251"
"2104598","3051683"
"2105273","2925"
"2105375","4475451"
"2105847","41"
"2107251","331"
"2107370","2238002"
"2108860","956101"
"2110102","4289361"
"2110302","227"
"2115832","100"
"2117747","5095087"
"2122489","1469"
"2128036","1310"
"2128387","119"
"2128494","2683"
"2130605","1767"
"2131646","73"
"2132105","2561887"
"2136443","30"
"2137588","220"
"2140716","4717404"
"2141029","3245399"
"2144385","234"
"2144531","1887427"
"2149475","15"
"2153184","32239"
"2155792","7"
"2158410","516"
"2159317","1289"
"2161988","665778"
"2162945","4650165"
"2165448","15917"
"2165607","1557335"
"2169793","1662"
"2170324","34"
"2172252","2326901"
"2176440","93783"
"2178115","3124848"
"2179554","554474"
"2181028","981"
"2182612","835155"
"2184355","10271"
"2184677","15"
"2186476","202"
"2186719","1675521"
"2187103","1471437"
"2189497","1395828"
"2191861","4859"
"2200929","40"
"2203346","830"
"2203754","767195"
"2203780","1822506"
"2204012","1763766"
"2207279","5182807"
"2207452","2056549"
"2216107","28"
"2223721","2762"
"2225940","61"
"2226831","2355368"
"2227875","23"
"2237582","3304058"
"2241005","7"
"2243554","318566"
"2254953","1231"
"2255924","139614"
"2256089","1259"
"2256939","5056709"
"2258257","4171"
"2264027","635682"
"2267637","540316"
"2270979","1910876"
"2278816","451"
"2279955","9"
"2282452","517396"
"2285809","31"
"2286565","1249"
"2287618","29"
"2288644","104250"
"2301813","992675"
"2303264","16"
"2306541","160"
"2307146","1553722"
"2307343","61"
"2312194","5761"
"2312650","9"
"2313154","726211"
"2316977","103773"
"2319908","11"
"2320503","14766"
"2323458","4859349"
"2325463","18"
"2325736","1583644"
"2327007","2373480"
"2332553","36"
"2335944","396779"
"2336633","68"
"2337250","655558"
"2339915","8349"
"2340555","709"
"2340964","1405568"
"2341141","1809675"
"2341724","1763760"
"2342430","4847398"
"2342730","1296100"
"2343030","3069854"
"2344472","2"
"2346558","2347528"
"2347012","1529171"
"2350102","49084"
"2351147","2370193"
"2353294","111"
"2355226","20"
"2356983","56"
"2357750","215"
"2357907","821550"
"2359005","158"
"2359430","163"
"2360845","72"
"2364273","763281"
"2367643","613564"
"2374303","1680"
"2374581","48"
"2374811","1230889"
"2377887","696087"
"2378983","1267"
"2382410","350"
"2385592","31"
"2389910","71"
"2390224","87"
"2390934","169"
"2391903","252"
"2393614","237901"
"2399269","3217079"
"2399660","1155464"
"2404808","53"
"2405353","2095823"
"2411410","4586590"
"2411619","2379134"
"2418332","1419217"
"2419704","1261347"
"2420222","217"
"2420323","1693604"
"2420865","1699573"
"2423338","8"
"2423433","2352380"
"2425328","10"
"2428146","343"
"2429056","2082288"
"2434616","236"
"2436424","24696"
"2437170","10"
"2437496","1415640"
"2439355","9"
"2440460","436967"
"2440550","52"
"2441882","386"
"2442849","230"
"2446295","3"
"2449293","236"
"2450761","1177591"
"2452350","2016675"
"2453408","230"
"2453858","3"
"2454023","3"
"2454192","2067979"
"2456584","2603699"
"2459838","268849"
"2462475","515"
"2467195","5174680"
"2470185","53"
"2470744","774298"
"2472211","1563647"
"2474310","391387"
"2477459","275589"
"2479684","33"
"2480705","742691"
"2483011","4897468"
"2489193","946"
"2495378","1109006"
"2496005","9890"
"2497404","256093"
"2497720","2331694"
"2498164","295"
"2498845","68"
"2500024","2640514"
"2501525","3126074"
"2504137","31"
"2504407","1581"
"2505703","207"
"2506367","3006302"
"2506652","325"
"2507145","13"
"2510683","36"
"2510704","13"
"2511240","77"
"2511315","4864855"
"2519880","867"
"2529048","1183"
"2532272","364"
"2536769","12"
"2538078","5"
"2543140","94341"
"2543725","1244"
"2543751","39"
"2547514","3680366"
"2549214","3692122"
"2554870","27"
"2556914","11"
"2557964","361648"
"2559162","633374"
"2561414","18"
"2563635","386995"
"2563964","2969126"
"2566388","18"
"2567683","80"
"2570901","0"
"2572603","15"
"2573332","3996285"
"2575547","6"
"2576468","21"
"2577995","1178"
"2584279","41190"
"2585712","38"
"2587503","11"
"2592700","2075649"
"2593655","205"
"2601373","29834"
"2601916","157"
"2602427","1802571"
"2606049","3948"
"2608789","1423175"
"2609036","544"
"2613045","2204150"
"2615554","3245361"
"2622856","4518685"
"2627647","411055"
"2628972","3265"
"2631265","4287902"
"2631429","1"
"2635381","923725"
"2638129","28"
"2644262","121"
"2646384","954369"
"2648509","1115133"
"2649696","2542777"
"2652239","503933"
"2653334","16"
"2658136","491285"
"2659081","3583"
"2660747","2722"
"2666447","1762"
"2676385","988134"
"2677945","260"
"2678165","504046"
"2678906","414314"
"2680095","663"
"2686689","1326463"
"2686848","2798964"
"2689583","463688"
"2691112","11"
"2692737","974936"
"2692745","3671352"
"2693421","292807"
"2694227","3563699"
"2695703","433"
"2695934","4462076"
"2696245","2021112"
"2696620","6208"
"2702843","70"
"2705940","2306586"
"2707940","380"
"2709640","25"
"2710877","45"
"2719373","69893"
"2721184","415791"
"2721644","1342"
"2725907","739626"
"2727967","2237125"
"2727986","49"
"2729576","35"
"2730377","22"
"2735227","43"
"2735749","8060"
"2736352","1451490"
"2736355","54"
"2740162","2872566"
"2743366","4"
"2744360","108"
"2745425","16"
"2746862","124"
"2748216","344"
"2748996","665"
"2749108","13"
"2755192","1548"
"2758730","145"
"2760502","4871462"
"2760517","212"
"2763233","2274910"
"2765396","12"
"2767777","11"
"2768674","1419691"
"2769197","9249"
"2769648","1357342"
"2773836","46"
"2774074","79"
"2774935","5323369"
"2776608","9244"
"2777038","1326982"
"2778157","687065"
"2778313","4116231"
"2778323","22002"
"2782960","4848378"
"2787600","237275"
"2788770","741"
"2790632","6"
"2790826","82"
"2792977","1676034"
"2793206","1834411"
"2794571","269036"
"2796164","52"
"2797087","15"
"2799243","544327"
"2799699","44730"
"2808794","1738777"
"2809637","11"
"2811780","14"
"2813472","2794375"
"2814199","599"
"2814900","2702420"
"2815397","12"
"2815943","1076703"
"2817539","692"
"2820223","5131607"
"2820957","9822"
"2823379","12557"
"2824558","14"
"2825251","14"
"2830641","2001198"
"2830861","588211"
"2830953","45737"
"2835291","1206623"
"2836070","244"
"2837593","2532952"
"2843030","122"
"2843618","1056071"
"2843799","30787"
"2845247","534336"
"2845719","799878"
"2850098","504011"
"2851483","335091"
"2852414","3039021"
"2855802","2191644"
"2857223","863788"
"2858633","163393"
"2859127","3610886"
"2862335","730740"
"2862866","190"
"2863948","601825"
"2865957","1089658"
"2866520","14"
"2866950","426"
"2869493","676725"
"2869880","15"
"2871041","682480"
"2874889","2"
"2876150","375"
"2876895","1691302"
"2877203","37"
"2879440","8"
"2881222","553310"
"2882814","77"
"2884825","66"
"2885751","56"
"2887736","47"
"2887975","55"
"2890542","2097488"
"2890655","2421286"
"2895433","1876796"
"2896373","1232450"
"2896484","1389"
"2897128","43107"
"2897587","1370988"
"2898249","2356247"
"2903494","366"
"2905158","9"
"2906600","130"
"2908284","6"
"2909030","1950"
"2911123","812306"
"2911948","101"
"2912750","196"
"2914525","2931445"
"2914766","16"
"2917395","61"
"2917772","266023"
"2918314","2717805"
"2922691","25"
"2923591","1252618"
"2923763","869"
"2930160","273"
"2930841","1438210"
"2931089","22"
"2932114","53"
"2932287","174161"
"2933067","23"
"2941072","4817092"
"2943751","52"
"2944065","1179083"
"2946749","19768"
"2947122","86"
"2947275","64"
"2947725","1900"
"2948648","1283734"
"2949236","2680382"
"2951938","127"
"2952539","2383"
"2961124","10"
"2962263","1437594"
"2964581","554"
"2965171","1421216"
"2967818","2255441"
"2968546","11"
"2972638","95"
"2975523","1650486"
"2980573","1640"
"2980917","3709376"
"2981121","2077384"
"2986098","141"
"2989279","2823313"
"2990484","2823149"
"2992704","983354"
"2992855","1597091"
"2993027","1887146"
"2993292","243"
"2996030","962056"
"2999046","3450450"
"3002049","10037"
"3017674","0"
"3019239","4421875"
"3022087","10"
"3022185","5310073"
"3022907","904465"
"3026858","1192"
"3033007","3786623"
"3035743","81"
"3036284","52"
"3039273","101"
"3040191","83"
"3041680","1831989"
"3049915","1196"
"3050088","5"
"3053567","10646"
"3053855","3394601"
"3054025","54"
"3054862","4551921"
"3058757","3624"
"3059483","209375"
"3061241","1079"
"3061471","2809824"
"3067909","1860736"
"3075885","4168774"
"3076277","3330884"
"3080134","9"
"3081502","12"
"3085760","46305"
"3088680","1491231"
"3088857","273210"
"3089370","1855418"
"3089380","14"
"3090070","107"
"3090375","526"
"3092022","4757"
"3093215","870069"
"3093354","4"
"3093450","2480"
"3099546","12"
"3100508","47"
"3103808","283"
"3104005","4593399"
"3104704","643"
"3107781","442855"
"3110353","27690"
"3112699","4785299"
"3112874","3"
"3113296","166"
"3113714","327871"
"3114372","3444353"
"3114997","91632"
"3115054","18"
"3115590","80"
"3116205","1208461"
"3118661","2701556"
"3118741","399"
"3118876","2974150"
"3119519","10"
"3121198","15"
"3122617","2579548"
"3126072","5215813"
"3134394","928780"
"3135828","1435321"
"3135946","1848293"
"3136586","34"
"3137381","163"
"3137808","30"
"3141077","2"
"3144361","110"
"3144751","45"
"3147014","2593849"
"3150375","7489"
"3153155","4795886"
"3157501","4"
"3157663","21"
"3158280","566"
"3159483","388171"
"3160933","146001"
"3166201","1335125"
"3169225","2309619"
"3169896","1663295"
"3170377","3460938"
"3173162","54"
"3173739","658841"
"3176442","11252"
"3176590","20"
"3180385","739"
"3191040","103"
"3191686","155"
"3195826","1914180"
"3196797","14"
"3196970","338"
"3197321","4656729"
"3200360","2108353"
"3201063","34"
"3202520","3012750"
"3203477","5"
"3204186","1987795"
"3204551","659892"
"3204577","20"
"3209422","1325730"
"3210880","2004"
"3213433","38960"
"3214327","7565"
"3215109","6"
"3217082","288710"
"3220546","168"
"3220734","6"
"3222341","4238793"
"3229536","636461"
"3237685","153"
"3241494","2388672"
"3243194","6"
"3244048","1913606"
"3244640","33"
"3246101","1394180"
"3247317","187840"
"3248473","29"
"3249158","1121"
"3254512","9"
"3257404","292781"
"3259025","256"
"3259291","4469886"
"3266777","1115582"
"3268139","1078218"
"3269617","215367"
"3270703","3463797"
"3271712","4756529"
"3276294","3159249"
"3276583","324995"
"3276906","20"
"3277581","12"
"3279950","47"
"3280992","457"
"3281994","184"
"3282560","1001"
"3284037","1131"
"3287821","1846750"
"3289860","1657217"
"3290140","1470720"
"3290851","130441"
"3291414","2135338"
"3292058","4"
"3296452","558"
"3298941","343074"
"3300399","1528227"
"3303493","76"
"3303961","3677259"
"3304363","2613262"
"3307654","49"
"3311081","1001700"
"3317205","1305097"
"3317731","172890"
"3319007","88"
"3324798","688517"
"3325912","488430"
"3326102","11"
"3326726","13"
"3332272","1986257"
"3334656","378936"
"3335341","80"
"3340353","136"
"3340972","1804763"
"3342495","2685495"
"3344242","1472982"
"3344786","8"
"3348238","23"
"3350576","10"
"3352968","599987"
"3354810","38721"
"3356705","1552399"
"3360987","138"
"3364906","217"
"3365729","37"
"3369771","16"
"3371057","17"
"3372460","927192"
"3372463","72"
"3373844","91"
"3373854","5140404"
"3374131","318"
"3375498","47"
"3376877","7581"
"3379123","9"
"3382433","2549"
