id,activity_time
"10","2483577"
"32","2412813"
"65","3692482"
"130","2279445"
"213","13052"
"215","2999593"
"235","215130"
"238","1948754"
"278","4797444"
"378","5007484"
"448","45820"
"465","804768"
"477","3835450"
"589","4136906"
"600","2429289"
"603","488669"
"667","343074"
"730","3668779"
"878","455046"
"1080","4738670"
"1274","757970"
"1281","3788465"
"1283","373345"
"1310","276560"
"1327","1656078"
"1537","3818329"
"1774","445805"
"1782","3588921"
"1793","1068882"
"1812","211"
"2070","40439"
"2113","750474"
"2174","3753622"
"2231","4047108"
"2452","521283"
"2658","592953"
"2740","2866255"
"2770","10398"
"2826","4059848"
"2874","2073"
"2918","1754848"
"3078","256"
"3129","319"
"3144","306"
"3246","1165314"
"3290","915355"
"3416","2663591"
"3488","1307427"
"3493","795135"
"3574","24"
"3592","2502513"
"3611","1986930"
"3664","69"
"3681","11063"
"3727","2466645"
"3945","48351"
"4016","2679387"
"4143","563997"
"4210","7656"
"4256","764"
"4313","6474"
"4410","6389"
"4533","2370052"
"4699","1615230"
"4767","1684"
"4910","294"
"4925","2344944"
"5043","359"
"5044","822"
"5085","3383013"
"5175","234872"
"5366","6274"
"5502","1205778"
"5523","303"
"5526","1801572"
"5613","3544746"
"5762","13388"
"5812","11904"
"5833","2987"
"5857","7204"
"5951","5271"
"6562","88"
"6569","36"
"6587","34080"
"6620","2691949"
"6641","13130"
"6868","722074"
"6918","1498592"
"6919","2890767"
"6940","30459"
"6944","1491598"
"7024","1084"
"7181","3892992"
"7236","1321"
"7261","2520166"
"7280","2535"
"7431","920"
"7587","4348436"
"7595","737"
"7726","3547549"
"7833","39"
"7840","3795538"
"7944","49825"
"7967","27311"
"8028","1335623"
"8072","1343336"
"8085","693161"
"8206","1737"
"8220","3636701"
"8225","396195"
"8277","29"
"8316","3877141"
"8417","4431822"
"8518","2330948"
"8534","355"
"8638","4613773"
"8695","2733830"
"8786","6029"
"8829","1663691"
"8919","145177"
"9011","4534782"
"9031","32"
"9115","2147397"
"9119","919"
"9192","3832"
"9372","1286361"
"9402","2557126"
"9415","19109"
"9603","142"
"9663","4529117"
"9708","1791551"
"9932","48440"
"9974","621435"
"10044","90412"
"10219","1012"
"10227","2487538"
"10228","3224"
"10404","1447"
"10452","2752993"
"10454","1002285"
"10634","192"
"10867","278758"
"10962","751055"
"10989","220969"
"11083","4024834"
"11112","344914"
"11141","793"
"11233","282"
"11272","40"
"11299","85"
"11309","433951"
"11391","1178668"
"11404","126"
"11441","707"
"11513","6794"
"11532","751"
"11550","3238985"
"11655","1114"
"11875","12045"
"11898","2859079"
"11912","9262"
"11930","306406"
"12321","12990"
"12413","5782"
"12415","2289357"
"12446","2423783"
"12457","463"
"12479","673136"
"12618","296941"
"12654","1352"
"12878","7304"
"12939","6"
"13194","2687811"
"13279","4074"
"13374","1547133"
"13551","7645"
"13703","22"
"14098","338"
"14154","497"
"14210","82"
"14286","68884"
"14328","906"
"14396","213"
"14474","127"
"14505","566"
"14515","252187"
"14613","146400"
"14687","217"
"14735","1390455"
"15016","25586"
"15038","188"
"15048","79"
"15058","786"
"15076","1291275"
"15124","21"
"15163","3088046"
"15255","133650"
"15298","59580"
"15301","2899843"
"15355","715"
"15585","2705321"
"15638","1075833"
"15797","5964"
"15909","968"
"15953","3141198"
"15973","7140"
"16023","19838"
"16175","1128687"
"16214","444"
"16264","827"
"16345","869"
"16351","3301799"
"16449","1617098"
"16537","74"
"16581","1911959"
"16612","1"
"16644","1123442"
"16679","65877"
"16706","1434"
"16737","3059522"
"16782","3356179"
"16908","1227190"
"16996","285340"
"17054","493"
"17079","27415"
"17127","41319"
"17210","50173"
"17273","7628"
"17276","1938458"
"17318","3621577"
"17364","1671"
"17487","68699"
"17517","38828"
"17536","2985404"
"17633","235"
"17638","3416401"
"17971","1611028"
"18047","20979"
"18054","181"
"18066","1291"
"18166","720757"
"18225","9311"
"18249","2420392"
"18321","12"
"18328","2054585"
"18726","521754"
"18775","1854925"
"18875","3942954"
"18878","3115067"
"18959","2241"
"18974","7"
"19156","1254"
"19209","1900826"
"19294","1778614"
"19326","2018302"
"19330","553"
"19406","846"
"19623","1461"
"19638","1909418"
"19910","22766"
"19915","2173"
