id,acceptedanswerid,answer_date
"104","112","2008-08-01 15:28:12"
"8318","8322","2008-08-11 23:00:58"
"8451","8486","2008-08-12 05:17:09"
"14061","14337","2008-08-18 08:39:35"
"20168","20181","2008-08-21 15:10:33"
"23102","23206","2008-08-22 19:03:40"
"28965","29084","2008-08-26 22:20:09"
"32412","32417","2008-08-28 14:31:58"
"33086","33100","2008-08-28 18:58:09"
"34510","34550","2008-08-29 16:05:23"
"34896","34902","2008-08-29 18:09:27"
"35798","35803","2008-08-30 09:11:31"
"42357","42651","2008-09-03 21:34:27"
"45093","45096","2008-09-05 02:02:34"
"47323","47325","2008-09-06 08:23:56"
"52830","52849","2008-09-09 20:36:32"
"53426","53445","2008-09-10 05:01:09"
"55296","55389","2008-09-10 21:49:08"
"56949","56967","2008-09-11 15:55:09"
"59483","59517","2008-09-12 16:59:27"
"60174","60496","2008-09-13 12:30:26"
"65734","65808","2008-09-15 19:11:08"
"53728","70222","2008-09-16 07:57:39"
"71328","71444","2008-09-16 11:41:23"
"71756","71784","2008-09-16 12:41:20"
"72166","74513","2008-09-16 16:56:22"
"76359","76565","2008-09-16 20:23:48"
"67174","78553","2008-09-17 00:09:19"
"87431","87443","2008-09-17 20:41:14"
"97983","98091","2008-09-18 23:46:39"
"107823","107832","2008-09-20 10:25:06"
"108088","108093","2008-09-20 13:04:57"
"109293","109307","2008-09-20 20:42:02"
"110575","110576","2008-09-21 08:58:43"
"111707","112256","2008-09-21 21:41:25"
"116415","116520","2008-09-22 18:14:38"
"120131","120146","2008-09-23 09:58:51"
"120189","120204","2008-09-23 10:19:25"
"124885","125091","2008-09-24 02:33:22"
"129677","130323","2008-09-24 22:30:37"
"131681","131685","2008-09-25 06:09:42"
"132134","133427","2008-09-25 13:43:47"
"134086","134101","2008-09-25 15:43:44"
"138311","138372","2008-09-26 09:01:03"
"138432","138465","2008-09-26 09:30:02"
"139199","139810","2008-09-26 14:18:45"
"144696","144956","2008-09-28 01:36:36"
"145728","145736","2008-09-28 11:58:44"
"146839","146861","2008-09-28 22:06:48"
"147572","147589","2008-09-29 05:04:45"
"149848","149854","2008-09-29 17:50:34"
"156445","156454","2008-10-01 06:29:28"
"157924","157946","2008-10-01 14:38:59"
"159114","159120","2008-10-01 18:48:35"
"161315","161886","2008-10-02 11:53:53"
"166565","166585","2008-10-03 12:33:11"
"170028","170040","2008-10-04 09:24:22"
"170415","170444","2008-10-04 14:41:15"
"169058","171134","2008-10-04 22:45:32"
"176195","176206","2008-10-06 21:09:42"
"178320","178322","2008-10-07 13:02:41"
"182542","182582","2008-10-08 12:55:47"
"185210","185225","2008-10-08 22:47:36"
"187761","189778","2008-10-10 01:09:43"
"195648","195703","2008-10-12 17:04:36"
"196845","196922","2008-10-13 07:30:18"
"198462","198473","2008-10-13 18:11:03"
"198650","199070","2008-10-13 21:19:34"
"200545","200548","2008-10-14 09:45:46"
"200822","200943","2008-10-14 12:28:05"
"203758","203933","2008-10-15 07:17:11"
"205923","205967","2008-10-15 18:56:39"
"214802","214806","2008-10-18 09:22:12"
"219944","219978","2008-10-20 21:20:06"
"224049","224127","2008-10-22 00:59:10"
"226316","226339","2008-10-22 15:37:37"
"229889","230209","2008-10-23 15:34:36"
"231204","231606","2008-10-23 21:32:08"
"214850","237778","2008-10-26 09:24:46"
"240362","240584","2008-10-27 16:47:54"
"243152","243168","2008-10-28 12:57:11"
"244882","244907","2008-10-28 21:20:49"
"249318","249327","2008-10-30 05:06:54"
"253545","253558","2008-10-31 13:55:09"
"253327","253997","2008-10-31 15:54:27"
"255723","255739","2008-11-01 16:27:25"
"262145","262178","2008-11-04 15:29:26"
"267487","267506","2008-11-06 02:44:33"
"268182","268199","2008-11-06 10:16:29"
"269487","269527","2008-11-06 17:26:43"
"89663","272066","2008-11-07 13:35:26"
"274274","274282","2008-11-08 03:08:03"
"274659","274667","2008-11-08 12:26:58"
"275207","275460","2008-11-09 01:06:14"
"280101","280259","2008-11-11 07:41:17"
"283726","283970","2008-11-12 13:48:23"
"284163","284174","2008-11-12 14:49:58"
"286462","291323","2008-11-14 20:34:16"
"295385","295461","2008-11-17 12:19:48"
"295156","295526","2008-11-17 12:58:42"
"296134","296396","2008-11-17 18:21:18"
"299659","299702","2008-11-18 18:37:29"
"305044","305076","2008-11-20 12:03:06"
"306668","306675","2008-11-20 20:09:16"
"313998","314043","2008-11-24 12:32:50"
"315672","315684","2008-11-24 22:06:59"
"316367","316372","2008-11-25 04:35:01"
"316894","320442","2008-11-26 11:48:04"
"327499","327505","2008-11-29 12:57:36"
"332365","332367","2008-12-01 21:50:58"
"339531","339585","2008-12-04 04:16:40"
"339603","340895","2008-12-04 15:08:08"
"341422","341432","2008-12-04 17:28:36"
"341872","341893","2008-12-04 20:13:49"
"341966","342004","2008-12-04 20:45:49"
"344314","344528","2008-12-05 17:03:26"
"350177","350194","2008-12-08 17:11:27"
"350697","350733","2008-12-08 20:15:52"
"352172","352197","2008-12-09 09:14:08"
"354161","354306","2008-12-09 21:34:20"
"354676","355568","2008-12-10 10:01:09"
"357499","357517","2008-12-10 20:36:13"
"323264","359398","2008-12-11 13:49:41"
"361701","361711","2008-12-12 02:27:00"
"365309","365367","2008-12-13 16:06:39"
"368146","368181","2008-12-15 12:14:08"
"368313","368443","2008-12-15 14:02:40"
"369981","369992","2008-12-15 22:57:22"
"371928","371964","2008-12-16 17:09:35"
"381171","381205","2008-12-19 15:03:18"
"388985","389003","2008-12-23 14:34:13"
"387936","389299","2008-12-23 16:10:10"
"395592","395843","2008-12-28 04:48:43"
"396324","396400","2008-12-28 17:13:06"
"398179","398650","2008-12-29 21:00:57"
"400407","400419","2008-12-30 14:39:47"
"402936","402944","2008-12-31 13:11:59"
"403489","403534","2008-12-31 17:22:42"
"407771","407912","2009-01-02 20:16:37"
"409807","409819","2009-01-03 20:52:24"
"412939","413018","2009-01-05 12:51:27"
"413477","413842","2009-01-05 17:19:23"
"416046","418103","2009-01-06 20:53:16"
"422738","422753","2009-01-08 00:26:06"
"424210","424222","2009-01-08 13:31:19"
"436004","436150","2009-01-12 17:08:37"
"436715","436771","2009-01-12 19:52:30"
"437146","437179","2009-01-12 22:02:54"
"438486","438494","2009-01-13 09:58:38"
"443224","443331","2009-01-14 15:19:30"
"444181","444551","2009-01-14 20:34:32"
"444698","444720","2009-01-14 21:16:48"
"445911","445945","2009-01-15 07:39:05"
"446501","446525","2009-01-15 12:22:52"
"446551","446566","2009-01-15 12:35:01"
"447067","447078","2009-01-15 15:06:40"
"445177","447141","2009-01-15 15:21:22"
"449650","449674","2009-01-16 06:29:48"
"457014","457027","2009-01-19 09:38:55"
"460519","460526","2009-01-20 09:02:04"
"461137","461153","2009-01-20 12:47:16"
"466737","466942","2009-01-21 20:53:22"
"472552","472562","2009-01-23 11:09:15"
"473173","473186","2009-01-23 15:00:54"
"477053","477065","2009-01-25 02:26:06"
"477649","477660","2009-01-25 12:58:07"
"479701","479738","2009-01-26 13:10:01"
"487566","487599","2009-01-28 13:23:24"
"488797","488806","2009-01-28 18:40:55"
"497156","497207","2009-01-30 20:55:48"
"498234","498309","2009-01-31 05:06:24"
"504323","504445","2009-02-02 19:03:12"
"512174","512200","2009-02-04 16:49:11"
"518313","518399","2009-02-05 23:03:08"
"228138","524934","2009-02-08 01:18:46"
"528303","528336","2009-02-09 14:28:56"
"24723","535022","2009-02-11 00:59:10"
"540738","540762","2009-02-12 10:35:38"
"540915","541011","2009-02-12 12:12:55"
"544239","544254","2009-02-13 00:45:47"
"545573","545765","2009-02-13 12:41:08"
"546701","546711","2009-02-13 16:51:21"
"546998","547069","2009-02-13 18:15:10"
"551480","551522","2009-02-15 20:18:52"
"554650","554873","2009-02-16 22:41:30"
"553708","555248","2009-02-17 01:38:07"
"559483","559515","2009-02-18 01:37:06"
"568995","569113","2009-02-20 10:52:58"
"570160","570203","2009-02-20 16:21:14"
"571866","573764","2009-02-21 21:17:43"
"574159","574172","2009-02-22 02:12:27"
"585358","585568","2009-02-25 10:55:43"
"587301","587384","2009-02-25 19:10:28"
"593238","593250","2009-02-27 01:51:13"
"594443","594464","2009-02-27 12:00:12"
"597277","597297","2009-02-28 01:22:22"
"597353","597391","2009-02-28 02:40:29"
"599048","599377","2009-03-01 06:28:04"
"600329","600339","2009-03-01 19:22:23"
"602625","602645","2009-03-02 15:01:18"
"604924","605171","2009-03-03 05:08:34"
"606099","606132","2009-03-03 12:01:50"
"613680","613745","2009-03-05 06:12:41"
"616980","617019","2009-03-05 22:44:33"
"617714","617731","2009-03-06 05:17:28"
"619991","620000","2009-03-06 18:55:26"
"623299","623303","2009-03-08 09:18:52"
"554156","624053","2009-03-08 18:28:12"
"624386","624444","2009-03-08 22:27:47"
"626477","626518","2009-03-09 14:47:22"
"627918","628142","2009-03-09 21:43:14"
"629559","629743","2009-03-10 11:25:13"
"628021","630899","2009-03-10 15:53:16"
"631661","631699","2009-03-10 18:40:24"
"633109","633152","2009-03-11 02:42:05"
"633245","633254","2009-03-11 03:43:44"
"636912","636924","2009-03-12 00:25:42"
"638057","638079","2009-03-12 10:47:54"
"638090","638139","2009-03-12 11:04:49"
"641462","641473","2009-03-13 04:33:21"
"642327","642525","2009-03-13 12:48:35"
"648307","648312","2009-03-15 18:44:33"
"648464","648465","2009-03-15 20:17:18"
"651713","651749","2009-03-16 19:07:44"
"652683","652689","2009-03-17 00:57:01"
"652818","652825","2009-03-17 02:20:43"
"653396","653407","2009-03-17 08:37:18"
"664722","664747","2009-03-20 02:00:36"
"672810","672825","2009-03-23 10:15:23"
"667147","673377","2009-03-23 13:33:44"
"671704","674038","2009-03-23 16:17:56"
"628386","677612","2009-03-24 14:19:22"
"677444","678904","2009-03-24 19:33:10"
"681583","681600","2009-03-25 13:29:13"
"687787","687806","2009-03-26 22:30:15"
"688619","689015","2009-03-27 09:08:29"
"694057","694069","2009-03-29 03:40:30"
"696307","696323","2009-03-30 07:46:05"
"697553","697617","2009-03-30 15:08:18"
"698700","701821","2009-03-31 16:16:24"
"702100","702143","2009-03-31 17:28:32"
"703757","703893","2009-04-01 02:55:28"
"705533","705552","2009-04-01 13:45:54"
"707266","707312","2009-04-01 20:57:08"
"712339","712363","2009-04-03 02:35:27"
"713611","713664","2009-04-03 12:10:09"
"714704","714712","2009-04-03 16:33:33"
"715096","715134","2009-04-03 18:38:55"
"715348","717260","2009-04-04 15:26:00"
"721212","721256","2009-04-06 12:43:03"
"707587","721984","2009-04-06 15:27:58"
"721772","722328","2009-04-06 17:05:01"
"725142","725197","2009-04-07 11:26:46"
