tag,DownVotes,user_id,rownum
"lookup","1","1054","1"
"country","1","1054","2"
"ip","1","1054","3"
".net","2","1065","1"
"c#","2","1065","2"
"ide","1","1065","3"
"aop","1","1065","4"
"hidden-features","1","1065","5"
"c","11","1088","1"
"arrays","7","1088","2"
"gc-roots","6","1088","3"
"garbage-collection","6","1088","4"
"c++","6","1088","5"
"php","14","1109","1"
"security","13","1109","2"
"sql","13","1109","3"
"sql-injection","13","1109","4"
"mysql","13","1109","5"
"javascript","37","1114","1"
"python","14","1114","2"
"google-chrome","6","1114","3"
"clone","5","1114","4"
"arrays","5","1114","5"
"c++","1","1236","1"
"stack","1","1236","2"
"heap","1","1236","3"
"c++","10","1244","1"
"c","6","1244","2"
"operators","5","1244","3"
"language-agnostic","5","1244","4"
"naming-conventions","5","1244","5"
"javascript","33","1324","1"
"jquery","15","1324","2"
"html","10","1324","3"
"css","5","1324","4"
"c","5","1324","5"
"random","19","1343","1"
"algorithm","18","1343","2"
"puzzle","17","1343","3"
"scripting","12","1343","4"
"c++","12","1343","5"
"java","6","1406","1"
"orm","3","1406","2"
"hibernate","3","1406","3"
"jpa","3","1406","4"
"android","2","1406","5"
"java","49","1423","1"
"linq","37","1423","2"
"c#","11","1423","3"
"javascript","9","1423","4"
"string","9","1423","5"
"java","40","1432","1"
"string","7","1432","2"
".net","6","1432","3"
"jruby","5","1432","4"
"mutable","5","1432","5"
"ruby-on-rails","168","1450","1"
"ruby","114","1450","2"
"activerecord","63","1450","3"
"javascript","58","1450","4"
"html","48","1450","5"
"tidy","1","1482","1"
"html","1","1482","2"
"usability","1","1482","3"
"htmltidy","1","1482","4"
"notepad++","1","1482","5"
"c#","3","1512","1"
"64-bit","2","1512","2"
"32-bit","2","1512","3"
"python","2","1512","4"
"itunes","1","1512","5"
"c#","34","1551","1"
"javascript","16","1551","2"
".net","15","1551","3"
"asp.net","9","1551","4"
"java","9","1551","5"
".net","253","3043","2"
"javascript","117","3043","3"
"vb.net","113","3043","4"
"sql","107","3043","5"
"svn","1","3052","1"
"obfuscation","1","3052","2"
"javascript","1","3052","3"
"build-automation","1","3052","4"
"java","29","3093","1"
"dump","10","3093","2"
"hex","10","3093","3"
"byte","10","3093","4"
"string","6","3093","5"
"java","3","3095","1"
"amazon-sqs","2","3095","2"
"amazon-web-services","2","3095","3"
"arrays","1","3095","4"
"guava","1","3095","5"
