tag,UpVotes,user_id,rownum
"html","550","33","1"
"css","416","33","2"
"c#","412","33","3"
"printing","385","33","4"
".net","322","33","5"
".net","1131","34","1"
"c#","1057","34","2"
"performance","1026","34","3"
"reflection","927","34","4"
"types","913","34","5"
"case","92","46","1"
"sql-server","92","46","2"
"if-statement","92","46","3"
"language-agnostic","92","46","4"
"sql","92","46","5"
"c#","759","49","1"
".net","678","49","2"
"sorting","539","49","3"
"dictionary","528","49","4"
"language-agnostic","103","49","5"
"sql","1265","51","1"
"random","750","51","2"
"database-design","415","51","3"
"data-modeling","410","51","4"
"tags","410","51","5"
"c#","6436","67","1"
".net","4071","67","2"
"javascript","1814","67","3"
"asp.net","1534","67","4"
"linq","1348","67","5"
"php","36","282","1"
"security","36","282","2"
"sanitization","36","282","3"
"optimization","29","282","4"
"javascript","16","282","5"
"c#","1354","357","1"
".net","1286","357","2"
"string","1242","357","3"
"format","1240","357","4"
"visual-studio","123","357","5"
"c#","510","364","1"
"asp.net-mvc","206","364","2"
"asp.net","166","364","3"
"php","145","364","4"
".net","120","364","5"
"git","1741","912","1"
"version-control","1492","912","2"
"git-merge","1477","912","3"
"python","1372","912","4"
"macos","819","912","5"
"actionscript-3","553","914","1"
"flash","398","914","2"
"apache-flex","187","914","3"
"actionscript","168","914","4"
"mysql","96","914","5"
"javascript","2894","956","1"
"jquery","2635","956","2"
"url","2563","956","3"
"performance","151","956","4"
"css","112","956","5"
"javascript","1538","1585","1"
"jquery","1536","1585","2"
"php","427","1585","3"
"json","422","1585","4"
"jsonp","407","1585","5"
"iphone","123","2075","1"
"uiimagepickercontroller","67","2075","2"
"uiimageview","62","2075","3"
"uiimage","62","2075","4"
"cocoa-touch","27","2075","5"
"html","116","2078","1"
"css","116","2078","2"
"xhtml","116","2078","3"
"multithreading","27","2078","4"
"c#","23","2078","5"
"c++","707","2131","1"
"c","369","2131","2"
"arguments","317","2131","3"
"c#","285","2131","4"
"reflection","252","2131","5"
"php","901","2169","1"
"oop","190","2169","2"
"inheritance","146","2169","3"
"loops","145","2169","4"
"directory","145","2169","5"
"java","2232","2238","1"
"reflection","980","2238","2"
"invoke","980","2238","3"
"string","970","2238","4"
"whitespace","964","2238","5"
"visual-studio","541","2257","1"
"asp.net","517","2257","2"
"visual-studio-2008","444","2257","3"
"sql","384","2257","4"
".net","334","2257","5"
"javascript","142","3052","1"
"obfuscation","142","3052","2"
"java","53","3052","3"
"garbage-collection","43","3052","4"
"svn","24","3052","5"
"java","2372","3093","1"
"algorithm","858","3093","2"
"data-structures","847","3093","3"
"queue","704","3093","4"
"stack","704","3093","5"
"java","159","3095","1"
"arrays","29","3095","2"
"singleton","27","3095","3"
"design-patterns","27","3095","4"
"amazon-web-services","23","3095","5"
"python","5701","3171","1"
"android","5587","3171","2"
"java","2321","3171","3"
"kwargs","1693","3171","4"
"args","1693","3171","5"
"javascript","1438","3909","1"
"html","1420","3909","2"
"optimization","1369","3909","3"
"href","1369","3909","4"
"performance","1369","3909","5"
"git","116","3914","1"
"django","73","3914","2"
"django-registration","67","3914","3"
"django-views","67","3914","4"
"css","10","3914","5"
"java","5364","3916","1"
"eclipse","1274","3916","2"
"tomcat","439","3916","3"
"maven","434","3916","4"
"jakarta-ee","389","3916","5"
"c++","2166","3937","1"
"visual-studio","910","3937","2"
"debugging","806","3937","3"
"command-line","768","3937","4"
"ios","672","3937","5"
"vba","2032","4280","1"
"excel","1761","4280","2"
"collections","98","4280","3"
"excel-formula","86","4280","4"
"ms-access","86","4280","5"
"asp.net","506","4782","1"
"amazon-web-services","491","4782","2"
"amazon-ec2","153","4782","3"
"c#","82","4782","4"
"multithreading","1280","142","1"
"concurrency","1280","142","2"
"terminology","1278","142","3"
"race-condition","1278","142","4"
"algorithm","62","142","5"
"django","205","144","1"
"python","106","144","2"
"tastypie","56","144","3"
"rest","56","144","4"
"django-admin","35","144","5"
"html","2671","157","1"
"browser","2662","157","2"
"autocomplete","2662","157","3"
"forms","2662","157","4"
"algorithm","778","157","5"
"perl","1131","164","1"
"regex","341","164","2"
"replace","258","164","3"
"hash","230","164","4"
"iteration","199","164","5"
"php","146","204","1"
"security","54","204","2"
"zend-framework","38","204","3"
"mysql","35","204","4"
"testing","32","204","5"
"c#","221","227","1"
"browser","209","227","2"
"timezone","208","227","3"
"html","208","227","4"
"user-agent","208","227","5"
"powershell","1194","243","1"
"powershell-2.0","279","243","2"
"windows","240","243","3"
".net","223","243","4"
"virtualbox","132","243","5"
"ios","143","636","1"
"cocoa-touch","143","636","2"
"version-numbering","142","636","3"
"objective-c","142","636","4"
"c#","135","636","5"
"javascript","232","698","1"
"jquery","199","698","2"
"c#","118","698","3"
"asp.net","97","698","4"
"jquery-ui","86","698","5"
"batch-file","1466","730","1"
"windows","1185","730","2"
"command-line","1176","730","3"
"restart","1166","730","4"
"shutdown","1166","730","5"
"asp.net-mvc","1220","736","1"
"ajax","1114","736","2"
"actionresult","1083","736","3"
"javascript","1007","736","4"
"jquery","411","736","5"
"c","2092","1088","1"
"arrays","1347","1088","2"
"initialization","1262","1088","3"
"array-initialize","1262","1088","4"
"c++","639","1088","5"
"php","9583","1109","1"
"mysql","9170","1109","2"
"security","9087","1109","3"
"sql","9064","1109","4"
"sql-injection","9046","1109","5"
"javascript","4051","1114","1"
"python","2588","1114","2"
"arrays","932","1114","3"
"base64","813","1114","4"
"html","711","1114","5"
"asp.net","505","1738","1"
"appfabric","260","1738","2"
"c#","245","1738","3"
"caching","236","1738","4"
".net","71","1738","5"
"php","185","1745","1"
"security","44","1745","2"
"cookies","40","1745","3"
"session-timeout","40","1745","4"
"pdo","31","1745","5"
"windows-phone-7","2798","1755","1"
"c#","956","1755","2"
"windows","690","1755","3"
"silverlight","650","1755","4"
"batch-file","634","1755","5"
"c#","1745","2424","1"
"asp.net","1243","2424","2"
"sql-server","872","2424","3"
".net","655","2424","4"
"html","628","2424","5"
"noclassdeffounderror","294","3211","2"
"amazon-simpledb","153","3211","3"
"amazon-web-services","47","3211","4"
"nosql","35","3211","5"
"c","345","3232","1"
"c++","145","3232","2"
"return-value","66","3232","3"
"return-type","66","3232","4"
"main","66","3232","5"
"php","534","3287","1"
"oop","337","3287","2"
"method-chaining","334","3287","3"
"javascript","301","3287","4"
"jquery","271","3287","5"
"inversion-of-control","472","3381","1"
"dependency-injection","466","3381","2"
"ioc-container","464","3381","3"
"javascript","403","3381","4"
"html","373","3381","5"
"python","1440","3421","1"
"string-formatting","1129","3421","2"
"integer","1129","3421","3"
"django","403","3421","4"
"django-forms","78","3421","5"
"java","19620","3474","1"
"string","4419","3474","2"
"security","2511","3474","3"
"encryption","2141","3474","4"
"file-io","1985","3474","5"
"java","783","3973","1"
"datetime","340","3973","2"
"hibernate","98","3973","3"
"multithreading","79","3973","4"
"hashmap","47","3973","5"
"python","1414","3978","1"
"c++","565","3978","2"
"linux","565","3978","3"
"bash","520","3978","4"
"c","377","3978","5"
"c#","489","5056","1"
"javascript","248","5056","2"
"windows","234","5056","3"
"powershell","226","5056","4"
"tail","204","5056","5"
"javascript","109","5114","1"
"node.js","80","5114","2"
"authentication","68","5114","3"
"passport.js","68","5114","4"
"passport-local","68","5114","5"
"python","9027","5190","1"
"operators","7316","5190","2"
"ternary-operator","7200","5190","3"
"php","526","72","1"
"svn","390","72","2"
"iphone","325","72","3"
"tortoisesvn","317","72","4"
"command-line","317","72","5"
"c#","4911","77","1"
"constructor","2379","77","2"
"setter","2375","77","3"
"automatic-properties","2375","77","4"
"getter","2375","77","5"
"c#","4872","91","1"
"loops","1525","91","2"
"enumeration","1513","91","3"
"language-agnostic","1275","91","4"
".net","1247","91","5"
"css","2982","392","1"
"css-selectors","2650","392","2"
"jquery","1405","392","3"
"c#","1397","392","4"
"javascript","1338","392","5"
"c#","2396","419","1"
"asp.net","2253","419","2"
"iis","2224","419","3"
".net","1889","419","4"
"iis-7","1455","419","5"
"android","664","758","1"
"launcher","481","758","2"
"android-manifest","481","758","3"
"titlebar","481","758","4"
"label","481","758","5"
"c#","417","781","1"
".net","269","781","2"
"asp.net","97","781","3"
"sql","79","781","4"
"sql-server","78","781","5"
"c#","6579","872","1"
".net","6429","872","2"
"string","6286","872","3"
"types","6206","872","4"
"alias","6206","872","5"
"git","124","878","1"
"git-log","77","878","2"
"python","64","878","3"
"dictionary","59","878","4"
"compiler-construction","56","878","5"
"django","167","889","1"
"python","167","889","2"
"active-directory","7","889","3"
"powershell","7","889","4"
"c#","4","889","5"
"git","39626","893","1"
"python","22655","893","2"
"version-control","20965","893","3"
"c++","10329","893","4"
"git-pull","10145","893","5"
"multithreading","189","1553","1"
"mutex","165","1553","2"
"recursive-mutex","157","1553","3"
"deadlock","157","1553","4"
"locking","157","1553","5"
"c#","20402","1583","1"
".net","6744","1583","2"
"asp.net","4901","1583","3"
"sql","3220","1583","4"
"sql-server","2697","1583","5"
"java","131","1900","1"
"hibernate","124","1900","2"
"persistence","124","1900","3"
"css","21","1900","4"
"sonarqube","12","1900","5"
"c#","3456","1942","1"
"javascript","1915","1942","2"
"css","1559","1942","3"
"visibility","1497","1942","4"
".net","1326","1942","5"
"c#","3091","3603","1"
".net","922","3603","2"
"asp.net-mvc","799","3603","3"
"unit-testing","704","3603","4"
"msdeploy","593","3603","5"
"java","7760","4249","1"
"bash","946","4249","2"
"directory","937","4249","3"
"spring","761","4249","4"
"algorithm","494","4249","5"
"asp.net","27","4646","1"
"html","15","4646","2"
"vb.net","15","4646","3"
"join","6","4646","4"
"sql","6","4646","5"
"magento","5685","4668","1"
"php","5371","4668","2"
"javascript","982","4668","3"
"language-features","651","4668","4"
"controller","613","4668","5"
"python","883","4702","1"
"coding-style","836","4702","2"
"iphone","517","4702","3"
"objective-c","398","4702","4"
"policy","265","4702","5"
"java","13432","4725","1"
"generics","1378","4725","2"
"collections","936","4725","3"
"string","906","4725","4"
"swing","753","4725","5"
"pdf","166","5298","1"
"php","125","5298","2"
"html","100","5298","3"
"security","93","5298","4"
"image","91","5298","5"
"javascript","112","5321","1"
"c#","89","5321","2"
"html","66","5321","3"
"css","55","5321","4"
"jquery","45","5321","5"
"list","62","5342","1"
"python","62","5342","2"
"performance","3","5342","3"
"ssl","3","5342","4"
"https","3","5342","5"
"git","1783","5353","1"
"git-bisect","668","5353","2"
"c++","651","5353","3"
"python","535","5353","4"
"branch","488","5353","5"
"c#","93","5360","1"
"asp.net","80","5360","2"
"knockout.js","68","5360","3"
"asp.net-mvc-3","62","5360","4"
"asp.net-web-api","55","5360","5"
"wpf","9064","5380","1"
"c#","6244","5380","2"
".net","2740","5380","3"
"xaml","2262","5380","4"
"mvvm","1313","5380","5"
"asp.net-mvc","10","6466","1"
"csrf","9","6466","2"
"antiforgerytoken","9","6466","3"
"asp.net-mvc-3","9","6466","4"
"intuit-partner-platform","7","6466","5"
"c#","3014","6508","1"
".net","2323","6508","2"
"string","1472","6508","3"
"java","1396","6508","4"
"windows","1339","6508","5"
"php","5818","6521","1"
"http","5173","6521","2"
"browser","5115","6521","3"
"c#","1109","1","1"
"regex","558","1","2"
"arrays","433","1","3"
"duplicates","432","1","4"
"sql-server","397","1","5"
"html","631","3","1"
"jquery","625","3","2"
"asp.net-mvc","343","3","3"
"throttling","241","3","4"
"c#","127","3","5"
"java","5038","13","1"
"c++","2712","13","2"
"ruby","1714","13","3"
"scheme","1493","13","4"
"math","1449","13","5"
