tag,UpVotes,user_id,rownum
"php","28","7","1"
"appsec","28","7","2"
"code-review","28","7","3"
"penetration-test","28","7","4"
"professional-education","2","7","5"
"professional-education","16","11","1"
"academia","16","11","2"
"tls","12","11","3"
"network","10","11","4"
"sniffer","10","11","5"
"encryption","722","12","1"
"hash","530","12","2"
"passwords","505","12","3"
"web-application","435","12","4"
"tls","350","12","5"
"web-application","38","18","1"
"attack-prevention","18","18","2"
"appsec","18","18","3"
"xss","18","18","4"
"tls","12","18","5"
"tls","229","22","1"
"penetration-test","151","22","2"
"web-application","136","22","3"
"network","104","22","4"
"appsec","100","22","5"
"authentication","280","28","1"
"web-application","143","28","2"
"windows","139","28","3"
"tls","139","28","4"
"certificates","124","28","5"
"passwords","2022","33","1"
"cryptography","1897","33","2"
"entropy","1669","33","3"
"usability","1493","33","4"
"web-application","1068","33","5"
"passwords","819","37","1"
"penetration-test","607","37","2"
"network","512","37","3"
"web-application","392","37","4"
"tls","339","37","5"
"appsec","24","45","1"
"web-application","23","45","2"
"research","21","45","3"
"csrf","18","45","4"
"single-page-app","18","45","5"
"sql-injection","96","55","1"
"xss","42","55","2"
"http","32","55","3"
"authentication","28","55","4"
"web-application","16","55","5"
"cryptography","132","57","1"
"pgp","110","57","2"
"key-management","110","57","3"
"hardening","93","57","4"
"web-application","76","57","5"
"ids","20","68","1"
"attacks","15","68","2"
"apache","15","68","3"
"appsec","9","68","4"
"authentication","8","68","5"
"appsec","22","74","1"
"web-application","13","74","2"
"cryptography","11","74","3"
"attack-prevention","10","74","4"
"encryption","10","74","5"
"appsec","47","89","1"
"web-application","33","89","2"
"known-vulnerabilities","14","89","3"
"xss","12","89","4"
"entropy","11","89","5"
"appsec","56","98","1"
"web-application","36","98","2"
"csrf","33","98","3"
"attack-prevention","27","98","4"
"certificate-authority","23","98","5"
"attacks","19","104","1"
"c","19","104","2"
"keyloggers","14","104","3"
"confidentiality","14","104","4"
"privacy","14","104","5"
"penetration-test","16","124","1"
"automated-testing","8","124","2"
"appsec","8","124","3"
"network","8","124","4"
"passwords","8","124","5"
"appsec","18","132","1"
"xss","12","132","2"
"penetration-test","12","132","3"
"attacks","12","132","4"
"professional-education","8","132","5"
"have-i-been-pwned","420","136","1"
"passwords","412","136","2"
"certificates","20","136","3"
"chrome","20","136","4"
"appsec","12","136","5"
"webserver","14","137","1"
"authentication","13","137","2"
"appsec","11","137","3"
"databases","11","137","4"
"network","11","137","5"
"penetration-test","335","140","1"
"appsec","225","140","2"
"web-application","139","140","3"
"credit-card","130","140","4"
"antivirus","117","140","5"
"ipv6","18","151","1"
"network","18","151","2"
"web-application","17","151","3"
"configuration","12","151","4"
"http","12","151","5"
"ethics","21","156","1"
"incident-response","20","156","2"
"cloud-computing","8","156","3"
"forensics","3","156","4"
"tools","3","156","5"
"cryptography","28","158","1"
"pgp","27","158","2"
"key-management","27","158","3"
"tor","16","158","4"
"network","8","158","5"
"encryption","8","162","1"
"email","8","162","2"
"cryptography","8","162","3"
"exploit","7","162","4"
"mobile","7","162","5"
"web-browser","11","164","1"
"incident-response","11","164","2"
"known-vulnerabilities","11","164","3"
"ethics","11","164","4"
"attacks","5","164","5"
"virtualization","96","193","1"
"malware","92","193","2"
"cryptography","41","193","3"
"encryption","26","193","4"
"hash","25","193","5"
"stack-overflow","71","215","1"
"buffer-overflow","71","215","2"
"authentication","26","215","3"
"malware","10","215","4"
"url-redirection","10","215","5"
"authentication","68","217","1"
"network","51","217","2"
"encryption","48","217","3"
"captcha","47","217","4"
"email","47","217","5"
"known-vulnerabilities","10","226","1"
"web-application","92","227","1"
"passwords","63","227","2"
"xss","62","227","3"
"tls","37","227","4"
"appsec","37","227","5"
"passwords","76","238","1"
"attack-prevention","76","238","2"
"risk-analysis","76","238","3"
"file-types","13","238","4"
"exploit","13","238","5"
"malware","9","242","1"
"web-browser","9","242","2"
"exploit","9","242","3"
"pci-dss","9","242","4"
"php","5","242","5"
"tls","48","274","1"
"certificates","43","274","2"
"wildcard","30","274","3"
"http","26","274","4"
"web-application","21","274","5"
"php","263","294","1"
"penetration-test","220","294","2"
"appsec","199","294","3"
"unix","192","294","4"
"social-engineering","178","294","5"
"keyloggers","5","302","1"
"antivirus","5","302","2"
"spyware","5","302","3"
"web-application","46","379","1"
"appsec","33","379","2"
"tls","31","379","3"
"cookies","24","379","4"
"asp.net","22","379","5"
"physical","19","380","1"
"privacy","18","380","2"
"vpn","18","380","3"
"user-education","16","380","4"
"programming","16","380","5"
"tls","260","396","1"
"certificates","236","396","2"
"authentication","225","396","3"
"web-application","218","396","4"
"windows","176","396","5"
"legal","11","397","1"
"operating-systems","2","397","2"
"access-control","2","397","3"
"authentication","2","397","4"
"unix","2","397","5"
"intrusion","11","407","1"
"data-leakage","11","407","2"
"career","9","407","3"
"appsec","9","407","4"
"web-application","9","407","5"
"linux","934","414","1"
"passwords","540","414","2"
"ssh","403","414","3"
"authentication","402","414","4"
"hash","386","414","5"
"attacks","72","422","1"
"appsec","63","422","2"
"buffer-overflow","61","422","3"
"user-education","49","422","4"
"source-code","49","422","5"
"network","25","434","1"
"ssh","24","434","2"
"socks5","24","434","3"
"proxy","24","434","4"
"entropy","16","434","5"
"java","24","449","1"
"known-vulnerabilities","7","449","2"
"vulnerability","7","449","3"
"code-review","5","449","4"
"exploit","5","449","5"
"cryptography","580","453","1"
"passwords","476","453","2"
"authentication","277","453","3"
"encryption","247","453","4"
"hash","229","453","5"
"network","98","469","1"
"ddos","55","469","2"
"firewalls","46","469","3"
"attack-prevention","40","469","4"
"incident-response","23","469","5"
"xss","206","476","1"
"email","206","476","2"
"authentication","90","476","3"
"brute-force","90","476","4"
"chrome","37","476","5"
"passwords","618","485","1"
"network","565","485","2"
"web-application","434","485","3"
"encryption","393","485","4"
"authentication","342","485","5"
"web-application","17","490","1"
"attacks","15","490","2"
"penetration-test","14","490","3"
"appsec","12","490","4"
"email","11","490","5"
"hash","3","534","1"
"integrity","3","534","2"
"ethernet","2","534","3"
"aws","1","534","4"
"azure","1","534","5"
"sql-injection","58","539","1"
"php","42","539","2"
"xss","38","539","3"
"web-application","35","539","4"
"injection","19","539","5"
"tls","218","543","1"
"php","193","543","2"
"web-application","171","543","3"
"passwords","123","543","4"
"authentication","121","543","5"
"passwords","7","548","1"
"entropy","5","548","2"
"international","5","548","3"
"password-policy","5","548","4"
"salt","2","548","5"
"certificates","49","584","1"
"tls","49","584","2"
"x.509","49","584","3"
"openssl","49","584","4"
"dns","15","584","5"
"network","327","618","1"
"linux","321","618","2"
"firewalls","268","618","3"
"hardening","178","618","4"
"authentication","148","618","5"
"cryptography","10183","655","1"
"tls","8923","655","2"
"passwords","7482","655","3"
"encryption","6112","655","4"
"hash","5674","655","5"
"tls","554","665","1"
"web-application","511","665","2"
"authentication","464","665","3"
"passwords","444","665","4"
"certificates","373","665","5"
"account-security","192","692","1"
"tls","167","692","2"
"email","120","692","3"
"certificates","114","692","4"
"webserver","105","692","5"
"network","13","702","1"
"network-scanners","12","702","2"
"malware","12","702","3"
"attacks","12","702","4"
"key-management","6","702","5"
"passwords","243","764","1"
"authentication","189","764","2"
"hash","129","764","3"
"web-application","112","764","4"
"encryption","111","764","5"
"web-application","52","788","1"
"appsec","48","788","2"
"xss","29","788","3"
"attacks","22","788","4"
"php","19","788","5"
"exploit","18","816","1"
"mysql","18","816","2"
"appsec","18","816","3"
"php","18","816","4"
"sql-injection","18","816","5"
"passwords","604","836","1"
"network","383","836","2"
"authentication","356","836","3"
"web-application","302","836","4"
"encryption","290","836","5"
"authentication","58","837","1"
"cookies","58","837","2"
"php","6","837","3"
"phishing","6","837","4"
"account-security","6","837","5"
"exploit","50","838","1"
"professional-education","50","838","2"
"conference","50","838","3"
"php","6","838","4"
"known-vulnerabilities","6","838","5"
"passwords","30","848","1"
"attacks","24","848","2"
"key-management","24","848","3"
"certificates","21","848","4"
"cryptography","16","848","5"
"operating-systems","46","884","1"
"torrent","46","884","2"
"integrity","46","884","3"
"passwords","36","884","4"
"cryptography","34","884","5"
"password-management","197","903","1"
"passwords","123","903","2"
"tls","110","903","3"
"mobile","106","903","4"
"multi-factor","94","903","5"
"passwords","345","953","1"
"physical","292","953","2"
"obscurity","243","953","3"
"windows","175","953","4"
"phishing","170","953","5"
"cryptography","1299","971","1"
"encryption","1253","971","2"
"web-application","1173","971","3"
"tls","973","971","4"
"authentication","969","971","5"
"web-application","515","975","1"
"xss","330","975","2"
"tls","283","975","3"
"appsec","275","975","4"
"exploit","248","975","5"
"virtualization","65","1051","1"
"malware","65","1051","2"
"network","33","1051","3"
"wifi","29","1051","4"
"dhcp","21","1051","5"
"cryptography","225","1080","1"
"certificates","180","1080","2"
"authentication","173","1080","3"
"passwords","156","1080","4"
"public-key-infrastructure","124","1080","5"
"pci-dss","88","1158","1"
"credit-card","72","1158","2"
"compliance","70","1158","3"
"web-application","64","1158","4"
"legal","63","1158","5"
"attacks","3","1159","1"
"professional-education","3","1159","2"
"web-application","16","1160","1"
"appsec","16","1160","2"
"sql-injection","13","1160","3"
"attacks","13","1160","4"
"network","11","1160","5"
"tls","11","1163","1"
"web-browser","10","1163","2"
"hsts","9","1163","3"
"virus","7","1163","4"
"malware","7","1163","5"
"web-browser","1","1178","1"
"browser-hijacking","1","1178","2"
"malware","1","1178","3"
"network","20","1228","1"
"wifi","13","1228","2"
"man-in-the-middle","11","1228","3"
"phone","11","1228","4"
"gsm","11","1228","5"
"xss","6","1261","1"
"watermark","11","1310","1"
"printers","11","1310","2"
"steganography","11","1310","3"
"virus","10","1310","4"
"linux","10","1310","5"
"xss","2","1348","1"
"attack-prevention","1","1348","2"
"scan","1","1348","3"
"docker","1","1348","4"
"virus","1","1348","5"
"email","38","1363","1"
"network","33","1363","2"
"web-application","24","1363","3"
"linux","17","1363","4"
"malware","16","1363","5"
"cryptography","96","1396","1"
"hash","79","1396","2"
"tls","62","1396","3"
"confidentiality","60","1396","4"
"integrity","60","1396","5"
"obscurity","44","1472","1"
"network","39","1472","2"
"authentication","38","1472","3"
"http","36","1472","4"
"web-application","35","1472","5"
"appsec","28","1500","1"
"professional-education","22","1500","2"
"ddos","16","1500","3"
"anonymity","16","1500","4"
"ip-spoofing","16","1500","5"
"appsec","63","1567","1"
"tls","34","1567","2"
"web-application","27","1567","3"
"network","18","1567","4"
"certificates","15","1567","5"
"tls","238","1574","1"
"meltdown","145","1574","2"
"spectre","132","1574","3"
