id,activity_time
"104","5181145"
"1284","4841721"
"8318","5244071"
"8451","5040780"
"14061","4139230"
"16861","4676004"
"20168","253968"
"23102","5120091"
"24723","6125974"
"28965","3617998"
"32412","3808544"
"33086","1392615"
"33969","5335397"
"34510","6121310"
"34896","5558160"
"35798","1399559"
"42357","699053"
"45093","5866356"
"45627","5348345"
"47323","5323416"
"52830","778951"
"53426","4428860"
"53728","3659343"
"55296","6215665"
"56949","579503"
"59483","718541"
"60174","6177816"
"65734","3802621"
"67174","3086030"
"71328","3813151"
"71756","1662176"
"72166","1601493"
"76359","3562835"
"81202","77206"
"87431","547927"
"89663","2334015"
"97983","32"
"107823","3257679"
"108088","2665617"
"109293","3096956"
"110123","41408"
"110458","4968"
"110575","4463164"
"111707","2442402"
"116415","3218063"
"117129","2136347"
"120131","4292033"
"120189","5341353"
"124885","150225"
"129677","5794384"
"131681","6096175"
"132134","3520146"
"134086","6064807"
"134099","5977387"
"138311","1578099"
"138432","849307"
"139199","5681611"
"143791","56139"
"144696","3974996"
"145728","1487548"
"146839","585"
"147572","2582215"
"149848","4046427"
"155220","4698334"
"155751","1639801"
"156445","302265"
"157924","1121752"
"159114","1922590"
"161315","5663309"
"166565","5660328"
"167165","356258"
"167199","1887524"
"169058","39796"
"170028","5881236"
"170415","38"
"172125","3481509"
"176195","343844"
"178320","1544"
"182542","5894388"
"185210","3701534"
"186106","218"
"187761","6127306"
"188870","5751636"
"195648","2003146"
"196845","2247874"
"198462","5854533"
"198520","5269699"
"198650","1621034"
"200545","112"
"200822","1274451"
"203758","1215"
"205923","6086407"
"210820","378456"
"211941","556651"
"214802","8"
"214850","3767040"
"216324","1945899"
"219944","3296877"
"223395","1979598"
"224049","14906"
"226316","793858"
"226637","668198"
"227909","1481595"
"228138","837640"
"229596","5255633"
"229889","864211"
"231204","4181"
"239194","4692849"
"240362","4466741"
"241040","2908448"
"243152","3845110"
"244882","6051745"
"249318","3049402"
"251937","3180049"
"253327","40659"
"253545","202"
"253673","1603474"
"255723","4805796"
"258625","1957495"
"262145","1939527"
"264570","41474"
"267487","2784765"
"268182","5101078"
"269487","180"
"274274","4415492"
"274659","4795919"
"275207","553931"
"280101","1109676"
"283726","1567616"
"284163","68"
"286462","489265"
"295156","6018244"
"295385","3507834"
"295566","5987566"
"296134","365"
"299659","6001921"
"301750","4433868"
"305044","4324240"
"306668","1256801"
"309497","2604831"
"313998","238"
"315672","5959823"
"316367","61"
"316894","252595"
"323264","3218509"
"323938","1633604"
"324905","323585"
"325086","23462"
"327499","1903468"
"332365","5985483"
"339312","1313587"
"339531","3436223"
"339603","2816925"
"339931","1005614"
"341422","5847470"
"341872","5112805"
"341966","56"
"344314","2514272"
"344437","41"
"348985","4578888"
"350177","5816865"
"350202","3399284"
"350697","127689"
"352172","1564919"
"354161","126232"
"354676","4881379"
"357499","1563985"
"357567","4073580"
"361701","982"
"363190","1922988"
"365309","2987984"
"368146","2404500"
"368313","54"
"369981","1457071"
"371928","3608543"
"381042","907"
"381171","5607885"
"381747","1782438"
"387936","1781739"
"388699","3137838"
"388985","127"
"390359","431"
"395592","3413323"
"396324","324752"
"398179","157396"
"400407","677014"
