id,activity_time
"1","3104189"
"2","3467038"
"7","3842961"
"75","3692711"
"97","2530279"
"114","2208489"
"117","1586843"
"162","3843827"
"163","2686347"
"164","3843812"
"183","3271912"
"241","4959833"
"244","84640"
"245","2575183"
"249","3858899"
"259","793539"
"264","4416692"
"276","1826174"
"277","2568663"
"290","571210"
"312","2865933"
"369","85443"
"377","588718"
"380","3838101"
"381","3182207"
"382","2784651"
"387","2169090"
"397","4211269"
"398","1049878"
"416","281481"
"437","650695"
"438","1944949"
"486","3695902"
"515","782464"
"553","4138215"
"580","471271"
"595","77908"
"627","625750"
"645","1650426"
"675","2636884"
"807","2345399"
"829","3496206"
"847","440"
"854","949927"
"978","22203"
"1009","2508652"
"1044","3093242"
"1062","4236353"
"1063","50952"
"1068","2505342"
"1069","1806000"
"1070","3804303"
"1108","1375"
"1166","46869"
"1180","8480"
"1225","760280"
"1238","3789123"
"1257","3788746"
"1262","872254"
"1322","1752925"
"1344","1151"
"1362","32379"
"1368","3777406"
"1427","345"
"1463","322969"
"1577","129"
"1621","1633102"
"1653","700322"
"1680","1413931"
"1707","3747741"
"1735","3378041"
"1766","44113"
"1906","1293190"
"1961","1192"
"2003","316615"
"2010","340838"
"2013","1733412"
"2021","269"
"2022","75774"
"2023","73396"
"2028","322154"
"2078","3716184"
"2087","2567937"
"2091","2708014"
"2092","3714863"
"2099","11018"
"2120","3712908"
"2178","1370071"
"2226","118699"
"2243","1025356"
"2257","3696531"
"2330","711518"
"2342","3687585"
"2372","139691"
"2403","199542"
"2405","3682511"
"2503","4000777"
"2517","15723"
"2525","1989"
"2552","2421731"
"2581","3529122"
"2582","3664904"
"2592","2395497"
"2631","2924420"
"2703","3353775"
"2715","3827757"
"2804","348"
"2837","1465318"
"2963","852"
"2982","1164259"
"2985","777"
"3001","2876054"
"3004","3886806"
"3034","291"
"3056","3707513"
"3085","699353"
"3142","4447"
"3165","1263295"
"3174","1594"
"3406","637"
"3460","1322978"
"3521","1354735"
"3543","1531"
"3584","1381234"
"3600","13415"
"3601","145736"
"3606","896680"
"3640","2236947"
"3674","144081"
"3694","2362894"
"3707","241"
"3763","3246"
"3787","5743"
"3844","918156"
"3848","2237189"
"3879","348"
"3889","443"
"3949","59079"
"4104","2770446"
"4193","4182377"
"4196","3875225"
"4213","14281"
"4217","1074"
"4248","4701801"
"4253","22794"
"4254","441069"
"4309","19044"
"4354","5927"
"4420","93076"
"4436","2564"
"4471","846"
"4503","1212"
"4524","172"
"4530","1942326"
"4536","1895"
"4555","3303007"
"4570","1208468"
"4667","1344909"
"4752","1673316"
"4758","3725138"
"4796","1489413"
"4824","973"
"4841","2999611"
"4859","1095"
"4981","7094"
"5020","199"
"5033","309457"
"5067","997"
"5084","1349495"
"5091","2618472"
"5107","228273"
"5119","3047607"
"5132","2047318"
"5182","572"
"5212","269"
"5227","3586455"
"5244","3932324"
"5266","5122"
"5310","120089"
"5414","403938"
"5440","881037"
"5441","632"
"5467","2276192"
"5505","4744416"
"5514","1453"
"5637","3956"
"5644","256"
"5763","2164143"
"5786","2841565"
"5817","26389"
"5835","3034"
"5847","2435693"
"5860","7761"
"5869","2113850"
"5883","369"
"5897","90988"
"5932","1894"
"5949","362"
"6020","83999"
"6077","1916"
"6204","2907"
"6236","2559557"
"6259","3295441"
"6329","835295"
"6411","2777"
"6465","3808"
"6478","1564"
"6510","48229"
"6530","49257"
"6535","69"
"6550","586821"
"6666","2709989"
"6694","3622441"
"6753","1940074"
"6756","1262189"
"6827","254"
"6842","523201"
"6904","120"
"6946","267770"
"6957","1337806"
"6998","3779154"
"7062","1407548"
"7080","501880"
"7084","6389"
"7204","2385961"
"7256","581"
"7277","27036"
"7434","544606"
"7519","2492801"
"7553","847082"
"7641","1105894"
"7687","766764"
"7697","422991"
"7703","2756734"
"7705","3445644"
"7720","1189119"
"7776","1054"
"7802","4148973"
"7849","2417635"
"7860","194"
"7870","611"
"7911","3366558"
"7920","0"
"7938","2019"
"7961","32"
"8033","602"
"8066","1872535"
"8074","1006"
"8099","1058"
"8113","2940229"
"8155","1080541"
"8174","510681"
"8181","1477828"
"8201","2814757"
"8303","1208"
"8310","464874"
"8427","878635"
"8445","9663"
"8446","11553"
"8456","262"
"8573","135189"
"8587","1788"
"8602","1214349"
"8610","1173"
"8621","279973"
"8663","716"
"8711","2101"
"8733","16979"
"8744","2421733"
"8749","486425"
"8757","367499"
"8761","2156941"
"8785","218"
"8798","2179300"
"8803","218"
"8857","1064188"
"8865","8945"
"8867","1037854"
"8873","2785"
"8895","467390"
"8896","1949"
"8945","419235"
"9095","3655232"
"9096","3970070"
"9106","2179"
"9113","190"
"9133","860466"
"9156","760872"
"9230","1148"
"9237","185"
"9263","3294"
"9272","2145"
"9348","4142973"
"9440","2396384"
"9453","1587790"
"9461","2486391"
"9470","2545592"
"9561","3367215"
"9623","386"
"9628","3369340"
