id,acceptedanswerid,answer_date
"16473","16484","2008-08-19 16:08:24"
"19773","19784","2008-08-21 12:59:03"
"20510","20645","2008-08-21 17:43:48"
"20047","21158","2008-08-21 20:53:51"
"20386","24079","2008-08-23 08:17:01"
"25730","25831","2008-08-25 10:03:23"
"33529","33541","2008-08-28 22:19:38"
"34512","34520","2008-08-29 15:58:34"
"36877","36885","2008-08-31 14:38:41"
"40119","40285","2008-09-02 18:49:35"
"44080","44137","2008-09-04 16:36:57"
"47707","47745","2008-09-06 19:09:56"
"52566","52594","2008-09-09 18:51:03"
"69565","69600","2008-09-16 05:30:28"
"76408","78561","2008-09-17 00:11:01"
"78900","78990","2008-09-17 01:38:24"
"5509","81892","2008-09-17 10:39:03"
"89112","89133","2008-09-18 01:15:25"
"122877","122940","2008-09-23 18:43:36"
"124745","124760","2008-09-24 00:37:08"
"146841","147278","2008-09-29 02:04:56"
"150805","150826","2008-09-29 21:36:40"
"153953","168915","2008-10-03 21:07:33"
"178876","185025","2008-10-08 21:36:54"
"191692","191702","2008-10-10 14:52:43"
"196177","196195","2008-10-12 22:04:12"
"199017","199123","2008-10-13 21:39:12"
"200786","203947","2008-10-15 07:29:00"
"208387","208420","2008-10-16 12:52:37"
"218681","219165","2008-10-20 17:03:08"
"228476","228491","2008-10-23 03:52:17"
"233258","233313","2008-10-24 12:32:31"
"239905","239960","2008-10-27 13:57:28"
"242629","242666","2008-10-28 09:35:17"
"244489","244540","2008-10-28 19:33:20"
"60518","256843","2008-11-02 12:25:14"
"270011","270082","2008-11-06 20:14:54"
"273209","273287","2008-11-07 19:20:25"
"276087","276124","2008-11-09 16:59:35"
"279173","279188","2008-11-10 21:08:47"
"285586","285610","2008-11-12 22:24:13"
"302357","304073","2008-11-20 01:29:10"
"307478","308270","2008-11-21 09:34:30"
"312069","312113","2008-11-23 04:19:21"
"321241","321347","2008-11-26 16:37:53"
"332833","332915","2008-12-02 03:03:00"
"320636","335669","2008-12-02 22:18:49"
"344719","344757","2008-12-05 18:34:57"
"346499","346507","2008-12-06 17:22:45"
"354035","354484","2008-12-09 22:28:03"
"260192","360428","2008-12-11 18:46:39"
"364172","364994","2008-12-13 08:21:08"
"367571","367945","2008-12-15 10:21:26"
"372933","372962","2008-12-16 22:16:48"
"391913","391919","2008-12-24 17:44:09"
"394895","394916","2008-12-27 11:28:29"
"394836","394958","2008-12-27 12:37:25"
"396100","396105","2008-12-28 11:33:33"
"409449","409564","2009-01-03 18:43:01"
"421893","422147","2009-01-07 21:21:38"
"428478","428519","2009-01-09 15:36:56"
"429254","429341","2009-01-09 19:21:30"
"432491","432511","2009-01-11 07:31:32"
"433700","433705","2009-01-11 21:08:07"
"423802","442304","2009-01-14 08:42:06"
"443009","443066","2009-01-14 14:10:44"
"444191","444209","2009-01-14 18:52:28"
"469098","469148","2009-01-22 13:38:50"
"321036","469633","2009-01-22 15:41:32"
"470820","472437","2009-01-23 10:13:52"
"472700","472735","2009-01-23 12:39:44"
"475539","479943","2009-01-26 14:24:54"
"487173","487462","2009-01-28 12:36:35"
"487889","487915","2009-01-28 14:58:52"
"413940","492003","2009-01-29 15:18:30"
"491527","492182","2009-01-29 15:52:44"
"478242","497628","2009-01-30 23:07:54"
"494327","503656","2009-02-02 15:46:15"
"505465","505483","2009-02-02 23:46:35"
"507249","507397","2009-02-03 14:58:11"
"508398","508519","2009-02-03 19:25:11"
"511289","511325","2009-02-04 13:23:20"
"512371","513661","2009-02-04 22:24:58"
"517950","518084","2009-02-05 21:42:20"
"520107","520130","2009-02-06 12:33:29"
"527296","527354","2009-02-09 07:33:28"
"528405","528435","2009-02-09 14:49:54"
"532917","533606","2009-02-10 18:43:31"
"533021","536239","2009-02-11 10:24:05"
"536432","536436","2009-02-11 11:48:25"
"537103","537113","2009-02-11 14:46:12"
"554138","554155","2009-02-16 18:44:30"
"556616","556622","2009-02-17 12:43:41"
"560507","560546","2009-02-18 10:37:25"
"562617","562636","2009-02-18 20:15:15"
"562843","562873","2009-02-18 21:16:35"
"565425","565451","2009-02-19 14:07:11"
"586759","586805","2009-02-25 16:42:58"
"585149","594046","2009-02-27 09:05:40"
"595187","600292","2009-03-01 19:01:21"
"600757","600767","2009-03-01 23:11:19"
"626290","628134","2009-03-09 21:39:53"
"643122","643135","2009-03-13 15:04:54"
"653012","653041","2009-03-17 04:41:49"
"656583","656588","2009-03-18 00:47:33"
"651481","658247","2009-03-18 13:28:04"
"664718","664724","2009-03-20 01:46:08"
"665094","666157","2009-03-20 13:31:42"
"667177","667248","2009-03-20 17:52:09"
"670791","670801","2009-03-22 10:15:33"
"685904","685988","2009-03-26 14:17:56"
"686397","687130","2009-03-26 19:01:34"
"693270","693285","2009-03-28 18:41:08"
"697336","697428","2009-03-30 14:21:32"
"701580","701639","2009-03-31 15:40:19"
"703856","703862","2009-04-01 02:40:24"
"666573","705894","2009-04-01 14:51:47"
"714125","714140","2009-04-03 14:22:53"
"720508","720523","2009-04-06 07:47:25"
"728063","728085","2009-04-08 00:23:14"
"712975","734293","2009-04-09 13:41:53"
"739850","739937","2009-04-11 11:57:42"
"730913","740626","2009-04-11 19:01:32"
"735894","741283","2009-04-12 04:58:07"
"742730","742760","2009-04-13 01:09:38"
"751957","751963","2009-04-15 14:26:29"
"761077","762030","2009-04-17 20:16:19"
"765285","765589","2009-04-19 15:43:57"
"767392","767417","2009-04-20 08:37:32"
"770555","782459","2009-04-23 16:13:32"
"789826","789839","2009-04-25 22:24:15"
"795237","795262","2009-04-27 20:57:21"
"749911","801624","2009-04-29 09:39:37"
"801737","801799","2009-04-29 10:44:34"
"797883","827845","2009-05-06 03:00:39"
"829105","831812","2009-05-06 21:18:15"
"838540","838563","2009-05-08 07:06:19"
"846460","846569","2009-05-11 02:48:52"
"728088","860875","2009-05-13 23:13:46"
"867660","868528","2009-05-15 12:56:08"
"871610","871769","2009-05-16 05:28:05"
"882884","882912","2009-05-19 13:52:35"
"884781","884792","2009-05-19 20:15:08"
"891913","891924","2009-05-21 08:43:40"
"895600","895647","2009-05-21 22:47:42"
"897020","897061","2009-05-22 09:30:32"
"898273","898306","2009-05-22 14:57:34"
"902687","902702","2009-05-23 23:22:20"
"905118","905127","2009-05-25 02:30:55"
"904775","907794","2009-05-25 19:26:08"
"919334","919347","2009-05-28 05:44:23"
"920114","920189","2009-05-28 10:28:35"
"935922","937880","2009-06-02 04:22:06"
"939831","940001","2009-06-02 14:51:22"
