id,acceptedanswerid,answer_date
"1","13","2010-11-11 21:51:00"
"2","27","2010-11-11 22:05:46"
"7","16","2010-11-11 21:53:28"
"75","80","2010-11-11 23:09:31"
"114","120","2010-11-12 00:39:17"
"117","121","2010-11-12 00:40:22"
"162","167","2010-11-12 08:35:31"
"163","332","2010-11-14 14:17:38"
"164","173","2010-11-12 08:52:28"
"183","187","2010-11-12 09:56:14"
"241","254","2010-11-12 19:34:32"
"244","251","2010-11-12 17:42:41"
"245","308","2010-11-14 11:08:46"
"259","261","2010-11-12 23:00:44"
"264","7918","2011-10-06 17:18:55"
"277","302","2010-11-14 04:13:56"
"312","318","2010-11-14 12:28:58"
"369","370","2010-11-15 16:29:30"
"377","384","2010-11-16 08:01:58"
"380","12542","2012-03-09 05:27:31"
"381","386","2010-11-16 10:09:59"
"387","394","2010-11-16 16:01:42"
"397","400","2010-11-16 23:15:28"
"398","399","2010-11-16 22:50:01"
"416","417","2010-11-17 15:37:19"
"438","30748","2013-02-12 08:38:02"
"486","492","2010-11-19 01:52:08"
"515","543","2010-11-19 19:55:19"
"580","583","2010-11-20 18:05:52"
"595","597","2010-11-20 23:25:40"
"627","630","2010-11-21 10:09:52"
"645","649","2010-11-21 16:30:03"
"675","676","2010-11-22 01:39:18"
"807","808","2010-11-25 06:40:06"
"854","867","2010-11-29 12:35:51"
"978","1220","2010-12-19 15:52:34"
"1009","1016","2010-12-07 15:21:35"
"1044","1046","2010-12-08 18:42:28"
"1062","1084","2010-12-10 10:13:29"
"1063","1064","2010-12-09 15:30:42"
"1068","1075","2010-12-09 19:27:35"
"1070","1074","2010-12-09 19:25:47"
"1166","1174","2010-12-15 21:38:24"
"1180","1294","2010-12-21 22:16:44"
"1225","1230","2010-12-19 22:14:22"
"1238","1349","2010-12-25 12:40:23"
"1257","1282","2010-12-21 13:41:49"
"1262","1267","2010-12-20 21:33:19"
"1322","1497","2011-01-07 06:52:26"
"1344","1348","2010-12-25 12:14:49"
"1362","1363","2010-12-27 20:10:07"
"1368","1373","2010-12-28 21:16:46"
"1427","1431","2011-01-03 05:54:53"
"1463","1472","2011-01-05 22:34:16"
"1577","1578","2011-01-12 12:57:46"
"1621","1622","2011-01-14 07:10:21"
"1653","1655","2011-01-16 05:17:26"
"1680","1716","2011-01-18 19:59:50"
"1707","1712","2011-01-18 18:17:56"
"1766","2205","2011-02-20 03:16:47"
"1906","1910","2011-01-27 06:45:54"
"1961","1962","2011-01-31 18:35:34"
"2010","2011","2011-02-05 02:23:55"
"2021","2029","2011-02-06 19:59:35"
"2022","2801","2011-03-29 16:14:39"
"2078","2080","2011-02-09 16:59:01"
"2087","2089","2011-02-10 09:00:50"
"2092","2093","2011-02-10 12:52:07"
"2120","2126","2011-02-12 02:32:13"
"2178","2179","2011-02-17 00:58:48"
"2226","3782","2011-05-13 11:50:05"
"2243","2341","2011-03-01 13:27:18"
"2257","2262","2011-02-23 16:55:01"
"2330","2333","2011-03-01 06:47:52"
"2342","2343","2011-03-01 15:12:49"
"2372","2374","2011-03-03 18:57:22"
"2405","2409","2011-03-05 19:20:35"
"2503","2504","2011-03-10 08:46:58"
"2517","2536","2011-03-13 20:11:50"
"2525","2529","2011-03-12 17:57:13"
"2552","2555","2011-03-15 21:05:14"
"2581","2586","2011-03-17 12:03:18"
"2582","2680","2011-03-23 23:27:00"
"2592","2607","2011-03-18 16:18:39"
"2631","2634","2011-03-20 19:16:25"
"2703","2708","2011-03-25 04:37:46"
"2715","2717","2011-03-25 11:10:16"
"2837","2841","2011-04-01 07:44:36"
"2963","2970","2011-04-08 00:13:31"
"2982","2983","2011-04-08 20:59:14"
"2985","2987","2011-04-09 04:55:19"
"3001","3024","2011-04-11 13:03:23"
"3004","3007","2011-04-10 16:14:43"
"3034","3037","2011-04-12 00:43:24"
"3056","3058","2011-04-13 00:38:58"
"3085","3089","2011-04-14 14:20:37"
"3142","3143","2011-04-18 07:17:10"
"3165","3168","2011-04-19 13:00:16"
"3174","3177","2011-04-19 13:46:36"
"3460","3461","2011-04-30 16:53:34"
"3521","3530","2011-05-03 17:38:23"
"3543","3549","2011-05-04 14:34:37"
"3584","3590","2011-05-05 17:50:27"
"3600","3604","2011-05-06 12:08:35"
"3601","6268","2011-08-15 14:20:19"
"3674","3675","2011-05-09 05:49:21"
"3707","3708","2011-05-10 16:38:17"
"3763","3765","2011-05-12 17:49:35"
"3844","3846","2011-05-15 20:45:49"
"3848","96953","2015-08-16 14:16:07"
"3879","3883","2011-05-17 09:52:46"
