Id,ParentId,OwnerUserId
"107","104","61"
"110","104","36"
"112","104","34"
"159","104","42"
"161","104","33"
"1263","104","257"
"1317","1284","48"
"1328","1284","121"
"1333","1284","91"
"1336","1284","121"
"1356","1284","314"
"2608","1284","431"
"2947","104","357"
"4702","104","645"
"8322","8318","1054"
"8476","8451","116"
"8482","8451","342"
"8486","8451","872"
"8490","8451","872"
"8530","8451","13"
"8540","8451","872"
"8544","8451","872"
"8600","8451","342"
"11766","104","1219"
"12433","104","1529"
"13312","104","1490"
"14065","14061","17"
"14092","14061","615"
"14143","14061","1975282"
"14337","14061","900"
"14343","14061","936"
"14688","14061","1975282"
"14726","14061","900"
"14767","14061","1975282"
"14786","14061","900"
"16875","16861","92"
"16929","16861","1694"
"18543","104","1242"
"20177","20168","35"
"20181","20168","1432"
"20229","20168","206"
"20234","20168","2143"
"20238","20168","1297"
"23110","23102","429"
"23112","23102","1975282"
"23116","23102","832"
"23119","23102","2293"
"23122","23102","1063"
"23128","23102","1862"
"23135","23102","2213"
"23140","23102","1433"
"23206","23102","204"
"24103","23102","1897"
"24142","23102","1693"
"25136","16861","2363"
"25151","16861","2010"
"27194","8451","257"
"27705","24723","86"
"28967","28965","3018"
"28972","28965","1992"
"28978","28965","2025"
"29084","28965","3052"
"29102","28965","3111"
"29163","28965","1750"
"30214","28965","2974"
"30227","104","3237"
"32417","32412","2131"
"32422","32412","740"
"32456","32412","3043"
"33100","33086","72"
"33108","33086","1975282"
"33125","33086","72"
"33194","33086","3498"
"34537","34510","1578"
"34550","34510","142"
"34562","34510","2695"
"34578","34510","3575"
"34621","34510","1412"
"34745","34510","2570347"
"34901","34896","2894"
"34902","34896","3641"
"34903","34896","2993"
"34905","34896","1797"
"34906","34896","770"
"34919","34896","1484"
"34923","34896","71"
"34984","34896","1806"
"35096","34896","1438"
"35138","34896","3674"
"35803","35798","46"
"36088","34896","1862"
"37850","104","3308"
"38708","8451","954"
"42367","42357","3560"
"42369","42357","1965"
"42373","42357","4325"
"42378","42357",""
"42432","42357","1463"
"42442","42357","3560"
"42596","42357","1463"
"42651","42357","71"
"42662","42357","3560"
"45096","45093","4203"
"45098","45093","4310"
"45099","45093","740"
"45119","45093","4657"
"45633","45627","1122"
"45635","45627","3333"
"45636","45627","4272"
"45637","45627","1196"
"45639","45627","2974"
"45645","45627","1830"
"45652","45627","1007"
"45709","45627","1409"
"45717","45627","1078"
"45721","45627","1898"
"45767","45627","4633"
"45943","45627","4727"
"45951","45627","2353001"
"45963","45627","4405"
"46360","45627","4410"
"47324","47323","1583"
"47325","47323","2257"
"47331","47323","1762"
"47358","45627","2131"
"47469","47323","4615"
"47581","47323","4890"
"47965","23102","2915"
"50095","45627","2174"
"52843","52830","1862"
"52846","52830","380"
"52849","52830","5342"
"53429","53426","5066"
"53434","53426","3146"
"53443","53426","3279"
"53445","53426","157"
"53462","53426","1695"
"53486","53426","131"
"53739","53728","383"
"53741","53728","3320"
"53755","53728","238"
"53816","53728","5539"
"54975","53426","3807"
"55318","55296","4337"
"55368","23102","5674"
"55384","33086","5674"
"55389","55296","3909"
"55803","53426","3137"
"56967","56949","4570"
"57423","55296","5674"
"57434","53728","5674"
"59509","59483","2148773"
"59514","59483","2328"
"59517","59483","4285"
"59553","59483","5039"
"60180","60174","1862"
"60195","60174","567"
"60442","60174","797"
"60496","60174","1109"
"60530","60174","1897"
"60988","45627","3830"
"65802","65734","2257"
"65808","65734","9403"
"65851","65734","3560"
"65919","65734","3560"
"67251","67174","122"
"67317","67174","7228"
"67378","67174",""
"67601","67174","8123"
"68820","47323","8609"
"68855","67174","8090"
"70055","67174","7228"
"70222","53728","10080"
"70290","45627","11344"
"70304","45627","11344"
"70322","45627","11206"
"70390","28965","9128"
"70433","28965","5468"
"70674","67174","11521"
"71358","71328","1968"
"71431","71328","6260"
"71439","71328","184"
"71444","71328","2169"
"71541","71328","10682"
"71568","71328","745"
"71612","71328","11910"
"71635","71328","287"
"71769","71756","6528"
"71780","71756","9581"
"71782","71756","3267"
"71783","71756","8562"
"71784","71756","11347"
"71830","71756","2083160"
"71904","71756","6898"
"71943","71756","11670"
"71992","71756","3043"
"72311","72166","12234"
"72367","72166","12092"
"72385","72166","2455"
"72398","71756","12222"
"72452","71756","12253"
"72476","71756","11492"
"72620","1284","7428"
"72902","67174","12291"
"73119","67174","12567"
"74513","72166","5674"
"74668","72166","10080"
"74918","71756",""
"75030","72166","2017"
"75839","71328",""
"75879","71328","8973"
"76528","76359","1425"
"76565","76359","8815"
"77290","71328","7548"
"77320","71328","3542"
"77349","71328","13864"
"77376","71328","13518"
"77396","71328","13978"
"77689","71328","13320"
"78553","67174","14089"
"81223","81202","14860"
"81264","81202","10432"
"81324","81202","7754"
"82238","72166","15623"
"87443","87431","12624"
"87515","87431","15614"
"87525","87431","8435"
"87528","87431","4396"
"88437","81202","16929"
"89682","89663","8557"
"89683","89663","14637"
"89711","89663","4281"
"91509","53728","13113"
"93857","16861","17898"
"94086","53728","9573"
"96352","81202",""
"98091","97983","16204"
"98159","97983","4761"
"100912","53728","11421"
"105509","87431","16398"
"107832","107823","7512"
"107835","107823","13209"
"107937","107823","16724"
"108093","108088","4337"
"108119","108088","4358"
"109304","109293","5190"
"109307","109293","15950"
"109309","109293","10157"
"109328","109293","18893"
"109353","109293","2147"
"110146","110123","14637"
"110233","110123","3055"
"110260","110123","12887"
"110373","110123","10080"
"110471","110458","4600"
"110486","110458","11318"
"110492","110458","6195"
"110526","110458","1820"
"110532","110458","7028"
"110545","110458","9403"
"110576","110575","1820"
"110596","110575","13724"
"110970","45627","19912"
"111735","111707","7028"
"112256","111707","17174"
"112896","111707","2590"
"112933","111707","12476"
"113075","111707","18255"
"113254","111707","12702"
"113361","111707","14924"
"116237","110575","20579"
"116305","110575","6726"
"116459","116415","20382"
"116473","116415","8136"
"116474","116415","9425"
"116478","116415","4203"
"116520","116415","20634"
"117136","117129","307"
"117568","116415","9925"
"118449","117129","1574"
"119136","117129","14814"
"120145","120131","15498"
"120146","120131","4203"
"120151","120131","15498"
"120162","120131","20520"
"120167","120131","21009"
"120175","120131","21009"
"120179","120131","3320"
"120188","120131","15498"
"120202","120189","20261"
"120204","120189","12124"
"120205","120189","2859"
"120241","120131","12030"
"120278","120131","15809"
"121262","120189","20486"
"122066","120189","9573"
"124862","117129","2676"
"125091","124885","7280"
"125644","120189","9128"
"126519","120131","7211"
"127067","117129","3381"
"127712","120131","16473"
"128567","120131","15296"
"128766","110458","15296"
"129713","129677","7548"
"129736","129677","2859"
"129760","129677","15099"
"129767","129677","8815"
"130323","129677","18180"
"130534","129677","18077"
"131685","131681","5190"
"132141","132134","377"
"132158","132134","8934"
"132160","132134","12870"
"132190","132134","12895"
"133130","132134","2745"
"133427","132134","7211"
"134101","134086","5640"
"134137","134099","2083"
"134138","134099","3043"
"134139","134086","1812999"
"134141","134086","5904"
"134172","134099","18180"
"134174","134086","12560"
"134269","134086","22111"
"134334","134086","18782"
"134361","134086","5314"
"134426","134086","12919"
"134440","134086","20310"
"136183","53426","22369"
"136333","53426","19734"
"138372","138311","15046"
"138465","138432","8844"
"138469","138432","3050"
"138488","138432","22108"
"138504","138432","13744"
"139215","139199","18505"
"139218","139199","507"
"139219","139199","14663"
"139221","139199","17832"
"139235","139199","3743"
"139247","139199","419"
"139264","139199","15769"
"139270","139199","12030"
"139274","139199","20402"
"139413","138432","10080"
"139810","139199","10080"
"141445","139199","9610"
"143804","143791","18179"
"143809","143791","9530"
"143826","143791","16827"
"143992","143791","3232"
"144956","144696","2321"
"145736","145728","21234"
"145809","145728","16724"
"145901","120131",""
"146356","144696","20772"
"146845","146839","5190"
"146847","146839",""
"146861","146839",""
"146954","146839","11181"
"147322","143791","21943"
"147578","147572","13500"
"147585","147572","3560"
"147586","147572","5066"
"147587","147572","12868"
"147589","147572","12711"
"147619","147572","15152"
"147831","146839","1384"
"149775","143791","20493"
"149854","149848","18255"
"149856","149848","23020"
"150101","139199","22422"
"150323","149848","9345"
"150338","149848","22381"
"155332","155220","4271"
"155362","155220","17174"
"155753","134086","23524"
"155768","155751","459"
"156119","155751","3765"
"156314","155220","18255"
"156454","156445","4977"
"156512","156445","17826"
"157946","157924","3043"
"158346","155751","1151280"
"158594","155751","20486"
"159120","159114","96"
"159136","159114","655"
"159165","159114","2424"
"159206","159114","14688"
"159248","159114","8815"
"159272","159114","4257"
"159757","157924","24231"
"161690","161315","7898"
"161886","161315","9474"
"164206","161315","13216"
"166585","166565","2287"
"166598","166565","15031"
"166603","166565","24481"
