tag,DownVotes,user_id,rownum
"c#","17","4050","1"
"nhibernate","7","4050","2"
"orm","7","4050","3"
"enterprise","7","4050","4"
"performance","4","4050","5"
"c++","15","4304","1"
"powershell","10","4304","2"
"stl","5","4304","3"
"scripting","4","4304","4"
"container-data-type","4","4304","5"
"react-native","5","4333","1"
"javascript","4","4333","2"
"backbone.js","4","4333","3"
"ios","2","4333","4"
"node.js","2","4333","5"
"objective-c","10","4468","1"
"windows","6","4468","2"
"winapi","6","4468","3"
"cygwin","6","4468","4"
"gcc","6","4468","5"
"c#","48","4574","1"
".net","31","4574","2"
"javascript","18","4574","3"
"datetime","17","4574","4"
"time","17","4574","5"
"c#","6","4591","1"
"c++","3","4591","2"
"stack-trace","2","4591","3"
"schema","2","4591","4"
"serialization","2","4591","5"
"cmake","14","4596","1"
"android","5","4596","2"
"ctest","5","4596","3"
"version-control","4","4596","4"
"change-management","3","4596","5"
"c++","64","4761","1"
"gcc","62","4761","2"
"string","62","4761","3"
"python","15","4761","4"
"linux","15","4761","5"
"unix","63","4926","1"
"shell","63","4926","2"
"command-line","63","4926","3"
"java","39","4926","4"
"php","31","4926","5"
"google-app-engine","1","5042","1"
"python","1","5042","2"
"gcc","3","5070","1"
"debugging","3","5070","2"
"segmentation-fault","3","5070","3"
"gdb","3","5070","4"
"javascript","2","5109","1"
"frameworks","2","5109","2"
"browser-history","1","5109","3"
"functional-programming","2","5295","1"
"javascript","2","5295","2"
"underscore.js","2","5295","3"
"command-line","1","5295","4"
"macos","1","5295","5"
"java","2","5541","1"
"build-process","1","5541","2"
"configuration-management","1","5541","3"
"swing","1","5541","4"
"exception","1","5541","5"
"c++","24","5597","1"
"c++11","13","5597","2"
"multithreading","9","5597","3"
"sqlite","7","5597","4"
"metadata","7","5597","5"
"c#","63","5728","1"
"windows","36","5728","2"
".net","30","5728","3"
"c++","21","5728","4"
"wpf","16","5728","5"
"c++","19","5822","1"
"c","7","5822","2"
"ios","5","5822","3"
"graphics","4","5822","4"
"3d","4","5822","5"
"python","7","5862","1"
"database","3","5862","2"
"couchdb","3","5862","3"
"nosql","3","5862","4"
"mongodb","3","5862","5"
"javascript","28","5921","1"
"jquery","16","5921","2"
"css","8","5921","3"
"html","8","5921","4"
"events","5","5921","5"
"python","9","6043","1"
"bash","5","6043","2"
"shell","5","6043","3"
"python-module","4","6043","4"
"python-import","4","6043","5"
"jquery","8","6068","1"
"javascript","7","6068","2"
"clojure","3","6068","3"
"emacs","2","6068","4"
"android","2","6068","5"
"c#","15","8505","1"
".net","10","8505","2"
"collections","6","8505","3"
"thread-safety","5","8505","4"
"oop","3","8505","5"
"oracle","40","8670","1"
"sql","22","8670","2"
"plsql","10","8670","3"
"oracle10g","6","8670","4"
"null","5","8670","5"
"c#","25","8707","1"
"validation","9","8707","2"
"asp.net-mvc","9","8707","3"
".net","8","8707","4"
"jquery","8","8707","5"
"python","62","8747","1"
"c++","40","8747","2"
"dictionary","13","8747","3"
"string","11","8747","4"
"variables","9","8747","5"
"unit-testing","9","8976","1"
"constructor","9","8976","2"
"exception","8","8976","3"
"language-agnostic","8","8976","4"
"c++","8","8976","5"
"formatting","15","9083","1"
"sql","15","9083","2"
"readability","15","9083","3"
"c++","8","9083","4"
"inheritance","5","9083","5"
"linux","5","9232","1"
"flexible-array-member","4","9232","2"
"c++","4","9232","3"
"python","3","9232","4"
"crash","3","9232","5"
"c++","50","9236","1"
"string","30","9236","2"
"c++-standard-library","11","9236","3"
"tolower","11","9236","4"
"javascript","4","9236","5"
"wpf","15","9268","1"
".net","7","9268","2"
"virtualization","5","9268","3"
"itemscontrol","5","9268","4"
"c#","5","9268","5"
"gradle","6","6509","4"
"bash","6","6509","5"
"algorithm","7","6560","1"
"search","7","6560","2"
"anti-patterns","4","6560","3"
"c#","4","6560","4"
"language-agnostic","3","6560","5"
"java","12","6583","1"
"design-patterns","9","6583","2"
"dependency-injection","8","6583","3"
"c#","5","6583","4"
"registry","3","6583","5"
"c#","5","6604","1"
"boolean","4","6604","2"
".net","4","6604","3"
"asp.net-mvc","3","6604","4"
"routing","3","6604","5"
"language-agnostic","5","6688","1"
"iphone","4","6688","2"
"naming","4","6688","3"
"c","4","6688","4"
"computer-architecture","3","6688","5"
"c#","36","7116","1"
".net","12","7116","2"
"c","12","7116","3"
"c++","7","7116","4"
"wpf","6","7116","5"
"java","141","7412","1"
"bash","84","7412","2"
"directory","35","7412","3"
"shell","31","7412","4"
"linux","23","7412","5"
"go","50","7426","1"
"php","10","7426","2"
"javascript","9","7426","3"
"html","7","7426","4"
"arrays","6","7426","5"
"python","120","7432","1"
"programming-languages","78","7432","2"
"tkinter","73","7432","3"
"language-agnostic","72","7432","4"
"user-interface","17","7432","5"
"c#","44","7516","1"
"javascript","27","7516","2"
"sql-server","25","7516","3"
"date","22","7516","4"
"tsql","22","7516","5"
"xslt","10","7585","1"
"html","5","7585","2"
"javascript","4","7585","3"
"xpath","4","7585","4"
"object","4","7585","5"
"java","31","7595","1"
"language-agnostic","29","7595","2"
"javascript","26","7595","3"
"arrays","18","7595","4"
"search","17","7595","5"
"ruby","6","17232","1"
"amazon-s3","5","17232","2"
"http","5","17232","3"
"jakarta-ee","4","17232","4"
"ejb","4","17232","5"
"client-server","1","17419","1"
"flatbuffers","1","17419","2"
"response","1","17419","3"
"linux","2","17507","1"
"linux-kernel","2","17507","2"
"gdb","1","17507","3"
"kernel","1","17507","4"
"ubuntu","1","17507","5"
"bash","11","17833","1"
"filenames","10","17833","2"
"string","10","17833","3"
"c++","7","17833","4"
"proxy","6","17833","5"
"php","87","17964","1"
"regex","84","17964","2"
"user-input","76","17964","3"
"javascript","50","17964","4"
"set","14","17964","5"
"iphone","16","18017","1"
"ios","14","18017","2"
"uiimagepickercontroller","12","18017","3"
"ios-simulator","12","18017","4"
"photo","12","18017","5"
"c#","17","18071","1"
".net","7","18071","2"
".net-3.5","5","18071","3"
"asp.net","4","18071","4"
"java","4","18071","5"
"java","36","18122","1"
"spring-data","36","18122","2"
"spring-data-jpa","23","18122","3"
"spring","22","18122","4"
"jpa","19","18122","5"
"java","8","18189","1"
"text-editor","3","18189","2"
"vim","3","18189","3"
"text","3","18189","4"
"verify","2","18189","5"
"python","31","18243","1"
"twisted","18","18243","2"
"types","8","18243","3"
"regex","8","18243","4"
"networking","4","18243","5"
"post","3","18388","1"
"ruby","3","18388","2"
"http","3","18388","3"
"macos","1","18388","4"
"cocoa","1","18388","5"
"c++","2","18471","1"
".net","2","18471","2"
"visual-studio","2","18471","3"
"entity-framework","2","18471","4"
"sql-server-2005","2","18471","5"
"git","13","18590","1"
"version-control","10","18590","2"
"mercurial","10","18590","3"
"tortoisesvn","10","18590","4"
"svn","10","18590","5"
"apache-flex","17","18829","1"
"wsdl","17","18829","2"
"coldfusion","17","18829","3"
"actionscript","17","18829","4"
"soap","17","18829","5"
"perl","43","18914","1"
"testing","27","18914","2"
"language-agnostic","27","18914","3"
"unit-testing","26","18914","4"
"parsing","8","18914","5"
"typescript","25","19401","1"
"nullable","25","19401","2"
"java","4","19401","3"
"outsystems","4","19401","4"
"javascript","3","19401","5"
"c++","9","19624","1"
"c#","7","19624","2"
"boolean","7","19624","3"
"innovation","5","19624","4"
"mysql","5","19624","5"
"c#","9","19762","1"
".net","8","19762","2"
"sql-server","6","19762","3"
"full-text-search","3","19762","4"
"wmi","3","19762","5"
"sql-server","5","19797","1"
"sql-server","9","2","1"
"tsql","8","2","2"
"sql","8","2","3"
"nolock","8","2","4"
"sql-server-2008","8","2","5"
"jquery","27","60","1"
"javascript","24","60","2"
"html","15","60","3"
"css","14","60","4"
"asp.net","11","60","5"
"ios","8","143","1"
"uitextfield","6","143","2"
"cocoa-touch","6","143","3"
"uipickerview","6","143","4"
"iphone","4","143","5"
"tsql","11","152","1"
"split","11","152","2"
"sql-server","11","152","3"
"sql","11","152","4"
"bing-maps","3","247","1"
"google-maps","3","247","2"
"yahoo-maps","3","247","3"
"geocoding","3","247","4"
"maps","3","247","5"
"build-automation","3","259","1"
"endianness","3","259","2"
"msbuild","3","259","3"
"tfsbuild","3","259","4"
"tfs","3","259","5"
"c++","108","456","1"
"stl","19","456","2"
"c","13","456","3"
"variadic-functions","13","456","4"
"string","11","456","5"
"c#","6","549","1"
"domain-driven-design","3","549","2"
"javascript","2","549","3"
"asp.net","2","549","4"
"deployment","1","549","5"
"java","33","572","1"
"eclipse","19","572","2"
"ide","15","572","3"
"pydev","15","572","4"
