tag,DownVotes,user_id,rownum
"code-review","1","7","1"
"penetration-test","1","7","2"
"php","1","7","3"
"appsec","1","7","4"
"sql-injection","10","12","1"
"multi-factor","8","12","2"
"web-application","6","12","3"
"passwords","5","12","4"
"encryption","5","12","5"
"web-application","2","18","1"
"trust","1","18","2"
"tls","1","18","3"
"web-application","3","22","1"
"ssh","2","22","2"
"research","2","22","3"
"tls","2","22","4"
"web-browser","2","22","5"
"passwords","4","28","1"
"cookies","3","28","2"
"appsec","3","28","3"
"windows","3","28","4"
"certificate-authority","2","28","5"
"web-application","9","33","1"
"windows-permissions","8","33","2"
"privacy","8","33","3"
"appsec","8","33","4"
"corporate-policy","8","33","5"
"penetration-test","7","37","1"
"windows","5","37","2"
"passwords","5","37","3"
"antivirus","4","37","4"
"vulnerability","4","37","5"
"hardening","2","45","1"
"ssh","2","45","2"
"zero-day","1","45","3"
"user-education","1","45","4"
"attack-prevention","1","45","5"
"sql-injection","3","55","1"
"passwords","6","57","1"
"entropy","6","57","2"
"apache","1","57","3"
"hardening","1","57","4"
"pgp","1","57","5"
"web-browser","5","68","1"
"known-vulnerabilities","5","68","2"
"chrome","5","68","3"
"appsec","2","68","4"
"antivirus","1","68","5"
"corporate-policy","2","74","1"
"access-control","2","74","2"
"file-encryption","1","89","1"
"code-review","2","98","1"
"appsec","2","98","2"
"manual-review","1","98","3"
"cryptanalysis","1","98","4"
"web-application","1","98","5"
"insider-threats","3","104","1"
"threat-mitigation","3","104","2"
"attack-prevention","3","104","3"
"risk","1","104","4"
"standards","1","104","5"
"passwords","1","124","1"
"network-scanners","1","124","2"
"network","1","124","3"
"tools","1","124","4"
"cryptography","1","124","5"
"research","2","137","1"
"web-browser","1","137","2"
"reverse-engineering","1","137","3"
"binary-code","1","137","4"
"javascript","1","137","5"
"penetration-test","10","140","1"
"encryption","9","140","2"
"client-side","6","140","3"
"known-vulnerabilities","6","140","4"
"passwords","6","140","5"
"penetration-test","1","151","1"
"tools","1","151","2"
"web-application","1","151","3"
"appsec","1","151","4"
"web-scanners","1","151","5"
"tools","1","156","1"
"forensics","1","156","2"
"sql-injection","2","158","1"
"tunneling","1","164","1"
"ssh","1","164","2"
"network","1","164","3"
"proxy","1","164","4"
"virtualization","3","193","1"
"client-side","2","193","2"
"compliance","2","193","3"
"appsec","2","193","4"
"authentication","2","193","5"
"password-cracking","4","215","1"
"password-management","4","215","2"
"passwords","4","215","3"
"url-redirection","2","215","4"
"hardening","3","217","1"
"linux","3","217","2"
"attacks","2","217","3"
"research","2","217","4"
"network","2","217","5"
"user-education","1","227","1"
"system-compromise","1","227","2"
"malware","1","227","3"
"antivirus","1","227","4"
"web-application","1","227","5"
"virus","1","238","1"
"binary-code","1","238","2"
"file-types","1","238","3"
"exploit","1","238","4"
"sql-server","1","242","1"
"mysql","1","242","2"
"forensics","1","242","3"
"sql-injection","1","242","4"
"web-application","2","274","1"
"tls","2","274","2"
"mobile","2","274","3"
"hash","1","274","4"
"defense","1","274","5"
"spam","12","294","1"
"email","12","294","2"
"session-management","2","294","3"
"web-application","2","294","4"
"php","2","294","5"
"cookies","2","379","1"
"web-application","2","379","2"
"appsec","2","379","3"
"web-browser","2","379","4"
"passwords","4","380","1"
"authentication","3","380","2"
"source-code","3","380","3"
"professional-education","3","380","4"
"sms","3","380","5"
"web-application","9","396","1"
"authentication","7","396","2"
"tls","6","396","3"
"http","5","396","4"
"http-basic-auth","4","396","5"
"legal","1","397","1"
"hash","7","414","1"
"cryptography","6","414","2"
"passwords","5","414","3"
"tls","4","414","4"
"tor","3","414","5"
"entropy","2","434","1"
"passwords","2","434","2"
"encryption","4","453","1"
"authentication","4","453","2"
"cryptography","4","453","3"
"digital-signature","2","453","4"
"file-system","1","453","5"
"network","2","469","1"
"ids","2","469","2"
"tls","2","469","3"
"protocols","1","469","4"
"file-encryption","1","469","5"
"email","1","476","1"
"xss","1","476","2"
"passwords","10","485","1"
"network","6","485","2"
"encryption","5","485","3"
"web-application","5","485","4"
"attack-prevention","5","485","5"
"file-upload","1","490","1"
"windows","1","490","2"
"passwords","1","490","3"
"php","1","490","4"
"html","1","490","5"
"hash","2","539","1"
"passwords","2","539","2"
"sql-injection","2","539","3"
"cryptography","2","539","4"
"linux","16","543","1"
"tls","10","543","2"
"web-application","9","543","3"
"php","8","543","4"
"permissions","7","543","5"
"penetration-test","2","618","1"
"linux","2","618","2"
"risk-analysis","1","618","3"
"attacks","1","618","4"
"centos","1","618","5"
"tls","37","655","1"
"encryption","31","655","2"
"cryptography","31","655","3"
"passwords","19","655","4"
"public-key-infrastructure","14","655","5"
"web-application","5","665","1"
"appsec","5","665","2"
"csrf","3","665","3"
"email","2","665","4"
"network","2","665","5"
"integrity","1","692","1"
"network-scanners","1","692","2"
"rsa","1","692","3"
"privacy","1","692","4"
"account-security","1","692","5"
"php","8","764","1"
"md5","8","764","2"
".net","7","764","3"
"gaming","7","764","4"
"hash","5","764","5"
"appsec","3","788","1"
"web-application","3","788","2"
"php","2","788","3"
"xss","1","788","4"
"csrf","1","788","5"
"encryption","9","836","1"
"hash","6","836","2"
"passwords","4","836","3"
"authentication","4","836","4"
"databases","3","836","5"
"tor","1","837","1"
"veracrypt","1","837","2"
"tls","1","848","1"
"certificates","1","848","2"
"disk-encryption","1","884","1"
"cryptography","1","884","2"
"encryption","1","884","3"
"cryptography","5","903","1"
"email-spoofing","4","903","2"
"http","4","903","3"
"tls","4","903","4"
"email","4","903","5"
"passwords","5","953","1"
"wifi","4","953","2"
"authentication","3","953","3"
"windows","3","953","4"
"physical","2","953","5"
"cryptography","14","971","1"
"web-application","13","971","2"
"encryption","11","971","3"
"authentication","9","971","4"
"appsec","8","971","5"
"web-application","16","975","1"
"penetration-test","14","975","2"
"appsec","14","975","3"
"attacks","13","975","4"
"authentication","10","975","5"
"cryptography","4","1080","1"
"passwords","3","1080","2"
"authentication","3","1080","3"
"hash","3","1080","4"
"requirements","2","1080","5"
"appsec","3","1160","1"
"web-application","3","1160","2"
"session-management","2","1160","3"
"xss","2","1160","4"
"php","2","1160","5"
"php","1","1228","1"
"snort","1","1228","2"
"network","1","1228","3"
"web-application","1","1228","4"
"ids","1","1228","5"
"malware","3","1363","1"
"linux","2","1363","2"
"usb-drive","2","1363","3"
"encryption","2","1363","4"
"operating-systems","2","1363","5"
"confidentiality","1","1396","1"
"integrity","1","1396","2"
"tls","1","1396","3"
"malware","2","1472","1"
