tag,UpVotes,user_id,rownum
"delphi","99","727","1"
"php","69","727","2"
"phpunit","64","727","3"
"unit-testing","64","727","4"
"delphi-2009","28","727","5"
"nhibernate","150","729","1"
"preference","121","729","2"
"sublimetext","121","729","3"
".net","108","729","4"
"c#","100","729","5"
"hyper-v","70","747","1"
"android-emulator","70","747","2"
"windows-10","70","747","3"
"android","41","747","4"
"wcf","37","747","5"
"javascript","9829","811","1"
"html","4011","811","2"
"jquery","3886","811","3"
"hyperlink","1854","811","4"
"string","1461","811","5"
"networking","96","2274","1"
"tcp","96","2274","2"
"udp","96","2274","3"
"php","37","2274","4"
"iterator","35","2274","5"
"c","129","2289","1"
"performance","86","2289","2"
"database","80","2289","3"
"database-design","73","2289","4"
"datetime","44","2289","5"
"c++","2814","2368","1"
"c++11","474","2368","2"
"reference","474","2368","3"
"pointers","451","2368","4"
"static","196","2368","5"
"c++","30","2387","1"
"winapi","20","2387","2"
"windows","18","2387","3"
"hungarian-notation","14","2387","4"
"audio","14","2387","5"
"memory-leaks","126","2586","1"
"jhat","126","2586","2"
"memory","126","2586","3"
"java","126","2586","4"
"sql","16","2586","5"
"java","9735","2598","1"
"stack-trace","1173","2598","2"
"string","1032","2598","3"
"swing","852","2598","4"
"c#","760","2598","5"
"powershell","1124","4304","1"
"c++","802","4304","2"
"android","472","4304","3"
"localization","472","4304","4"
"stl","358","4304","5"
"backbone.js","977","4333","1"
"react-native","878","4333","2"
"javascript","644","4333","3"
"jquery","193","4333","4"
"ios-simulator","181","4333","5"
"objective-c","314","4468","1"
"iphone","260","4468","2"
"cocoa-touch","195","4468","3"
"bash","192","4468","4"
"command-line","176","4468","5"
"c#","1979","4574","1"
".net","1500","4574","2"
"linq","352","4574","3"
"entity-framework","265","4574","4"
"wpf","254","4574","5"
"rebus","337","6560","1"
"nhibernate","238","6560","2"
"visual-studio-2008","227","6560","3"
"c#","225","6560","4"
"regional","218","6560","5"
"java","306","6583","1"
"design-patterns","100","6583","2"
"dependency-injection","85","6583","3"
"string","76","6583","4"
"performance","74","6583","5"
"c#","319","6604","1"
".net","297","6604","2"
"javascript","135","6604","3"
"backbone.js","122","6604","4"
"boolean","109","6604","5"
"language-agnostic","417","6688","1"
"matlab","179","6688","2"
"vim","147","6688","3"
"function","141","6688","4"
"octave","53","6688","5"
"c#","3147","7116","1"
".net","1189","7116","2"
"wpf","831","7116","3"
"c","633","7116","4"
"c++","459","7116","5"
"c++","793","8446","1"
"c#","764","8446","2"
".net","505","8446","3"
"security","367","8446","4"
"visual-studio","366","8446","5"
"python","920","10138","1"
"psycopg2","312","10138","2"
"timeout","276","10138","3"
"multithreading","241","10138","4"
"python-multithreading","241","10138","5"
"sql-server","1970","10174","1"
"varchar","1698","10174","2"
"nvarchar","1693","10174","3"
"c#","1561","10174","4"
".net","646","10174","5"
"string","1115","12274","3"
"substring","1104","12274","4"
"git","681","12274","5"
"git","497","12471","1"
"jquery","196","12471","2"
"variables","174","12471","3"
"jquery-selectors","174","12471","4"
"php","135","12471","5"
"python","21194","12855","1"
"string","5531","12855","2"
"list","2624","12855","3"
"file","2330","12855","4"
"readlines","2220","12855","5"
"java","4042","12943","1"
"collections","1642","12943","2"
"iteration","1621","12943","3"
"performance","355","12943","4"
"c#","260","12943","5"
"sql-server","105","15428","1"
"formatting","90","15428","2"
"reporting-services","90","15428","3"
"sql","81","15428","4"
"database","68","15428","5"
"lisp","769","15517","1"
"common-lisp","443","15517","2"
"scheme","386","15517","3"
"clojure","247","15517","4"
"racket","119","15517","5"
"console","138","15534","1"
"python","126","15534","2"
"hide","124","15534","3"
"c++","66","15534","4"
"c++11","54","15534","5"
"postgresql","3634","15785","1"
"php","678","15785","2"
"postgresql-copy","602","15785","3"
"delphi","1128","1242","1"
"c#","918","1242","2"
"powershell","659","1242","3"
".net","643","1242","4"
"wpf","535","1242","5"
"ruby-on-rails","1040","1249","1"
"arel","519","1249","2"
"rails-activerecord","518","1249","3"
"css","480","1249","4"
