id,favorite
"104","68"
"1284","1"
"8318","5"
"8451","7"
"14061","3"
"16861","30"
"20168","0"
"23102","46"
"24723","21"
"28965","11"
"32412","1"
"33086","2"
"33969","234"
"34510","514"
"34896","12"
"35798","1"
"42357","1"
"45093","1"
"45627","87"
"47323","14"
"52830",""
"53426","21"
"53728","42"
"55296","5"
"56949","1"
"59483",""
"60174","3672"
"65734","2"
"67174","4"
"71328","33"
"71756",""
"72166","43"
"76359","1"
"81202","2"
"87431",""
"89663","1"
"97983",""
"107823","7"
"108088","8"
"109293","7"
"110123","1"
"110458","2"
"110575","126"
"111707","14"
"116415",""
"117129","4"
"120131","0"
"120189","1"
"124885",""
"129677","486"
"131681","52"
"132134","5"
"134086","64"
"134099","434"
"138311","1"
"138432","1"
"139199","45"
"143791","5"
"144696","12"
"145728",""
"146839","1"
"147572","8"
"149848","13"
"155220","1"
"155751",""
"156445","2"
"157924","1"
"159114","1"
"161315","52"
"166565",""
"167165","9"
"167199","13"
"169058","3"
"170028","7"
"170415","21"
"172125","22"
"176195",""
"178320","3"
"182542","5"
"185210","2"
"186106",""
"187761","124"
"188870","24"
"195648","11"
"196845","2"
"198462","168"
"198520","6"
"198650","1"
"200545","7"
"200822","5"
"203758",""
"205923","38"
"210820",""
"211941",""
"214802",""
"214850","0"
"216324",""
"219944","3"
"223395","2"
"224049","5"
"226316",""
"226637","1"
"227909","30"
"228138","12"
"229596","9"
"229889","2"
"231204",""
"239194","10"
"240362","0"
"241040","1"
"243152","2"
"244882","419"
"249318","1"
"251937","3"
"253327","1"
"253545","1"
"253673","2"
"255723","11"
"258625","5"
"262145","5"
"264570","1"
"267487","1"
"268182","2"
"269487","1"
"274274","21"
"274659","13"
"275207","4"
"280101","1"
"283726","3"
"284163",""
"286462",""
"295156","27"
"295385","8"
"295566","56"
"296134","1"
"299659","338"
"301750","1"
"305044","5"
"306668","32"
"309497","2"
"313998",""
"315672","2"
"316367","1"
"316894","1"
"323264","4"
"323938","1"
"324905","1"
"325086","1"
"327499",""
"332365","322"
"339312","1"
"339531",""
"339603","21"
"339931",""
"341422","3"
"341872","2"
"341966","1"
"344314","2"
"344437",""
"348985","1"
"350177",""
"350202",""
"350697","2"
"352172","1"
"354161",""
"354676","8"
"357499",""
"357567",""
"361701","1"
"363190","2"
"365309","25"
"368146","8"
"368313",""
"369981","3"
"371928",""
"381042","8"
"381171","116"
"381747","1"
"387936","4"
"388699","2"
"388985",""
"390359",""
"395592","38"
"396324","1"
"398179",""
"400407","1"
"400655","1"
"400819",""
"402705","2"
"402936","3"
"403489","2"
"407771","1"
"409807",""
"412939","1"
"413477","396"
"416046","13"
"422738","3"
"423918",""
"424210","47"
"436004",""
"436715",""
"437146","2"
"438486",""
"438704","4"
"443224",""
"443883",""
"444181","4"
"444698","2"
"445177","6"
"445911","2"
"445993",""
"446501","1"
"446551","1"
"447067","2"
"449650","4"
"451623","2"
"452664","6"
"457014","1"
"460519","12"
"461137",""
"466737","27"
"469949",""
"471800","7"
"472552",""
"473173","16"
"475833","2"
"477053",""
"477649","10"
"479059",""
"479701","15"
"485023","4"
"487566",""
"488797",""
"490851","6"
"493531",""
"496873",""
"497156","3"
"498234","4"
"504323","1"
"506939","1"
"511907","5"
"512174","5"
"518313","3"
"526576","2"
"526655","1"
"527973","0"
"528303","15"
"540738",""
"540915",""
"544239","8"
"545573","1"
"546242","1"
"546701","1"
"546998","1"
"551480","1"
"553708",""
"554156",""
"554650","3"
"559483","2"
"565871","3"
"567155","4"
"568995","19"
"570160","12"
"571866","1"
"574159","15"
"579130","2"
"579322",""
"585358","2"
"585891",""
"587301","1"
"593238","5"
"594443",""
"595516",""
"597277",""
"597353",""
"599048","5"
"600329",""
"601300","28"
"602625",""
"604924","2"
"606099","1"
"606158",""
"613680",""
"613962","25"
"616545","5"
"616980",""
"617714",""
"619991","4"
"623299",""
"624386","5"
"625542","1"
"626477","4"
"627918","0"
"628021","3"
"628386","2"
"629559",""
"631661",""
"633109","1"
"633245","3"
"636912",""
"638057","1"
"638090","3"
"641462","13"
"642015","2"
"642327",""
"648307",""
"648396","6"
"648464",""
"650979",""
"651713","1"
"652683",""
"652818","5"
"653396","8"
"660020",""
"664722",""
"667147","20"
"671527",""
"671704",""
"672810","6"
"674247",""
"677444",""
"678400","3"
"678471","0"
"681583","13"
"687787","4"
"688619","0"
"689369","0"
"692443",""
"693958","0"
"694057","2"
"694363",""
"696307","2"
"697553","2"
"698700","9"
"702100",""
"703757","2"
"705533","2"
"707266",""
"707587","10"
"712339","17"
"713611",""
"714704","1"
"715096",""
"715348","4"
"718611","7"
"721212","3"
"721772","4"
"725142","12"
"725875","1"
"726580","1"
"726662","2"
"733564","3"
"734611","1"
"742200","2"
"743649",""
"744192","3"
"745249","1"
"747394","1"
"752859",""
"757318","1"
"758002",""
"759069","1"
"762795",""
"763292","3"
"764565","7"
"768442","3"
"770900","4"
"771069","11"
"772596","38"
"778334",""
"780214","3"
"782488",""
"786656","1"
"793074",""
"794232","3"
"794466","5"
"795553","4"
"797626","1"
"800685","72"
"802459",""
"804969","4"
"808581",""
"810402","1"
"814139",""
"814679",""
"815220","1"
"816224","4"
"817905",""
"822247","12"
"822638","1"
"823821","2"
"823914","1"
"825638","1"
"826974","2"
"826981","8"
"827604",""
"828207","2"
"828400",""
"830472","1"
"830819",""
"831968","3"
"832483","1"
"834061","4"
"834918","4"
"837248",""
"841152","2"
"841957",""
"845881",""
"846402",""
"847139","1"
"847306",""
"853338",""
"855394","3"
"857936","6"
"858773","4"
"859589","2"
"860954","14"
"861781",""
"862169",""
"862187",""
"865837",""
"869072","3"
"869089","0"
"869266","2"
"869361","7"
"870017",""
"872929","1"
"873562",""
"877338","1"
"877727",""
"880188","11"
"884000",""
"884209","1"
"886201",""
"892356",""
"893348","2"
"893658","1"
"894037","12"
"901214","5"
"901946","4"
"902997",""
"903432","3"
"904442","1"
"909979",""
"910708","4"
"912761","1"
"912850","0"
"913937",""
"915790","2"
"918654","13"
"923689",""
"925703",""
"925890",""
"926142","2"
"926779","1"
"926956",""
"928830",""
"930742","1"
"932640",""
"933756","1"
"938978","1"
"939159","4"
"939747","0"
"940287","3"
"941279",""
"941594","448"
"942400",""
"944033","3"
"949569","3"
"951334","6"
"951386","16"
"954556","4"
"954628","0"
"955130","1"
"956993","1"
"957577","18"
"961830",""
"962354","2"
"965186",""
"970600",""
"975448","1"
"978225","1"
"979360",""
"984106",""
"988046",""
"992296","1"
"993671","16"
"994493","1"
"999699",""
"1000002","27"
"1002628",""
"1003847",""
"1005381",""
"1007066",""
"1007191","3"
"1009474","1"
"1013032","16"
"1014593","7"
"1024073","2"
"1024730",""
"1027857","1"
"1029118",""
"1029380","18"
"1033766",""
"1038274",""
"1038986",""
"1042635","1"
"1044121",""
"1048726","1"
"1048777",""
"1050524",""
"1053919",""
"1055460","14"
"1061634","2"
"1062254","2"
"1065000","2"
"1067323","1"
"1068190","1"
"1070153","5"
"1070486",""
"1072224","4"
"1072497",""
"1072541","3"
"1077840","3"
"1078397","2"
"1081025","2"
"1081449",""
"1083898",""
"1085341","0"
"1086918","9"
"1088144","3"
"1091665",""
"1095045","0"
"1096151",""
"1096595",""
"1098452","3"
"1099391","4"
"1102429",""
"1109794",""
"1112841",""
"1113422","16"
"1116128","1"
"1119656",""
"1120381",""
"1120575","30"
"1122337",""
"1122902","1"
"1129639","1"
"1130966","1"
"1134202","2"
"1136468",""
"1139360",""
"1140828",""
"1141277","1"
"1142933","4"
"1144026","3"
"1146396",""
"1148820","33"
"1149118","5"
"1154376",""
"1154628",""
"1157775","2"
"1159729","23"
"1161851","1"
"1162491","30"
"1163319","0"
"1165040","15"
"1165192",""
"1168731","8"
"1172014",""
"1172891","1"
"1175714","2"
"1175828",""
"1188714","1"
"1191112","29"
"1198076","3"
"1198900",""
"1200655","1"
"1201247","1"
"1205889","46"
"1207071",""
"1210042","1"
"1213246","1"
"1215930",""
"1217065","3"
"1218188","2"
"1219663","1"
"1220182","21"
"1224021","24"
"1224049","2"
"1226406","4"
"1229828","0"
"1230098",""
"1232665",""
"1235883","2"
"1237563",""
"1237768","1"
"1238082",""
"1239177","2"
"1242529",""
"1242925",""
"1245387",""
"1245396",""
"1247373","6"
"1247821","2"
"1249902",""
"1255286","1"
"1258117",""
"1265282","55"
"1266605","3"
"1266650","6"
"1267998","4"
"1269290",""
"1271787","1"
"1276078",""
"1278066",""
"1282243","1"
"1282949","1"
"1283352","2"
"1283476","3"
"1285832",""
"1287965","2"
"1288599","1"
"1291584","3"
"1294360","2"
"1295319",""
"1295827",""
"1297501",""
"1299857","2"
"1300944",""
"1301863","3"
"1301991","2"
"1303305","6"
"1304907","3"
"1305326","1"
"1306823","5"
"1312292",""
"1314518","41"
"1314521","15"
"1315835","2"
"1319956","0"
"1320496","1"
"1321508","12"
"1324294",""
"1324512","1"
"1325656","3"
"1326001","3"
"1327742",""
"1329354","0"
"1332670","1"
"1333577","4"
"1335522","2"
"1336555",""
"1336776","32"
"1337865","3"
"1345663","10"
"1347728","10"
"1349314","1"
"1349474",""
"1350331",""
"1353375",""
"1356861","1"
"1358810","39"
"1359939",""
"1359973",""
"1360805","2"
"1363381",""
"1363690",""
"1364130",""
"1364922","2"
"1366182","2"
"1372211","1"
"1372643","1"
"1373574","2"
"1374288","2"
"1377849",""
"1378194","2"
"1381362",""
"1381937","8"
"1382608","2"
"1383971","1"
"1384807","2"
"1386253","6"
"1386367",""
"1387450","1"
"1388718","1"
"1391280",""
"1393514","2"
"1393720",""
"1394467","1"
"1396300",""
"1396443","2"
"1397112","2"
"1397487","0"
"1399511","1"
"1401159","14"
"1401278","1"
"1402770","1"
"1406060",""
"1406063",""
"1409601","3"
"1412239","1"
"1412417",""
"1412553",""
"1413122","1"
"1413277",""
"1413930","3"
"1416060","5"
"1418462",""
"1419800","13"
"1420477",""
"1422891",""
"1422977","10"
"1423003",""
"1424936","1"
"1426025","2"
"1427649","2"
"1428590","4"
"1429866","2"
"1430201","1"
"1431261",""
"1431566","1"
"1439403","8"
"1442538",""
"1443411",""
"1445815","0"
"1447018","1"
"1448302","2"
"1450997","7"
"1452527","1"
"1453649","2"
"1455144","1"
"1457733",""
"1459793",""
"1460060","2"
"1460915",""
"1461240",""
"1463711","11"
"1466609","1"
"1466905","1"
"1467425","2"
"1468407","1"
"1471124",""
"1471130",""
"1471142","0"
"1471408",""
"1472892",""
"1473052","1"
"1473609","3"
"1475438","1"
"1475970",""
"1475991","1"
"1479234","3"
"1481940",""
"1482575","2"
"1485281","11"
"1485419","5"
"1486841",""
"1488869","1"
"1489663",""
"1494648","2"
"1495371","1"
"1495683","1"
"1501550","4"
"1503122","1"
"1503947","1"
"1506997",""
"1508236",""
"1508314","3"
"1508431","2"
"1512999",""
"1513096",""
"1514527",""
"1515508",""
"1520669",""
"1520973","1"
"1521203","2"
"1523093",""
"1524101","3"
"1524365",""
"1526635","1"
"1528555",""
"1528872","5"
"1530417","0"
"1534012",""
"1534301",""
"1539762",""
"1541329","1"
"1542406",""
"1545099","4"
"1545533",""
"1548395","3"
"1550876","2"
"1554221",""
"1554766",""
"1558111",""
"1562145",""
"1564444",""
"1565052","1"
"1567103",""
"1567866","7"
"1569786",""
"1570365",""
"1570458",""
"1572047","0"
"1572751",""
"1574632",""
"1574949","1"
"1579160",""
"1580720",""
"1582511","1"
"1583490",""
"1584420",""
"1584482",""
"1584597",""
"1587695","7"
"1587815",""
"1592817",""
"1595266","0"
"1596454","2"
"1599415",""
"1600102",""
"1600473","3"
"1601848","1"
"1604283",""
"1604684","1"
"1606181",""
"1608127","1"
"1608854","15"
"1610407","4"
"1610682",""
"1611314",""
"1611961",""
"1615792","23"
"1617505","3"
"1617536","15"
"1619117",""
"1621130",""
"1622952","4"
"1623597",""
"1625535",""
"1625671","5"
"1627308",""
"1627325","0"
"1627780",""
"1628185",""
"1629685","28"
"1633062",""
"1633091",""
"1633987",""
"1634856",""
"1637275","9"
"1637596","1"
"1638434",""
"1638834","63"
"1642940",""
"1645798","2"
"1646054",""
"1646570","5"
"1646822","2"
"1648320",""
"1648424","0"
"1648425",""
"1649977",""
"1650941","28"
"1657484","4"
"1660845",""
"1662075",""
"1664255","3"
"1665637","2"
"1671189",""
"1671469",""
"1675160","0"
"1675904",""
"1677465","5"
"1683843","6"
"1685363","2"
"1685497",""
"1688626",""
"1690601","4"
"1695973",""
"1699231","5"
"1702324","1"
"1702519",""
"1704107","3"
"1704333","2"
"1706422",""
"1706955",""
"1707460",""
"1707913",""
"1709981","1"
"1710691","4"
"1712263",""
"1716979","2"
"1717774",""
"1719020","1"
"1719267","9"
"1719870","3"
"1722160","7"
"1723721","2"
"1727329","7"
"1728548","4"
"1728567",""
"1730486","3"
"1732724",""
"1733509",""
"1734145","2"
"1735572","1"
"1736161","2"
"1740577","1"
"1742214",""
"1743337","1"
"1744168","8"
"1744988",""
"1746740","1"
"1748398",""
"1750209","1"
"1751322","3"
"1751364","1"
"1761125","13"
"1762870","6"
"1763334","0"
"1765295","1"
"1766351",""
"1767114",""
"1774202","3"
"1774876","2"
"1778778","0"
"1779779",""
"1779823","2"
"1781307","4"
"1782861","1"
"1783137","22"
"1784578","3"
"1787892","2"
"1788075",""
"1792304","3"
"1793026","1"
"1795099","1"
"1795690","1"
"1798633","4"
"1799670",""
"1799896","0"
"1802500","8"
"1805838","29"
"1807046",""
"1807345",""
"1807627",""
"1807974","2"
"1808956","1"
"1812891","71"
"1818726","2"
"1823536",""
"1826902","12"
"1828447",""
"1829046",""
"1830050","11"
"1837750","1"
"1840343",""
"1842391","2"
"1843640","2"
"1843747",""
"1845305","1"
"1845737","3"
"1848532","5"
"1850297",""
"1851293","15"
"1854806","0"
"1855661",""
"1860752",""
"1865958","5"
"1871485","1"
"1872595","1"
"1877900",""
"1880929","5"
"1882258",""
"1885587","2"
"1885840","0"
"1888503","1"
"1889609","1"
"1889643",""
"1891392","7"
"1891448",""
"1892619","1"
"1893296","2"
"1896553",""
"1899091","3"
"1901322","2"
"1903181","2"
"1903326",""
"1903623",""
"1906027",""
"1906927","4"
"1908909","0"
"1910503",""
"1911382","7"
"1912047","1"
"1912177","1"
"1913742","1"
"1916993",""
"1917391","14"
"1918113","3"
"1920657","2"
"1932493","2"
"1935642",""
"1936146",""
"1943278",""
"1945377","14"
"1945613","1"
"1945741",""
"1947021",""
"1949237","1"
"1951099","4"
"1951275","17"
"1951391",""
"1954969",""
"1955343",""
"1955347","3"
"1958216","1"
"1960179",""
"1960414",""
"1963519",""
"1964201",""
"1965193",""
"1967622","4"
"1971758",""
"1973897",""
"1975613","1"
"1981723","0"
"1983565",""
"1984426",""
"1984703",""
"1985812",""
"1986708","1"
"1990585",""
"1990911",""
"1991764","1"
"1995051",""
"1996122","103"
"1996344","5"
"1996548","1"
"1996608","2"
"1997869","5"
"2005243",""
"2006394",""
"2006737",""
"2008173","39"
"2009910",""
"2010436","1"
"2011914",""
"2013496",""
"2018151","5"
"2021051","2"
"2022289","7"
"2023395","3"
"2023854","4"
"2029307",""
"2029595","1"
"2031527","1"
"2033028",""
"2035075","9"
"2036182","21"
"2045188","3"
"2045314","4"
"2045445","1"
"2046270","5"
"2046735","1"
"2046786",""
"2047992",""
"2051632","15"
"2056445","9"
"2058370","2"
"2060750",""
"2060923","6"
"2062908",""
"2067417","2"
"2068595","1"
"2074149",""
"2075165","1"
"2075636",""
"2076653",""
"2077016","17"
"2077320","1"
"2078776","0"
"2079009","2"
"2080976",""
"2081281","1"
"2081940",""
"2087182","1"
"2088080",""
"2088216",""
"2088795","1"
"2090080","0"
"2090401","1"
"2090910","61"
"2092143",""
"2092590","1"
"2093489",""
"2093537","1"
"2096120",""
"2097475","3"
"2100208","1"
"2102209",""
"2102836","3"
"2103001",""
"2104520",""
"2106517",""
"2107076",""
"2107162",""
"2109668","5"
"2113262","1"
"2113984","4"
"2117447","1"
"2117456","0"
"2118011",""
"2118902",""
"2121535",""
"2123586",""
"2126235",""
"2127009","8"
"2127028","2"
"2128292",""
"2130517",""
"2130562",""
"2133331",""
"2134128","2"
"2135066","12"
"2135249",""
"2137086",""
"2137505",""
"2140244","1"
"2143873","14"
"2144778",""
"2144953","4"
"2145177",""
"2146863","2"
"2147602",""
"2147846",""
"2147958","33"
"2148716",""
"2148799","3"
"2150912","15"
"2153776","7"
"2154712","2"
"2155180","1"
"2155509","0"
"2155573",""
"2157272","1"
"2157877",""
"2158257",""
"2158587",""
"2159724","2"
"2159816",""
"2159849",""
"2160334","1"
"2160731",""
"2161246","1"
"2163922",""
"2164425",""
"2165525","1"
"2166340",""
"2166650",""
"2166798",""
"2168089","1"
"2168314",""
"2168499","2"
"2168555","2"
"2172174","1"
"2172863","0"
"2173663",""
"2175636","0"
"2177826","1"
"2181819",""
"2183890","23"
"2185195","1"
"2187980",""
"2191872",""
"2193936",""
"2194848","1"
"2197768",""
"2199997","1"
"2200256","4"
"2202631",""
"2203252","1"
"2204033",""
"2206586","1"
"2206607",""
"2206930",""
"2209005","0"
"2209894","1"
"2210011","1"
"2210591",""
"2214244","2"
"2214799",""
"2215287",""
"2219453",""
"2220664",""
"2221787","2"
"2222673",""
"2223126","1"
"2224165","3"
"2225047","3"
"2227198","8"
"2227762","2"
"2229324",""
"2230072",""
"2233015","31"
"2235287",""
"2238937","2"
"2242210",""
"2243127","1"
"2243913",""
"2245788",""
"2246649","1"
"2246751",""
"2249528",""
"2249571","2"
"2249778",""
"2250263","5"
"2255058",""
"2257342","1"
"2258781","1"
"2259319","1"
"2260041",""
"2262827",""
"2264288","1"
"2264304",""
"2266926",""
"2268692","1"
"2270288","3"
"2270648",""
"2271394","1"
"2273934",""
"2276248","1"
"2280345","3"
"2281566","18"
"2281757",""
"2283920",""
"2284653","3"
"2285537",""
"2288074","1"
"2291817",""
"2292846","2"
"2295296",""
"2298018","1"
"2298439","1"
"2298924",""
"2300765","10"
"2300807","1"
"2301000",""
"2301848","1"
"2305435","4"
"2307545","1"
"2307866",""
"2307946","1"
"2309556",""
"2311429","10"
"2312051","3"
"2313150","1"
"2318291",""
"2318861","0"
"2318919",""
"2319313",""
"2321509",""
"2321574","1"
"2322261","1"
"2322724",""
"2324721",""
"2325152",""
"2327413",""
"2328789",""
"2329499","3"
"2330295",""
"2330379",""
"2330563","1"
"2331028","1"
"2332768","100"
"2333586","7"
"2333909","18"
"2334511","6"
"2334673",""
"2334863","3"
"2335705",""
"2336008",""
"2336423",""
"2336678","38"
"2338720","1"
"2339106","1"
"2340071",""
"2340259","54"
"2344964","13"
"2345773","4"
"2346451",""
"2346806","285"
"2347134",""
"2347230",""
"2347338","1"
"2347964",""
"2349388","1"
"2351315","23"
"2351767","3"
"2353666","19"
"2358047",""
"2358244","5"
"2359931",""
"2362137","1"
"2367530","0"
"2368695","1"
"2369715","1"
"2369886","2"
"2370163","1"
"2370301","1"
"2371445",""
"2372316","1"
"2373904","4"
"2374687","1"
"2374697","1"
"2375798","1"
"2375903","7"
"2379919","1"
"2380054","1"
"2380533",""
"2382358",""
"2383989",""
"2384643","2"
"2385697","2"
"2385964","2"
"2386354","2"
"2389097","3"
"2390256",""
"2390774","1"
"2392100","32"
"2392119",""
"2392135",""
"2392157","1"
"2394595","1"
"2395000",""
"2395671","0"
"2396155","1"
"2397952","5"
"2398302",""
"2399886",""
"2400256","1"
"2400469",""
"2401706","9"
"2402845","2"
"2402970","3"
"2405098",""
"2407558","5"
"2407616",""
"2409719","3"
"2411516",""
"2412276",""
"2412532","2"
"2412667","1"
"2413276","1"
"2413858",""
"2414905","4"
"2415008","0"
"2415585",""
"2416227","1"
"2418272","3"
"2418609","9"
"2419754","1"
"2420622","1"
"2424356","2"
"2428952","1"
"2429855","2"
"2431985","1"
"2433602","0"
"2435379",""
"2436961",""
"2439027","2"
"2440891",""
"2441045",""
"2441856",""
"2442785",""
"2443166","2"
"2443542","22"
"2444365",""
"2445665","2"
"2445722",""
"2452536",""
"2453341","0"
"2453499","8"
"2456123","1"
"2459712","1"
"2464789",""
"2466987","5"
"2467712","2"
"2468448",""
"2470328",""
"2471656",""
"2471834",""
"2473972",""
"2475746","7"
"2475784","1"
"2476150","4"
"2477315","5"
"2479639",""
"2479772",""
"2482598","4"
"2483294","3"
"2485247",""
"2485445",""
"2486406","1"
"2490810","2"
"2498060",""
"2498599","23"
"2499295",""
"2499401","3"
"2501155","0"
"2503985","1"
"2505069",""
"2505496","1"
"2505845",""
"2506263",""
"2506408",""
"2512492",""
"2516250",""
"2518304","0"
"2519420",""
"2520050",""
"2520178",""
"2520560","1"
"2521527",""
"2525432",""
"2525625",""
"2525656",""
"2526037","18"
"2526522","39"
"2527600","2"
"2528864",""
"2531116",""
"2531366",""
"2532148","1"
"2532899",""
"2533017",""
"2533049","12"
"2533261","1"
"2533872",""
"2536401","0"
"2538418",""
"2540165",""
"2540441",""
"2541230","5"
"2545634",""
"2546753",""
"2547175",""
"2547206","2"
"2548475",""
"2550589","2"
"2551771",""
"2555255",""
"2555815","1"
"2556181","1"
"2556357","2"
"2556930","1"
"2557028",""
"2558613",""
"2559038",""
"2559337",""
"2560070","2"
"2561031","2"
"2561517","3"
"2561564",""
"2561848",""
"2563676",""
"2564334","1"
"2565396",""
"2565717","2"
"2567893",""
"2568232",""
"2573541",""
"2573699","1"
"2577789",""
"2578397","4"
"2578645",""
"2579568",""
"2579882",""
"2580491",""
"2581488","9"
"2584885","2"
"2585306",""
"2586426","4"
"2587115","4"
"2587212",""
"2589820","3"
"2589989",""
"2591406","2"
"2593178",""
"2594960","8"
"2595992","6"
"2596005","17"
"2597615","2"
"2597789","0"
"2601464",""
"2602305",""
"2602656",""
"2602732",""
"2602840","2"
"2602989",""
"2608372","5"
"2608442",""
"2608743","3"
"2609834","5"
"2611633","0"
"2621504",""
"2621703",""
"2621706","3"
"2625834",""
"2626467","1"
"2626686",""
"2627135","3"
"2631918","7"
"2633661","9"
"2633768",""
"2634523",""
"2635421","1"
"2636322",""
"2639053",""
"2639215",""
"2639490",""
"2639640","0"
"2641262","1"
"2641285","4"
"2641832",""
"2641997","1"
"2642043","5"
"2645464",""
"2645663","1"
"2646541",""
"2648524","1"
"2648984","22"
"2649089","2"
"2649094",""
"2650632",""
"2651653","2"
"2652138","2"
"2654712","3"
"2655809",""
"2656007",""
"2657082",""
"2658163",""
"2658922","60"
"2660576","0"
"2660798","3"
"2661396",""
"2662501",""
"2663379",""
"2666923",""
"2667107",""
"2670346",""
"2673476",""
"2673847","2"
"2674701",""
"2674939",""
"2675105","1"
"2676747",""
"2677578","7"
"2679900",""
"2681201",""
"2683626","1"
"2684147",""
"2684701",""
"2685413","22"
"2685848",""
"2685977","2"
"2686877",""
"2690544","267"
"2695153","16"
"2695587","2"
"2696482",""
"2697557","15"
"2697772","3"
"2698079","1"
"2699099","1"
"2702188","1"
"2704221",""
"2705854","10"
"2706506",""
"2709568","3"
"2710942",""
"2715143",""
"2715421","1"
"2716331","2"
"2727387","2"
"2730853","1"
"2736505","2"
"2736510",""
"2737823","1"
"2738120",""
"2738885",""
"2739306","2"
"2739464",""
"2742381",""
"2743107","1"
"2743944",""
"2745058","2"
"2745748","1"
"2747793",""
"2748685",""
"2751384","8"
"2758542","13"
"2760701","4"
"2760959",""
"2761433",""
"2762911","2"
"2764381",""
"2764653","5"
"2767750",""
"2768692","1"
"2769992","16"
"2771487","3"
"2772014","72"
"2775512","0"
"2776546",""
"2777021","8"
"2777278","3"
"2778840","10"
"2778889","1"
"2779053","1"
"2779926",""
"2780247",""
"2781485",""
"2781574","3"
"2784409",""
"2786628","8"
"2787035","18"
"2790815","4"
"2790897","2"
"2792084","1"
"2792756","9"
"2794016","654"
"2794137","16"
"2794970","2"
"2795280","1"
"2795630",""
"2798745","3"
"2802148","2"
"2802298","2"
"2803152",""
"2804114",""
"2809014",""
"2811420","1"
"2812879",""
"2813151",""
"2813962",""
"2817172",""
"2818156",""
"2820353",""
"2820699","3"
"2821564","2"
"2821996","4"
"2824605",""
"2828313",""
"2832938","3"
"2833786",""
"2835416","8"
"2835698",""
"2835945","2"
"2841399","6"
"2842888","2"
"2843073","8"
"2843154","1"
"2844017",""
"2844840","3"
"2846401","2"
"2846456","0"
"2848857","2"
"2851744",""
"2851989",""
"2852530","2"
"2852878","1"
"2856530","1"
"2857631",""
"2858873",""
"2860524",""
"2864007",""
"2864388",""
"2864976","1"
"2868633",""
"2869183","1"
"2869884","1"
"2871913",""
"2872781","1"
"2873377","3"
"2876357","45"
"2879712","1"
"2883089","2"
"2884731",""
"2886356","5"
"2888884","6"
"2888915","2"
"2889473","7"
"2890550","1"
"2890801","1"
"2894295",""
"2894328",""
"2894466","9"
"2895030",""
"2900941",""
"2902359",""
"2905349","2"
"2905886","3"
"2906754","23"
"2908603",""
"2909569",""
"2909706","6"
"2910902","3"
"2912109",""
"2912167","3"
"2913618","6"
"2914603","4"
"2914871","2"
"2917177","1"
"2917370","1"
"2917546",""
"2918010","0"
"2920812",""
"2923151",""
"2923428",""
"2923594","2"
"2924410",""
"2927374",""
"2927867",""
"2929996","25"
"2935220","5"
"2936234",""
"2939550",""
"2940030","1"
"2941368",""
"2943546",""
"2944275",""
"2944359",""
"2947551","2"
"2948156","22"
"2950422",""
"2951123","1"
"2951250",""
"2951475",""
"2951917","44"
"2952189",""
"2953015","2"
"2955858","5"
"2959384","4"
"2959671","0"
"2961312","1"
"2962644","1"
"2962811",""
"2964424",""
"2964790",""
"2964852","0"
"2965329","4"
"2965430",""
"2968062","1"
"2971942","7"
"2972468",""
"2973190",""
"2973551","1"
"2975831","36"
"2976204",""
"2976874",""
"2979479","1"
"2980362",""
"2981132","1"
"2983216","9"
"2984660","7"
"2985600","6"
"2986515",""
"2987902","3"
"2989183",""
"2990468","1"
"2992674",""
"2993613",""
"2994357",""
"2995360","6"
"2996498","1"
"2997960",""
"3000700",""
"3001836","72"
"3003396",""
"3005404",""
"3006164",""
"3008139","31"
"3009005","1"
"3009015","2"
"3009023","8"
"3009986","3"
"3009988","2"
"3014008",""
"3015619","0"
"3018198",""
"3021347","2"
"3022446",""
"3022470","2"
"3026361","4"
"3028770","3"
"3030248",""
"3030414",""
"3034238",""
"3036341","1"
"3040174","4"
"3041629",""
"3044261","2"
"3044485",""
"3045971",""
"3047393","1"
"3048055","1"
"3048183","1"
"3048542","2"
"3048982","3"
"3052237",""
"3053219",""
"3053349",""
"3054566",""
"3055385",""
"3055577",""
"3056150","5"
"3056905","1"
"3060788",""
"3061440",""
"3062897","3"
"3065809","1"
"3066192",""
"3067795",""
"3067823","1"
"3070587",""
"3075317","0"
"3075489",""
"3076581",""
"3076603","1"
"3079463","1"
"3080332","1"
"3080896","4"
"3081196","11"
"3083196","1"
