id,favorite
"10","35"
"32","122"
"65","3"
"130","13"
"213","2"
"215","4"
"235","5"
"238","3"
"278","10"
"378","4"
"448","1"
"465","4"
"477","13"
"589","3"
"600","6"
"603",""
"667","1"
"730","1"
"878","1"
"1080","1"
"1274","4"
"1281","6"
"1283","3"
"1310","1"
"1327","3"
"1537","13"
"1774",""
"1782","2"
"1793","22"
"1812",""
"2070","1"
"2113","12"
"2174",""
"2231","40"
"2452","2"
"2658",""
"2740","1"
"2770","1"
"2826","1"
"2874","1"
"2918",""
"3078","2"
"3129","3"
"3144","9"
"3246",""
"3290","15"
"3416","2"
"3488","1"
"3493",""
"3574",""
"3592","243"
"3611","32"
"3664","1"
"3681","6"
"3727","3"
"3945","5"
"4016","6"
"4143","9"
"4210",""
"4256","2"
"4313","1"
"4410","1"
"4533","5"
"4699","2"
"4767","1"
"4910","3"
"4925","1"
"5043",""
"5044","1"
"5085","12"
"5175","2"
"5366",""
"5502",""
"5523",""
"5526","1"
"5613","3"
"5762",""
"5812",""
"5833","3"
"5857","1"
"5951","1"
"6562","1"
"6569",""
"6587",""
"6620",""
"6641","4"
"6868","3"
"6918","1"
"6919","12"
"6940","1"
"6944","2"
"7024","3"
"7181","2"
"7236","1"
"7261","6"
"7280","2"
"7431","1"
"7587","1"
"7595","4"
"7726","25"
"7833",""
"7840","9"
"7944","7"
"7967","1"
"8028",""
"8072","8"
"8085","2"
"8206","1"
"8220","4"
"8225","2"
"8277",""
"8316","1"
"8417","35"
"8518",""
"8534",""
"8638","0"
"8695",""
"8786",""
"8829",""
"8919",""
"9011","31"
"9031","3"
"9115","2"
"9119","1"
"9192","9"
"9372","1"
"9402","1"
"9415","15"
"9603",""
"9663","3"
"9708","4"
"9932",""
"9974",""
"10044","2"
"10219",""
"10227","15"
"10228","3"
"10404","1"
"10452","16"
"10454",""
"10634","1"
"10867",""
"10962","3"
"10989","5"
"11083","2"
"11112","1"
"11141",""
"11233",""
"11272","3"
"11299",""
"11309",""
"11391","7"
"11404",""
"11441","2"
"11513",""
"11532","1"
"11550","13"
"11655","1"
"11875",""
"11898","2"
"11912","2"
"11930","3"
"12321","6"
"12413",""
"12415",""
"12446","11"
"12457","2"
"12479",""
"12618","5"
"12654","1"
"12878",""
"12939","1"
"13194","15"
"13279",""
"13374","6"
"13551",""
"13703",""
"14098","1"
"14154","2"
"14210",""
"14286","1"
"14328",""
"14396",""
"14474",""
"14505","15"
"14515",""
"14613",""
"14687",""
"14735","1"
"15016","1"
"15038","0"
"15048","2"
"15058","2"
"15076","73"
"15124",""
"15163",""
"15255","4"
"15298","4"
"15301",""
"15355",""
"15585","3"
"15638",""
"15797","1"
