id,nanswers
"104","15"
"1284","8"
"8318","4"
"8451","13"
"14061","11"
"16861","7"
"20168","5"
"23102","13"
"24723","8"
"28965","9"
"32412","4"
"33086","6"
"33969","3"
"34510","18"
"34896","14"
"35798","2"
"42357","10"
"45093","5"
"45627","29"
"47323","6"
"52830","4"
"53426","17"
"53728","9"
"55296","6"
"56949","1"
"59483","4"
"60174","28"
"65734","7"
"67174","12"
"71328","20"
"71756","14"
"72166","12"
"76359","2"
"81202","6"
"87431","6"
"89663","4"
"97983","2"
"107823","3"
"108088","3"
"109293","8"
"110123","4"
"110458","7"
"110575","6"
"111707","10"
"116415","7"
"117129","7"
"120131","14"
"120189","6"
"124885","3"
"129677","17"
"131681","7"
"132134","6"
"134086","15"
"134099","7"
"138311","2"
"138432","5"
"139199","18"
"143791","7"
"144696","3"
"145728","2"
"146839","5"
"147572","7"
"149848","8"
"155220","4"
"155751","4"
"156445","3"
"157924","2"
"159114","7"
"161315","7"
"166565","3"
"167165","11"
"167199","14"
"169058","5"
"170028","5"
"170415","5"
"172125","9"
"176195","5"
"178320","7"
"182542","8"
"185210","6"
"186106","4"
"187761","7"
"188870","5"
"195648","11"
"196845","4"
"198462","27"
"198520","3"
"198650","4"
"200545","6"
"200822","3"
"203758","3"
"205923","10"
"210820","3"
"211941","2"
"214802","2"
"214850","3"
"216324","3"
"219944","2"
"223395","4"
"224049","6"
"226316","4"
"226637","4"
"227909","2"
"228138","5"
"229596","3"
"229889","2"
"231204","3"
"239194","6"
"240362","3"
"241040","3"
"243152","7"
"244882","4"
"249318","2"
"251937","9"
"253327","1"
"253545","4"
"253673","7"
"255723","4"
"258625","4"
"262145","15"
"264570","7"
"267487","4"
"268182","5"
"269487","1"
"274274","11"
"274659","5"
"275207","5"
"280101","2"
"283726","4"
"284163","5"
"286462","1"
"295156","7"
"295385","3"
"295566","9"
"296134","1"
"299659","12"
"301750","3"
"305044","16"
"306668","9"
"309497","3"
"313998","4"
"315672","5"
"316367","7"
"316894","5"
"323264","4"
"323938","8"
"324905","5"
"325086","2"
"327499","4"
"332365","13"
"339312","6"
"339531","3"
"339603","6"
"339931","4"
"341422","3"
"341872","6"
"341966","3"
"344314","2"
"344437","1"
"348985","11"
"350177","8"
"350202","2"
"350697","5"
"352172","4"
"354161","5"
"354676","3"
"357499","3"
"357567","3"
"361701","1"
"363190","6"
"365309","8"
"368146","6"
"368313","3"
"369981","4"
"371928","1"
"381042","7"
"381171","7"
"381747","4"
"387936","3"
"388699","5"
"388985","7"
"390359","4"
"395592","3"
"396324","5"
"398179","3"
"400407","4"
"400655","2"
"400819","3"
"402705","5"
"402936","9"
"403489","8"
"407771","4"
"409807","6"
"412939","2"
"413477","38"
"416046","9"
"422738","3"
"423918","4"
"424210","14"
"436004","2"
"436715","3"
"437146","13"
"438486","2"
"438704","3"
"443224","1"
"443883","4"
"444181","6"
"444698","4"
"445177","7"
"445911","9"
"445993","4"
"446501","2"
"446551","6"
"447067","5"
"449650","5"
"451623","7"
"452664","6"
"457014","5"
"460519","5"
"461137","6"
"466737","9"
"469949","1"
"471800","6"
"472552","5"
"473173","3"
"475833","2"
"477053","1"
"477649","2"
"479059","1"
"479701","10"
"485023","6"
"487566","4"
"488797","2"
"490851","5"
"493531","3"
"496873","5"
"497156","6"
"498234","4"
"504323","4"
"506939","7"
"511907","7"
"512174","15"
"518313","2"
"526576","4"
"526655","1"
"527973","2"
"528303","12"
"540738","2"
"540915","1"
"544239","7"
"545573","1"
"546242","7"
"546701","3"
"546998","2"
"551480","3"
"553708","4"
"554156","3"
"554650","4"
"559483","4"
"565871","6"
"567155","4"
"568995","4"
"570160","5"
"571866","2"
"574159","12"
"579130","5"
"579322","4"
"585358","3"
"585891","4"
"587301","5"
"593238","2"
"594443","3"
"595516","2"
"597277","5"
"597353","4"
"599048","3"
"600329","4"
"601300","9"
"602625","2"
"604924","2"
"606099","2"
"606158","5"
"613680","5"
"613962","4"
"616545","9"
"616980","3"
"617714","2"
"619991","13"
"623299","4"
"624386","1"
"625542","4"
"626477","17"
"627918","7"
"628021","2"
"628386","1"
"629559","2"
"631661","2"
"633109","2"
"633245","2"
"636912","9"
"638057","2"
"638090","7"
"641462","5"
"642015","2"
"642327","4"
"648307","4"
"648396","4"
"648464","4"
"650979","2"
"651713","4"
"652683","4"
"652818","7"
"653396","1"
"660020","3"
"664722","1"
"667147","8"
"671527","1"
"671704","2"
"672810","11"
"674247","6"
"677444","7"
"678400","4"
"678471","2"
"681583","8"
"687787","5"
"688619","2"
"689369","1"
"692443","2"
"693958","0"
"694057","4"
"694363","5"
"696307","2"
"697553","4"
"698700","5"
"702100","3"
"703757","3"
"705533","9"
"707266","5"
"707587","12"
"712339","12"
"713611","5"
"714704","5"
"715096","6"
"715348","10"
"718611","1"
"721212","3"
"721772","2"
"725142","7"
"725875","5"
"726580","2"
"726662","4"
"733564","4"
"734611","1"
"742200","3"
"743649","3"
"744192","1"
"745249","2"
"747394","6"
"752859","1"
"757318","4"
"758002","3"
"759069","2"
"762795","1"
"763292","1"
"764565","5"
"768442","3"
"770900","11"
"771069","10"
"772596","21"
"778334","5"
"780214","4"
"782488","8"
"786656","3"
"793074","3"
"794232","2"
"794466","17"
"795553","4"
"797626","13"
"800685","9"
"802459","1"
"804969","2"
"808581","4"
"810402","10"
"814139","2"
"814679","1"
"815220","8"
"816224","3"
"817905","4"
"822247","5"
"822638","3"
"823821","4"
"823914","1"
"825638","2"
"826974","3"
"826981","6"
"827604","2"
"828207","17"
"828400","2"
"830472","4"
"830819","2"
"831968","7"
"832483","6"
"834061","1"
"834918","5"
"837248","4"
"841152","6"
"841957","2"
"845881","1"
"846402","5"
"847139","8"
"847306","1"
"853338","1"
"855394","3"
"857936","4"
"858773","6"
"859589","3"
"860954","4"
"861781","3"
"862169","2"
"862187","2"
"865837","6"
"869072","4"
"869089","2"
"869266","2"
"869361","4"
"870017","2"
"872929","6"
"873562","3"
"877338","11"
"877727","0"
"880188","4"
"884000","2"
"884209","2"
"886201","5"
"892356","2"
"893348","4"
"893658","6"
"894037","6"
"901214","1"
"901946","3"
"902997","3"
"903432","6"
"904442","2"
"909979","3"
"910708","9"
"912761","2"
"912850","7"
"913937","1"
"915790","1"
"918654","9"
"923689","5"
"925703","1"
"925890","1"
"926142","1"
"926779","17"
"926956","2"
"928830","6"
"930742","7"
"932640","4"
"933756","2"
"938978","4"
"939159","5"
"939747","2"
"940287","3"
"941279","3"
"941594","10"
"942400","2"
"944033","3"
"949569","8"
"951334","10"
"951386","9"
"954556","6"
"954628","6"
"955130","2"
"956993","7"
"957577","6"
"961830","4"
"962354","5"
"965186","2"
"970600","6"
"975448","7"
"978225","4"
"979360","9"
"984106","2"
"988046","1"
"992296","5"
"993671","17"
"994493","2"
"999699","1"
"1000002","2"
"1002628","5"
"1003847","1"
"1005381","2"
"1007066","2"
"1007191","4"
"1009474","3"
"1013032","6"
"1014593","2"
"1024073","5"
"1024730","2"
"1027857","1"
"1029118","1"
"1029380","4"
"1033766","3"
"1038274","8"
"1038986","2"
"1042635","2"
"1044121","1"
"1048726","2"
"1048777","2"
"1050524","2"
"1053919","7"
"1055460","5"
"1061634","8"
"1062254","4"
"1065000","3"
"1067323","2"
"1068190","4"
"1070153","6"
"1070486","2"
"1072224","5"
"1072497","3"
"1072541","4"
"1077840","3"
"1078397","2"
"1081025","3"
"1081449","2"
"1083898","6"
"1085341","4"
"1086918","6"
"1088144","3"
"1091665","2"
"1095045","1"
"1096151","3"
"1096595","2"
"1098452","7"
"1099391","7"
"1102429","7"
"1109794","4"
"1112841","7"
"1113422","7"
"1116128","3"
"1119656","3"
"1120381","6"
"1120575","10"
"1122337","3"
"1122902","5"
"1129639","3"
"1130966","2"
"1134202","6"
"1136468","1"
"1139360","6"
"1140828","1"
"1141277","3"
"1142933","7"
"1144026","3"
"1146396","7"
"1148820","30"
"1149118","7"
"1154376","2"
"1154628","4"
"1157775","4"
"1159729","3"
"1161851","1"
"1162491","4"
"1163319","4"
"1165040","18"
"1165192","4"
"1168731","4"
"1172014","2"
"1172891","5"
"1175714","5"
"1175828","2"
"1188714","6"
"1191112","4"
"1198076","3"
"1198900","2"
"1200655","4"
"1201247","3"
"1205889","8"
"1207071","3"
"1210042","4"
"1213246","1"
"1215930","2"
"1217065","3"
"1218188","5"
"1219663","3"
"1220182","4"
"1224021","11"
"1224049","6"
"1226406","7"
"1229828","2"
"1230098","3"
"1232665","3"
"1235883","2"
"1237563","4"
"1237768","2"
"1238082","3"
"1239177","1"
"1242529","1"
"1242925","1"
"1245387","2"
"1245396","4"
"1247373","4"
"1247821","3"
"1249902","3"
"1255286","2"
"1258117","2"
"1265282","11"
"1266605","4"
"1266650","3"
"1267998","2"
"1269290","2"
"1271787","1"
"1276078","2"
"1278066","3"
"1282243","3"
"1282949","0"
"1283352","3"
"1283476","4"
"1285832","4"
"1287965","5"
"1288599","1"
"1291584","6"
"1294360","4"
"1295319","3"
"1295827","4"
"1297501","3"
"1299857","1"
"1300944","1"
"1301863","8"
"1301991","2"
"1303305","2"
"1304907","3"
"1305326","2"
"1306823","9"
"1312292","1"
"1314518","5"
"1314521","4"
"1315835","4"
"1319956","4"
"1320496","2"
"1321508","5"
"1324294","2"
"1324512","2"
"1325656","5"
"1326001","2"
"1327742","8"
"1329354","4"
"1332670","5"
"1333577","6"
"1335522","1"
"1336555","2"
"1336776","10"
"1337865","2"
"1345663","4"
"1347728","4"
"1349314","1"
"1349474","4"
"1350331","7"
"1353375","2"
"1356861","2"
"1358810","13"
"1359939","2"
"1359973","4"
"1360805","6"
"1363381","1"
"1363690","2"
"1364130","1"
"1364922","7"
"1366182","2"
"1372211","3"
"1372643","1"
"1373574","8"
"1374288","7"
"1377849","1"
"1378194","3"
"1381362","5"
"1381937","2"
"1382608","2"
"1383971","3"
"1384807","3"
"1386253","6"
"1386367","1"
"1387450","3"
"1388718","9"
"1391280","3"
"1393514","1"
"1393720","1"
"1394467","4"
"1396300","1"
"1396443","5"
"1397112","1"
