id,owner_user_id
"104","39"
"1284",""
"8318","1054"
"8451","716"
"14061","615"
"16861","2019"
"20168","271"
"23102","580"
"24723","1406"
"28965","116"
"32412","2577"
"33086","1942"
"33969","3"
"34510","1931"
"34896","2628"
"35798","184"
"42357","1463"
"45093","4541"
"45627","123"
"47323","1583"
"52830",""
"53426","2064"
"53728","184"
"55296","2385"
"56949","1143"
"59483","5330"
"60174","428190"
"65734","9328"
"67174","2012356"
"71328","4012"
"71756","184"
"72166","12178"
"76359","13320"
"81202",""
"87431","16398"
"89663","3798"
"97983","8999"
"107823","7512"
"108088","3150"
"109293","2525"
"110123","10352"
"110458","10352"
"110575","1820"
"111707","18858"
"116415","16685"
"117129","4872"
"120131","21009"
"120189","7106"
"124885","7820"
"129677","10680"
"131681","8171"
"132134","950778"
"134086","11898"
"134099","305"
"138311","7473"
"138432","3122"
"139199","22392"
"143791",""
"144696","3560"
"145728","10583"
"146839","1467"
"147572","22076"
"149848","23528"
"155220","23918"
"155751","8123"
"156445","22710"
"157924","1683"
"159114","5509"
"161315","5004"
"166565","24481"
"167165","1599"
"167199","1599"
"169058","23524"
"170028","5274"
"170415","24938"
"172125","23113"
"176195","2592"
"178320","1444511"
"182542","3208"
"185210","1768"
"186106",""
"187761","15809"
"188870","2424"
"195648","9328"
"196845","27328"
"198462","20774"
"198520","96"
"198650","27305"
"200545","993"
"200822","26210"
"203758","115"
"205923","905"
"210820","3291"
"211941","905"
"214802","1034"
"214850","18642"
"216324","29373"
"219944","29772"
"223395",""
"224049","30187"
"226316","11356"
"226637","2357"
"227909","9401"
"228138","392"
"229596",""
"229889","26155"
"231204","3349"
"239194",""
"240362","31662"
"241040","392"
"243152","23893"
"244882","9323"
"249318","15474"
"251937","20006"
"253327","30594"
"253545","5552"
"253673","26180"
"255723","11905"
"258625","11438"
"262145","30917"
"264570",""
"267487","369"
"268182","5055"
"269487","19224"
"274274","4555"
"274659","22459"
"275207","21711"
"280101","25413"
"283726","25093"
"284163","5551"
"286462","16940"
"295156","191"
"295385","274"
"295566","28150"
"296134","238"
"299659","24982"
"301750","6691"
"305044","22162"
"306668","30366"
"309497",""
"313998","1100"
"315672","31319"
"316367","39539"
"316894","5472"
"323264","22970"
"323938",""
"324905","32892"
"325086",""
"327499","23066"
"332365","39677"
"339312","38072"
"339531","13143"
"339603","29772"
"339931","28207"
"341422","1100"
"341872","10771"
"341966","42987"
"344314","39057"
"344437","30993"
"348985","44230"
"350177","26004"
"350202",""
"350697","34548"
"352172","44260"
"354161","335036"
"354676",""
"357499","39980"
"357567","459737"
"361701","30587"
"363190","39292"
"365309","44010"
"368146","4224"
"368313","26155"
"369981","10420"
"371928","42223"
"381042","30176"
"381171","13913"
"381747",""
"387936","48026"
"388699",""
"388985","40214"
"390359","26428"
"395592","18393"
"396324","33349"
"398179","4257"
"400407","50191"
"400655","50216"
"400819","9150"
"402705",""
"402936","50111"
"403489","1942"
"407771","40376"
"409807","18484"
"412939","41021"
"413477","49262"
"416046","48705"
"422738","28760"
"423918","676066"
"424210","24181"
"436004","11522"
"436715","24954"
"437146","42595"
"438486","31677"
"438704",""
"443224","30786"
"443883",""
"444181","2172"
"444698","7280"
"445177","1574"
"445911","39062"
"445993","55342"
"446501","18615"
"446551","2172"
"447067","53270"
"449650","55750"
"451623",""
"452664",""
"457014","21709"
"460519",""
"461137",""
"466737","1862"
"469949","1725"
"471800","48729"
"472552","50851"
"473173","46064"
"475833",""
"477053","20386"
"477649","53467"
"479059","20386"
"479701","36446"
