id,score
"104","173"
"1284","24"
"8318","10"
"8451","14"
"14061","11"
"16861","58"
"20168","4"
"23102","52"
"24723","24"
"28965","17"
"32412","9"
"33086","9"
"33969","212"
"34510","1009"
"34896","54"
"35798","3"
"42357","8"
"45093","7"
"45627","125"
"47323","11"
"52830","1"
"53426","32"
"53728","65"
"55296","12"
"56949","3"
"59483","1"
"60174","2773"
"65734","3"
"67174","19"
"71328","65"
"71756","12"
"72166","45"
"76359","4"
"81202","12"
"87431","0"
"89663","4"
"97983","0"
"107823","28"
"108088","18"
"109293","8"
"110123","1"
"110458","7"
"110575","116"
"111707","32"
"116415","2"
"117129","9"
"120131","4"
"120189","2"
"124885","2"
"129677","1135"
"131681","83"
"132134","7"
"134086","153"
"134099","665"
"138311","19"
"138432","1"
"139199","140"
"143791","27"
"144696","17"
"145728","1"
"146839","3"
"147572","18"
"149848","35"
"155220","4"
"155751","2"
"156445","12"
"157924","16"
"159114","1"
"161315","45"
"166565","1"
"167165","17"
"167199","24"
"169058","4"
"170028","11"
"170415","23"
"172125","19"
"176195","4"
"178320","9"
"182542","68"
"185210","4"
"186106","0"
"187761","184"
"188870","37"
"195648","6"
"196845","0"
"198462","284"
"198520","11"
"198650","3"
"200545","22"
"200822","16"
"203758","2"
"205923","59"
"210820","2"
"211941","0"
"214802","1"
"214850","3"
"216324","3"
"219944","3"
"223395","2"
"224049","12"
"226316","1"
"226637","1"
"227909","27"
"228138","16"
"229596","6"
"229889","4"
"231204","0"
"239194","34"
"240362","3"
"241040","6"
"243152","8"
"244882","511"
"249318","3"
"251937","10"
"253327","3"
"253545","3"
"253673","4"
"255723","18"
"258625","9"
"262145","3"
"264570","4"
"267487","20"
"268182","4"
"269487","3"
"274274","73"
"274659","17"
"275207","7"
"280101","1"
"283726","9"
"284163","0"
"286462","0"
"295156","26"
"295385","12"
"295566","78"
"296134","3"
"299659","817"
"301750","6"
"305044","19"
"306668","83"
"309497","7"
"313998","2"
"315672","6"
"316367","4"
"316894","2"
"323264","8"
"323938","2"
"324905","0"
"325086","2"
"327499","5"
"332365","1103"
"339312","9"
"339531","4"
"339603","37"
"339931","2"
"341422","5"
"341872","22"
"341966","2"
"344314","1"
"344437","1"
"348985","7"
"350177","2"
"350202","0"
"350697","1"
"352172","5"
"354161","1"
"354676","16"
"357499","0"
"357567","1"
"361701","1"
"363190","7"
"365309","27"
"368146","18"
"368313","1"
"369981","12"
"371928","0"
"381042","4"
"381171","145"
"381747","1"
"387936","2"
"388699","7"
"388985","1"
"390359","3"
"395592","77"
"396324","2"
"398179","5"
"400407","7"
"400655","3"
"400819","4"
"402705","3"
"402936","16"
"403489","4"
"407771","3"
"409807","10"
"412939","1"
"413477","210"
"416046","26"
"422738","3"
"423918","2"
"424210","52"
"436004","1"
"436715","5"
"437146","26"
"438486","0"
"438704","10"
"443224","1"
"443883","0"
"444181","8"
"444698","13"
"445177","9"
"445911","6"
"445993","2"
"446501","0"
"446551","3"
"447067","8"
"449650","3"
"451623","3"
"452664","7"
"457014","4"
"460519","19"
"461137","0"
"466737","42"
"469949","1"
"471800","9"
"472552","0"
"473173","52"
"475833","5"
"477053","3"
"477649","8"
"479059","3"
"479701","96"
"485023","12"
"487566","-1"
"488797","4"
"490851","26"
"493531","1"
"496873","0"
