id,view_count
"104","13105"
"1284","7655"
"8318","9601"
"8451","7045"
"14061","5918"
"16861","34460"
"20168","3974"
"23102","11288"
"24723","67344"
"28965","1886"
"32412","2377"
"33086","2262"
"33969","49675"
"34510","598205"
"34896","12131"
"35798","1889"
"42357","3642"
"45093","19018"
"45627","160093"
"47323","1888"
"52830","194"
"53426","23464"
"53728","49885"
"55296","30890"
"56949","287"
"59483","7441"
"60174","1774635"
"65734","5925"
"67174","10276"
"71328","26770"
"71756","2868"
"72166","10670"
"76359","6934"
"81202","4071"
"87431","403"
"89663","834"
"97983","894"
"107823","6519"
"108088","13300"
"109293","384"
"110123","472"
"110458","1966"
"110575","66574"
"111707","7482"
"116415","1145"
"117129","3118"
"120131","1450"
"120189","3377"
"124885","6884"
"129677","535149"
"131681","103189"
"132134","549"
"134086","106668"
"134099","211536"
"138311","7582"
"138432","1041"
"139199","74472"
"143791","107479"
"144696","8700"
"145728","3267"
"146839","478"
"147572","11517"
"149848","49863"
"155220","7717"
"155751","198"
"156445","7728"
"157924","4626"
"159114","439"
"161315","34880"
"166565","896"
"167165","6656"
"167199","20467"
"169058","2727"
"170028","5393"
"170415","8500"
"172125","10758"
"176195","1363"
"178320","786"
"182542","231896"
"185210","975"
"186106","198"
"187761","116138"
"188870","39361"
"195648","14058"
"196845","229"
"198462","153380"
"198520","5051"
"198650","1765"
"200545","2460"
"200822","18109"
"203758","1323"
"205923","45331"
"210820","274"
"211941","178"
"214802","738"
"214850","2603"
"216324","2729"
"219944","730"
"223395","5594"
"224049","1655"
"226316","1873"
"226637","602"
"227909","15725"
"228138","16533"
"229596","302"
"229889","6188"
"231204","1793"
"239194","25315"
"240362","1000"
"241040","5792"
"243152","10808"
"244882","284214"
"249318","4665"
"251937","475"
"253327","1148"
"253545","282"
"253673","11419"
"255723","3748"
"258625","1873"
"262145","748"
"264570","2308"
"267487","8897"
"268182","2010"
"269487","3860"
"274274","33505"
"274659","11268"
"275207","3728"
"280101","2985"
"283726","9197"
"284163","459"
"286462","485"
"295156","14161"
"295385","4081"
"295566","85458"
"296134","520"
"299659","203342"
"301750","2231"
"305044","24816"
"306668","27242"
"309497","3560"
"313998","2634"
"315672","4996"
"316367","1043"
"316894","2258"
"323264","3550"
"323938","1316"
"324905","922"
"325086","5228"
"327499","1805"
"332365","206212"
"339312","6747"
"339531","5660"
"339603","50415"
"339931","5158"
"341422","30485"
"341872","17987"
"341966","629"
"344314","121"
"344437","1213"
"348985","9142"
"350177","4786"
"350202","691"
"350697","698"
"352172","682"
"354161","1361"
"354676","13960"
"357499","9033"
"357567","598"
"361701","978"
"363190","10293"
"365309","11115"
"368146","3031"
"368313","682"
"369981","1340"
"371928","162"
"381042","924"
"381171","42436"
"381747","347"
"387936","3630"
"388699","2702"
"388985","763"
"390359","216"
"395592","68666"
"396324","3976"
"398179","2977"
"400407","15674"
"400655","9245"
"400819","8718"
"402705","9637"
"402936","7190"
"403489","3095"
"407771","1744"
"409807","3701"
"412939","5945"
"413477","321322"
"416046","28808"
"422738","3674"
"423918","924"
"424210","15442"
"436004","1415"
"436715","5277"
"437146","26452"
"438486","153"
"438704","2088"
"443224","303"
"443883","1707"
"444181","11760"
"444698","3076"
"445177","3971"
"445911","3882"
"445993","2441"
"446501","1279"
"446551","2266"
"447067","7047"
"449650","5439"
"451623","4235"
"452664","1308"
"457014","3835"
"460519","5785"
"461137","143"
"466737","16233"
"469949","816"
"471800","14302"
"472552","513"
"473173","26187"
"475833","2082"
"477053","1448"
"477649","7635"
"479059","1161"
"479701","69529"
"485023","20277"
"487566","672"
"488797","172"
"490851","2971"
"493531","1392"
"496873","340"
"497156","603"
"498234","3547"
"504323","993"
"506939","1693"
"511907","515"
"512174","4874"
"518313","4494"
"526576","15822"
"526655","1634"
"527973","5199"
"528303","29349"
"540738","576"
"540915","2171"
"544239","14582"
"545573","604"
"546242","1782"
"546701","1780"
"546998","205"
"551480","4076"
"553708","3002"
"554156","1424"
"554650","2112"
"559483","34091"
"565871","22496"
"567155","5609"
"568995","14827"
"570160","14596"
"571866","3219"
"574159","34409"
"579130","3122"
"579322","1655"
"585358","2551"
"585891","341"
"587301","7818"
"593238","8112"
"594443","399"
"595516","471"
"597277","429"
