id,view_count
"1","3830"
"2","3814"
"7","1913"
"75","4104"
"97","3003"
"114","35232"
"117","28901"
"162","40086"
"163","1971"
"164","9896"
"183","11230"
"241","7365"
"244","1126"
"245","19643"
"249","4118"
"259","6853"
"264","10084"
"276","2219"
"277","6771"
"290","1320"
"312","1529"
"369","171"
"377","1704"
"380","2033"
"381","8772"
"382","2087"
"387","751"
"397","6466"
"398","1560"
"416","3177"
"437","388"
"438","3470"
"486","3267"
"515","2284"
"553","3603"
"580","540"
"595","529"
"627","896"
"645","4333"
"675","2196"
"807","4366"
"829","763"
"847","1057"
"854","2658"
"978","2306"
"1009","6313"
"1044","1609"
"1062","4437"
"1063","1461"
"1068","718"
"1069","11250"
"1070","2870"
"1108","2634"
"1166","814"
"1180","9259"
"1225","1079"
"1238","3089"
"1257","3910"
"1262","6125"
"1322","1298"
"1344","1463"
"1362","724"
"1368","17145"
"1427","1050"
"1463","5638"
"1577","561"
"1621","5467"
"1653","8914"
"1680","3310"
"1707","1678"
"1735","47493"
"1766","537"
"1906","1089"
"1961","1222"
"2003","11618"
"2010","2305"
"2013","10449"
"2021","475"
"2022","2421"
"2023","344"
"2028","3896"
"2078","3993"
"2087","35078"
"2091","423"
"2092","6128"
"2099","7756"
"2120","39844"
"2178","29307"
"2226","2150"
"2243","4026"
"2257","422"
"2330","7607"
"2342","1106"
"2372","6204"
"2403","376"
"2405","250"
"2503","3089"
"2517","11367"
"2525","4447"
"2552","20217"
"2581","2671"
"2582","729"
"2592","1828"
"2631","242"
"2703","1494"
"2715","6127"
"2804","966"
"2837","19310"
"2963","1351"
"2982","8202"
"2985","2398"
"3001","59550"
"3004","6435"
"3034","5838"
"3056","152941"
"3085","505"
"3142","289"
"3165","22800"
"3174","1505"
"3406","617"
"3460","753"
"3521","994"
"3543","1456"
"3584","487"
"3600","901"
"3601","372"
"3606","2450"
"3640","745"
"3674","20593"
"3694","2607"
"3707","4541"
"3763","788"
"3787","321"
"3844","744"
"3848","102608"
"3879","983"
"3889","3191"
"3949","3611"
"4104","453"
"4193","47314"
"4196","269"
"4213","1228"
"4217","1707"
"4248","35914"
"4253","458"
"4254","870"
"4309","431"
"4354","351"
"4420","508"
"4436","305"
"4471","6592"
"4503","150"
"4524","449"
"4530","10203"
"4536","1626"
"4555","1295"
"4570","1586"
"4667","11352"
"4752","352"
"4758","5455"
"4796","17837"
"4824","6499"
"4841","8754"
"4859","1725"
"4981","8901"
"5020","2699"
"5033","935"
"5067","344"
"5084","900"
"5091","197"
"5107","2908"
"5119","4820"
"5132","308"
"5182","1744"
"5212","618"
"5227","1726"
"5244","3152"
"5266","2335"
"5310","3192"
"5414","2302"
"5440","532"
"5441","1247"
"5467","325"
"5505","5043"
"5514","2676"
"5637","896"
"5644","157"
"5763","5195"
"5786","2605"
"5817","1396"
"5835","646"
"5847","10573"
"5860","460"
"5869","31434"
"5883","163"
"5897","5913"
"5932","1346"
"5949","2260"
"6020","3428"
"6077","228"
"6204","1285"
"6236","423"
"6259","1870"
"6329","987"
"6411","450"
"6465","1000"
"6478","849"
"6510","2745"
"6530","166"
"6535","2006"
"6550","963"
"6666","7623"
"6694","1534"
"6753","12266"
"6756","4195"
"6827","10137"
"6842","2870"
"6904","590"
"6946","8084"
"6957","6976"
"6998","3804"
"7062","2794"
"7080","2218"
"7084","2087"
"7204","46976"
"7256","1076"
"7277","3381"
"7434","1398"
"7519","2926"
"7553","5943"
"7641","2928"
"7687","2542"
