id,ncomments
"10","1"
"32","7"
"65","1"
"130","3"
"213","1"
"215","0"
"235","0"
"238","1"
"278","0"
"378","1"
"448","0"
"465","3"
"477","0"
"589","0"
"600","2"
"603","1"
"667","0"
"730","4"
"878","0"
"1080","0"
"1274","2"
"1281","3"
"1283","0"
"1310","5"
"1327","1"
"1537","0"
"1774","1"
"1782","0"
"1793","2"
"1812","1"
"2070","1"
"2113","1"
"2174","0"
"2231","13"
"2452","1"
"2658","2"
"2740","0"
"2770","0"
"2826","0"
"2874","5"
"2918","3"
"3078","0"
"3129","2"
"3144","0"
"3246","4"
"3290","3"
"3416","2"
"3488","0"
"3493","0"
"3574","0"
"3592","1"
"3611","0"
"3664","0"
"3681","4"
"3727","7"
"3945","2"
"4016","2"
"4143","4"
"4210","5"
"4256","4"
"4313","0"
"4410","0"
"4533","1"
"4699","7"
"4767","0"
"4910","1"
"4925","1"
"5043","3"
"5044","0"
"5085","2"
"5175","0"
"5366","3"
"5502","3"
"5523","2"
"5526","2"
"5613","7"
"5762","0"
"5812","3"
"5833","4"
"5857","3"
"5951","0"
"6562","4"
"6569","1"
"6587","1"
"6620","4"
"6641","3"
"6868","0"
"6918","0"
"6919","0"
"6940","6"
"6944","4"
"7024","0"
"7181","0"
"7236","0"
"7261","3"
"7280","0"
"7431","8"
"7587","0"
"7595","0"
"7726","1"
"7833","0"
"7840","1"
"7944","8"
"7967","0"
"8028","0"
"8072","7"
"8085","1"
"8206","1"
"8220","0"
"8225","0"
"8277","0"
"8316","0"
"8417","5"
"8518","0"
"8534","7"
"8638","0"
"8695","0"
"8786","3"
"8829","0"
"8919","0"
"9011","4"
"9031","0"
"9115","5"
"9119","0"
"9192","1"
"9372","0"
"9402","3"
"9415","0"
"9603","6"
"9663","1"
"9708","1"
"9932","0"
"9974","0"
"10044","5"
"10219","0"
"10227","0"
"10228","2"
"10404","9"
"10452","0"
"10454","2"
"10634","0"
"10867","0"
"10962","1"
"10989","0"
"11083","3"
"11112","1"
"11141","2"
"11233","9"
"11272","1"
"11299","1"
"11309","1"
"11391","2"
"11404","0"
"11441","0"
"11513","2"
"11532","2"
"11550","4"
"11655","4"
"11875","0"
"11898","3"
"11912","0"
"11930","0"
"12321","1"
"12413","1"
"12415","0"
"12446","0"
"12457","3"
"12479","5"
"12618","1"
"12654","6"
"12878","1"
"12939","0"
"13194","0"
"13279","0"
"13374","1"
"13551","1"
"13703","1"
"14098","5"
"14154","8"
"14210","2"
"14286","0"
"14328","0"
"14396","0"
"14474","2"
"14505","8"
"14515","10"
"14613","2"
"14687","2"
"14735","0"
"15016","2"
"15038","0"
"15048","0"
"15058","1"
"15076","24"
"15124","2"
"15163","0"
"15255","0"
"15298","2"
"15301","1"
"15355","2"
"15585","0"
"15638","2"
"15797","0"
"15909","0"
"15953","4"
"15973","0"
"16023","2"
"16175","8"
"16214","0"
"16264","5"
"16345","1"
"16351","4"
"16449","0"
"16537","1"
"16581","1"
"16612","0"
"16644","4"
"16679","3"
"16706","0"
"16737","1"
"16782","5"
"16908","0"
"16996","0"
"17054","4"
"17079","1"
"17127","8"
"17210","3"
"17273","2"
"17276","4"
"17318","2"
"17364","4"
"17487","2"
"17517","6"
"17536","1"
"17633","2"
"17638","10"
"17971","1"
"18047","3"
"18054","2"
"18066","0"
"18166","0"
"18225","10"
"18249","2"
"18321","3"
"18328","1"
"18726","7"
"18775","0"
"18875","5"
"18878","6"
