id,owner_user_id
"5509","159"
"16473",""
"19773","1100"
"20047","1"
"20386","380"
"20510","1638"
"25730","2666"
"33529","1842"
"34512","1931"
"36877","3871"
"40119","4208"
"44080","3244"
"47707","4854"
"52566","4764"
"60518","5190"
"62923",""
"64432","8563"
"69565","2915"
"76408","11234"
"78900","11886"
"89112","6508"
"100832","18699"
"108057","3150"
"117461","13376"
"122877","12926"
"124745","17007"
"140365","2745"
"146841","13813"
"150805","18313"
"153953","17428"
"178876","6969"
"180239","9925"
"191692","25515"
"196177","1463"
"199017","27304"
"200786","11123"
"208387","22569"
"217113","26379"
"217213",""
"218681","26221"
"228476","10676"
"233258","15038"
"239905","28098"
"242629","1127460"
"244489",""
"260192","25891"
"269676","13009"
"270011","7423"
"271850","727"
"273209","3175"
"276087","12983"
"279173","34799"
"280053",""
"285392",""
"285586","37141"
"287456","8133"
"302357","4316"
"307478","2233"
"312069","38354"
"320636","21668"
"321036","40214"
"321241","3631"
"329775",""
"332833","29746"
"344719","11208"
"346499","43960"
"352066","44524"
"354035","44724"
"364172","1512"
"367571","8127"
"372933","4257"
"376346",""
"391913","1463"
"394836","29363"
"394895","37491"
"396100","49500"
"409449","42974"
"413940","525"
"420599","25781"
"421893","24229"
"423802","6583"
"428478","34798"
"429254","52751"
"432491","4234"
"433700","27512"
"443009",""
"443237","45664"
"444191","48465"
"466601","35697"
"469098","29027"
"470820","13172"
"472700","82"
"473760","205962"
"475539","46297"
"478242",""
"487173","49739"
"487889","8047"
"491527","31409"
"493909","698"
"494327","40106"
"505465","16071"
"507249","25418"
"508398","343"
"510955",""
"511289","62391"
"512371","30381"
"516869",""
"517950","51841"
"520107","47351"
"527296","25077"
"528127","19803"
"528405","58394"
"531717","25781"
"532346","22668"
"532917","47154"
"533021","12772"
"536432","49850"
"537103","22674"
"541620",""
"554138","60777"
"556616","66887"
"560507","51420"
"562617","39677"
"562843","26227"
"565425","67381"
"580177",""
"582663","18965"
"585149",""
"586759",""
"595187","48684"
"596057","69048"
"600757","5133"
"611520",""
"612964","40106"
"620733","51816"
"626290","12031"
"639034","77265"
"641666","54060"
"643122",""
"651481","22216"
"653012","24457"
"656274","2892"
"656583","14979"
"661908","79419"
"664718","80285"
"665094","11397"
"666573","1533"
"667177","39615"
"670791","28841"
"674724","386102"
"679270","54822"
"685904","80901"
"686397","70742"
"687059","34708"
"693270","47846"
"697336","4728"
"701580","80363"
"703856","11574"
"706367","62553"
"709145","59320"
"712975","85381"
"714125","44683"
"720508","17648"
"728063","38695"
"728088","16460"
"730913","88704"
"735894","88802"
"738846",""
"739850","36537"
"742730","74980"
"749911","90801"
"751957","78579"
"756908","40882"
"758743","40882"
"761077",""
"765285","92735"
"767392","93040"
"770555","73987"
"789826","1038182"
"795237","96747"
"797883","82609"
"798933","745"
"801589","23418"
"801737","11256"
"803150","7423"
"803566",""
"812980","23837"
"829105","50388"
"838540","103286"
"838824","103381"
"841984",""
"846460","22459"
"849549","46675"
"856358","18174"
"863948","23572"
"867660","38857"
"867928",""
"871610","52589"
"879758","107435"
"882884","30717"
"884781","108826"
"891913","110395"
"895600","110781"
"897020","87349"
"898273","132414"
"901369","2578925"
"902687","55093"
"904775","43904"
"905118","131"
"914199",""
"918180",""
"919334","1688440"
"920114",""
"935463",""
"935922","80901"
"937178","6508"
"939831","96523"
