id,owner_user_id,reputation
"5266","",""
"8310","",""
"8573","",""
"8803","",""
"8873","",""
"9763","",""
"9781","",""
"9908","",""
"10156","",""
"11234","",""
"14215","",""
"14757","",""
"15436","",""
"15475","",""
"15599","",""
"16247","",""
"16291","",""
"19872","",""
"20904","",""
"21177","",""
"22783","",""
"23133","",""
"23178","",""
"24803","",""
"24832","",""
"25647","",""
"29014","",""
"30096","",""
"30697","",""
"32047","",""
"33308","",""
"34687","",""
"35089","",""
"35264","",""
"36458","",""
"36580","",""
"36609","",""
"36873","",""
"37270","",""
"40127","",""
"40154","",""
"40396","",""
"41478","",""
"41716","",""
"41905","",""
"43284","",""
"45561","",""
"47334","",""
"48378","",""
"48580","",""
"52506","",""
"52689","",""
"53773","",""
"54190","",""
"54630","",""
"55179","",""
"55718","",""
"56190","",""
"56366","",""
"56408","",""
"56609","",""
"83772","",""
"89546","",""
"89897","",""
"89903","",""
"89905","",""
"89924","",""
"89927","",""
"89929","",""
"89976","",""
"90105","",""
"90565","",""
"91560","",""
"94885","",""
"96004","",""
"96204","",""
"96244","",""
"96867","",""
"97469","",""
"98458","",""
"99926","",""
"103672","",""
"104330","",""
"109435","",""
"111688","",""
"117662","",""
"117960","",""
"118699","",""
"119989","",""
"124135","",""
"124184","",""
"124326","",""
"126562","",""
"127628","",""
"128160","",""
"137214","",""
"140926","",""
"142666","",""
"144010","",""
"144719","",""
"145479","",""
"145506","",""
"146145","",""
"148788","",""
"151238","",""
"151923","",""
"151941","",""
"152040","",""
"154975","",""
"155360","",""
"158920","",""
"164921","",""
"165770","",""
"2226","",""
"58500","",""
"59323","",""
"60639","",""
"60959","",""
"61386","",""
"62464","",""
"62483","",""
"62731","",""
"63218","",""
"63821","",""
"63907","",""
"63946","",""
"64029","",""
"64052","",""
"64080","",""
"64125","",""
"64186","",""
"64188","",""
"64282","",""
"64286","",""
"64334","",""
"64638","",""
"65104","",""
"65184","",""
"65299","",""
"65396","",""
"65625","",""
"65731","",""
"65930","",""
"66016","",""
"66675","",""
"71665","",""
"73344","",""
"73433","",""
"73701","",""
"73750","",""
"76101","",""
"76588","",""
"77428","",""
"79438","",""
"245","3","1997"
"312","3","1997"
"97","4","1192"
"2","5","1144"
"1427","5","1144"
"1961","5","1144"
"2010","5","1144"
"1","7","1474"
"17635","7","1474"
"259","21","1205"
"397","21","1205"
"437","21","1205"
"438","21","1205"
"2837","21","1205"
"117","22","13544"
"163","22","13544"
"183","23","3232"
"7","25","2639"
"377","25","2639"
"1063","28","14323"
"1680","28","14323"
"1238","29","187"
"398","32","3092"
"627","32","3092"
"7084","32","3092"
"8446","32","3092"
"380","33","68724"
"381","33","68724"
"382","33","68724"
"3004","33","68724"
"3085","33","68724"
"47490","33","68724"
"276","34","2000"
"277","34","2000"
"21067","37","58579"
"58549","37","58579"
"159331","37","58579"
"42500","37","58579"
"1653","44","1366"
"36468","45","4949"
"1108","47","793"
"249","52","341"
"12041","56","4414"
"1257","57","9007"
"75","59","3191"
"114","69","4673"
"264","69","4673"
"9106","69","4673"
"241","74","2147"
"369","74","2147"
"416","74","2147"
"1766","74","2147"
"3142","74","2147"
"1068","89","1830"
"13863","89","1830"
"162","96","1095"
"164","96","1095"
"290","96","1095"
"387","98","2313"
"2257","98","2313"
"13698","104","1840"
"4248","108","1095"
"71356","109","113"
"2804","110","258"
"244","116","223"
"1070","134","835"
"1180","136","3830"
"2028","136","3830"
"46525","137","889"
"3034","140","18336"
"515","147","383"
"595","160","1691"
"645","160","1691"
"675","160","1691"
"5860","208","345"
"1368","213","1019"
"486","218","655"
"6530","227","3853"
"10657","227","3853"
"829","241","391"
"73406","278","178"
"854","294","15720"
"1009","294","15720"
