id,score
"1","30"
"2","21"
"7","28"
"75","22"
"97","18"
"114","74"
"117","25"
"162","34"
"163","12"
"164","50"
"183","35"
"241","35"
"244","10"
"245","22"
"249","14"
"259","10"
"264","20"
"276","11"
"277","22"
"290","12"
"312","11"
"369","3"
"377","27"
"380","5"
"381","19"
"382","16"
"387","16"
"397","22"
"398","20"
"416","11"
"437","11"
"438","21"
"486","23"
"515","12"
"553","19"
"580","3"
"595","6"
"627","8"
"645","7"
"675","2"
"807","16"
"829","29"
"847","11"
"854","7"
"978","11"
"1009","26"
"1044","10"
"1062","17"
"1063","15"
"1068","14"
"1069","18"
"1070","18"
"1108","9"
"1166","15"
"1180","18"
"1225","19"
"1238","13"
"1257","17"
"1262","8"
"1322","19"
"1344","7"
"1362","14"
"1368","90"
"1427","12"
"1463","11"
"1577","13"
"1621","14"
"1653","23"
"1680","20"
"1707","5"
"1735","45"
"1766","-1"
"1906","8"
"1961","6"
"2003","3"
"2010","12"
"2013","43"
"2021","2"
"2022","5"
"2023","4"
"2028","6"
"2078","1"
"2087","25"
"2091","1"
"2092","-1"
"2099","15"
"2120","82"
"2178","7"
"2226","6"
"2243","12"
"2257","1"
"2330","45"
"2342","11"
"2372","12"
"2403","5"
"2405","2"
"2503","6"
"2517","14"
"2525","6"
"2552","11"
"2581","8"
"2582","3"
"2592","9"
"2631","0"
"2703","8"
"2715","10"
"2804","5"
"2837","31"
"2963","6"
"2982","15"
"2985","18"
"3001","86"
"3004","7"
"3034","6"
"3056","166"
"3085","7"
"3142","6"
"3165","46"
"3174","2"
"3406","2"
"3460","3"
"3521","8"
"3543","6"
"3584","10"
"3600","8"
"3601","2"
"3606","5"
"3640","5"
"3674","45"
"3694","18"
"3707","2"
"3763","10"
"3787","5"
"3844","8"
"3848","45"
"3879","7"
"3889","4"
"3949","10"
"4104","11"
"4193","18"
"4196","2"
"4213","6"
"4217","9"
"4248","51"
"4253","4"
"4254","8"
"4309","2"
"4354","8"
"4420","10"
"4436","6"
"4471","17"
"4503","5"
"4524","7"
"4530","8"
"4536","22"
"4555","11"
"4570","7"
"4667","30"
"4752","7"
"4758","16"
"4796","20"
"4824","16"
"4841","15"
"4859","14"
"4981","12"
"5020","0"
"5033","6"
"5067","3"
"5084","4"
"5091","3"
"5107","18"
"5119","25"
"5132","4"
"5182","7"
"5212","4"
"5227","18"
"5244","29"
"5266","10"
"5310","7"
"5414","8"
"5440","6"
"5441","18"
"5467","0"
"5505","9"
"5514","12"
"5637","7"
"5644","4"
"5763","-2"
"5786","7"
"5817","7"
"5835","2"
"5847","14"
"5860","1"
"5869","19"
"5883","1"
"5897","12"
"5932","3"
"5949","6"
"6020","7"
"6077","5"
"6204","6"
"6236","8"
"6259","11"
"6329","4"
"6411","3"
"6465","5"
"6478","18"
"6510","11"
"6530","8"
"6535","5"
"6550","3"
"6666","18"
"6694","8"
"6753","33"
"6756","8"
"6827","14"
"6842","8"
"6904","3"
"6946","13"
"6957","14"
"6998","13"
"7062","3"
"7080","4"
"7084","6"
"7204","43"
"7256","8"
"7277","6"
"7434","1"
"7519","5"
"7553","5"
"7641","3"
"7687","16"
"7697","2"
"7703","11"
"7705","71"
"7720","4"
"7776","1"
"7802","3"
"7849","14"
"7860","10"
"7870","3"
"7911","14"
"7920","0"
"7938","6"
"7961","2"
"8033","3"
"8066","8"
"8074","5"
"8099","10"
"8113","48"
"8155","4"
"8174","26"
"8181","3"
"8201","8"
"8303","15"
"8310","1"
"8427","2"
"8445","16"
"8446","10"
"8456","9"
"8573","2"
"8587","26"
"8602","13"
"8610","5"
"8621","12"
"8663","4"
"8711","8"
"8733","8"
"8744","15"
"8749","9"
"8757","3"
"8761","20"
"8785","3"
"8798","12"
"8803","4"
"8857","10"
"8865","7"
"8867","6"
"8873","10"
"8895","3"
"8896","3"
"8945","6"
"9095","0"
"9096","7"
"9106","7"
"9113","6"
"9133","4"
"9156","11"
"9230","5"
"9237","6"
"9263","3"
"9272","4"
"9348","20"
"9440","6"
"9453","15"
"9461","13"
"9470","6"
"9561","8"
"9623","13"
"9628","3"
"9668","4"
"9682","3"
"9763","3"
"9781","0"
"9810","3"
"9831","4"
"9908","20"
"9916","7"
"9935","6"
"9945","15"
"9967","0"
"9973","1"
"9980","7"
"9981","10"
"10000","13"
"10006","10"
"10011","12"
"10029","7"
"10032","0"
"10035","3"
"10071","2"
"10106","11"
"10109","13"
"10156","7"
"10201","2"
"10251","4"
"10270","3"
"10277","10"
"10292","3"
"10378","7"
"10386","9"
"10415","15"
"10446","6"
"10485","5"
"10535","5"
"10549","7"
"10551","1"
"10553","3"
"10554","6"
"10615","5"
"10646","5"
"10657","1"
"10691","5"
"10694","6"
"10722","8"
"10728","2"
"10729","16"
"10736","5"
"10825","6"
"10838","1"
"10847","2"
"10854","13"
"10857","2"
"10866","1"
"10898","2"
"10929","6"
"10974","11"
"11066","2"
"11098","2"
"11103","2"
"11140","8"
"11163","9"
"11170","2"
"11234","98"
"11263","5"
"11298","6"
"11317","2"
"11355","3"
"11363","16"
"11369","1"
"11376","3"
"11384","27"
"11393","2"
"11397","4"
"11398","3"
"11427","5"
"11444","49"
"11447","5"
"11540","2"
"11555","0"
"11606","10"
"11621","3"
"11623","0"
"11632","9"
"11658","3"
"11662","2"
"11737","8"
"11756","18"
"11768","3"
"11788","10"
"11794","2"
"11810","3"
"11840","13"
"11842","4"
"11860","8"
"11868","10"
"11893","3"
"11911","8"
"11917","5"
"11968","2"
"11972","2"
"11974","5"
"11985","6"
"11986","7"
"11995","8"
"12041","135"
"12066","42"
"12101","17"
"12131","0"
"12133","5"
"12153","-2"
"12164","6"
"12178","2"
"12194","2"
"12313","8"
"12401","17"
"12402","1"
"12405","6"
"12428","6"
"12434","1"
"12482","4"
"12512","13"
"12546","60"
"12555","9"
"12568","14"
"12593","33"
"12596","28"
"12624","7"
"12684","7"
"12686","5"
"12699","4"
"12729","14"
"12792","9"
"12816","1"
"12836","5"
"12846","5"
"12857","7"
"12896","19"
"12899","3"
"12933","5"
"13039","2"
"13059","6"
"13120","2"
"13192","7"
"13235","1"
"13243","6"
"13286","1"
"13372","8"
"13375","8"
"13432","15"
"13446","2"
"13464","24"
"13496","7"
"13537","4"
"13543","1"
"13570","7"
"13618","6"
"13639","1"
"13652","17"
"13658","1"
"13698","15"
"13731","2"
"13760","9"
"13798","1"
"13821","5"
"13841","1"
"13862","5"
"13863","1"
"13955","5"
"13992","4"
"14025","50"
"14029","0"
"14038","6"
"14046","2"
"14102","0"
"14112","5"
"14134","3"
"14142","49"
"14152","4"
"14215","5"
"14216","4"
"14222","-1"
"14249","0"
"14255","-3"
"14256","0"
"14305","19"
"14465","4"
"14516","5"
"14534","-1"
"14569","0"
"14635","-2"
"14709","11"
"14713","5"
"14714","0"
"14717","-1"
"14727","2"
"14738","2"
"14739","2"
"14757","6"
"14763","4"
"14820","1"
"14843","10"
"14864","2"
"14881","13"
"14890","6"
"14894","-1"
"14898","0"
"14906","5"
"14940","4"
"14982","1"
"15014","1"
"15059","4"
"15066","1"
"15075","9"
"15102","2"
"15108","6"
"15116","1"
"15202","2"
"15207","3"
"15214","82"
"15235","5"
"15260","2"
"15262","5"
"15272","6"
"15315","10"
"15335","2"
"15349","1"
"15368","6"
"15394","-2"
"15436","6"
"15446","8"
"15471","3"
"15475","2"
"15484","1"
"15491","8"
"15502","3"
"15595","4"
"15599","7"
"15617","45"
"15621","6"
"15641","-1"
"15694","7"
"15722","1"
"15726","3"
"15741","9"
"15743","1"
"15744","5"
"15765","31"
"15813","3"
"15830","0"
"15881","1"
"15903","1"
"15934","15"
