id,a_reputation,creationdate
"1","59539","2008-07-31 14:22:31"
"3","15206","2008-07-31 14:22:31"
"13","199081","2008-08-01 04:18:04"
"29","93232","2008-08-01 12:24:53"
"33","25585","2008-08-01 12:32:10"
"34","19872","2008-08-01 12:39:52"
"46","16846","2008-08-01 13:13:21"
"49","24040","2008-08-01 13:29:21"
"51","36520","2008-08-01 13:31:13"
"67","131370","2008-08-01 14:49:18"
"71","27417","2008-08-01 15:05:56"
"72","30373","2008-08-01 15:09:58"
"77","68007","2008-08-01 16:02:03"
"91","162716","2008-08-01 17:55:22"
"96","31622","2008-08-01 18:33:48"
"112","28502","2008-08-02 05:39:11"
"115","74484","2008-08-02 05:44:40"
"142","40060","2008-08-02 12:41:43"
"144","5851","2008-08-02 14:22:14"
"157","44017","2008-08-02 17:42:25"
"164","13981","2008-08-02 20:59:47"
"204","13880","2008-08-03 13:27:56"
"227","13248","2008-08-03 17:53:19"
"243","21149","2008-08-03 23:49:51"
"267","334470","2008-08-04 10:11:06"
"282","2195","2008-08-04 12:18:45"
"357","61515","2008-08-05 01:29:23"
"364","36657","2008-08-05 05:33:41"
"369","89667","2008-08-05 08:33:43"
"392","86506","2008-08-05 12:29:07"
"419","110090","2008-08-05 14:48:22"
"476","451245","2008-08-06 08:15:28"
"571","25099","2008-08-06 20:19:59"
"582","163234","2008-08-06 22:43:52"
"636","14262","2008-08-07 12:32:33"
"698","17935","2008-08-07 23:31:56"
"730","47223","2008-08-08 12:40:04"
"736","43092","2008-08-08 13:06:17"
"740","121023","2008-08-08 13:23:40"
"751","18265","2008-08-08 14:26:58"
"758","29035","2008-08-08 15:40:58"
"781","26972","2008-08-08 21:28:19"
"872","42722","2008-08-09 23:52:40"
"878","5383","2008-08-10 05:50:34"
"889","13278","2008-08-10 08:04:03"
"893","775486","2008-08-10 08:27:00"
"900","24542","2008-08-10 09:14:03"
"905","125952","2008-08-10 09:37:14"
"912","66047","2008-08-10 10:09:35"
"914","26928","2008-08-10 10:32:48"
"956","35778","2008-08-11 03:33:26"
"988","5355","2008-08-11 12:14:35"
"1053","112100","2008-08-11 22:17:55"
"1054","1171","2008-08-11 22:38:05"
"1065","39518","2008-08-12 05:47:43"
"1088","39105","2008-08-12 11:11:16"
"1109","121322","2008-08-12 12:16:58"
"1114","1","2008-08-12 12:54:42"
"1236","741","2008-08-13 15:13:28"
"1244","10462","2008-08-13 17:57:26"
"1324","34294","2008-08-14 14:23:46"
"1343","63647","2008-08-14 15:46:01"
"1406","8083","2008-08-15 12:26:06"
"1423","49762","2008-08-15 15:20:12"
"1432","25767","2008-08-15 15:33:54"
"1450","103571","2008-08-15 16:26:21"
"1482","1967","2008-08-15 20:32:47"
"1512","54138","2008-08-16 03:17:59"
"1551","31177","2008-08-16 15:31:11"
"1553","9150","2008-08-16 15:43:17"
"1583","449613","2008-08-16 20:54:12"
"1585","52692","2008-08-16 21:03:55"
"1588","19232","2008-08-17 01:05:22"
"1625","4971","2008-08-17 16:17:14"
"1644","11861","2008-08-17 18:23:42"
"1737","61392","2008-08-18 11:30:00"
"1738","12201","2008-08-18 11:32:29"
"1745","2406","2008-08-18 12:09:56"
"1755","63614","2008-08-18 12:47:06"
"1820","31604","2008-08-18 18:06:03"
"1831","113763","2008-08-18 19:04:01"
"1862","61748","2008-08-18 23:53:20"
"1879","35266","2008-08-19 02:57:11"
"1898","61925","2008-08-19 08:26:46"
"1900","7861","2008-08-19 09:38:19"
"1942","104569","2008-08-19 14:45:43"
"1968","455957","2008-08-19 15:59:21"
"2075","1619","2008-08-20 07:09:28"
"2078","8040","2008-08-20 08:00:36"
"2131","16178","2008-08-20 13:45:48"
"2169","12323","2008-08-20 17:54:21"
"2238","61765","2008-08-21 05:51:27"
"2257","38580","2008-08-21 11:26:12"
"2271","2985","2008-08-21 12:33:26"
"2287","37852","2008-08-21 13:49:47"
"2321","14353","2008-08-21 16:22:52"
"2385","36332","2008-08-22 00:18:38"
"2424","83403","2008-08-22 04:09:40"
"2443","83152","2008-08-22 10:53:30"
"2525","50792","2008-08-22 16:18:42"
"2688","129872","2008-08-24 14:48:05"
"2720","2974","2008-08-24 17:15:55"
"2935","2865","2008-08-26 08:23:46"
"2979","23191","2008-08-26 09:58:01"
"2988","322492","2008-08-26 10:27:55"
"3043","347945","2008-08-26 13:24:14"
"3052","2777","2008-08-26 13:45:07"
"3093","39774","2008-08-26 15:37:22"
"3095","11442","2008-08-26 15:43:54"
"3171","173610","2008-08-27 06:27:02"
"3201","39527","2008-08-27 12:58:34"
"3211","7215","2008-08-27 13:15:37"
"3232","4080","2008-08-27 13:52:38"
"3287","9816","2008-08-27 17:19:53"
"3381","38421","2008-08-28 11:39:48"
"3421","22565","2008-08-28 14:25:39"
"3474","241695","2008-08-28 17:28:46"
"3501","79598","2008-08-28 19:56:11"
"3508","30260","2008-08-28 18:37:07"
"3514","5231","2008-08-28 21:53:55"
"3524","2255","2008-08-28 23:27:02"
"3542","45912","2008-08-29 04:24:06"
"3546","22776","2008-08-29 04:36:13"
"3603","76090","2008-08-29 09:45:14"
"3633","187","2008-08-29 16:09:12"
"3641","5401","2008-08-29 16:32:49"
"3719","9441","2008-08-30 09:51:01"
"3737","52833","2008-08-30 13:22:25"
"3743","10121","2008-08-30 14:08:44"
"3798","31820","2008-08-30 22:09:59"
"3909","5619","2008-08-31 20:23:49"
"3914","2191","2008-08-31 21:28:30"
"3916","70953","2008-08-31 21:38:56"
"3937","81498","2008-09-01 00:31:01"
"3973","13130","2008-09-01 06:04:30"
"3978","47505","2008-09-01 06:35:53"
"4007","31596","2008-09-01 09:59:30"
"4068","44588","2008-09-01 16:20:04"
"4086","91345","2008-09-01 18:01:18"
"4092","16169","2008-09-01 18:30:58"
"4203","63848","2008-09-02 10:09:59"
"4249","129700","2008-09-02 14:13:06"
"4257","31179","2008-09-02 14:39:35"
"4279","321778","2008-09-02 16:10:17"
"4280","30222","2008-09-02 16:14:28"
"4285","11766","2008-09-02 16:46:29"
"4321","46258","2008-09-02 20:27:30"
"4323","190009","2008-09-02 20:46:09"
"4337","49764","2008-09-02 22:43:39"
"4418","26553","2008-09-03 15:54:27"
"4419","2670","2008-09-03 15:58:26"
"4435","77020","2008-09-03 18:46:12"
"4443","1144","2008-09-03 19:56:37"
"4509","17194","2008-09-04 11:10:06"
"4525","35612","2008-09-04 15:36:18"
"4570","10366","2008-09-04 18:09:36"
"4590","26775","2008-09-04 18:53:56"
"4636","16386","2008-09-04 22:44:17"
"4646","3529","2008-09-04 23:39:08"
"4668","154209","2008-09-05 04:08:05"
"4702","21153","2008-09-05 10:14:44"
"4725","138626","2008-09-05 11:21:05"
"4782","31853","2008-09-05 15:13:51"
"4833","89655","2008-09-05 20:24:35"
"4873","2730","2008-09-06 09:14:56"
"4910","6946","2008-09-06 14:49:31"
"4911","2551","2008-09-06 14:52:31"
"4965","13483","2008-09-07 03:17:47"
"4977","29245","2008-09-07 07:24:42"
"5049","15221","2008-09-07 15:03:23"
"5056","97037","2008-09-07 15:43:17"
"5114","5160","2008-09-08 00:02:38"
"5190","234827","2008-09-08 12:03:43"
"5274","61321","2008-09-08 20:14:46"
"5296","6219","2008-09-08 22:13:27"
"5298","5362","2008-09-08 22:17:05"
"5321","6283","2008-09-09 05:40:33"
"5342","1427","2008-09-09 09:55:09"
"5353","36755","2008-09-09 10:19:55"
"5360","12655","2008-09-09 10:50:44"
"5380","160598","2008-09-09 11:49:46"
"5472","2104","2008-09-09 21:19:29"
"5551","2781","2008-09-10 13:22:28"
"5620","32307","2008-09-10 14:57:30"
"5640","20222","2008-09-10 15:33:37"
"5646","4566","2008-09-10 15:53:30"
"5674","8643","2008-09-10 20:55:44"
"5696","33367","2008-09-11 02:18:00"
"5746","4165","2008-09-11 08:26:47"
"5801","11356","2008-09-11 12:26:15"
"5965","1090","2008-09-11 19:58:52"
"5987","257625","2008-09-11 21:06:49"
"6085","2597","2008-09-12 09:50:47"
"6152","6103","2008-09-12 17:04:35"
"6160","10465","2008-09-12 17:51:33"
"6210","48084","2008-09-12 23:19:11"
"6260","21437","2008-09-13 11:43:24"
"6276","20986","2008-09-13 14:11:05"
"6277","17234","2008-09-13 14:11:42"
"6302","3252","2008-09-13 20:30:19"
"6330","72293","2008-09-14 07:37:48"
"6367","18036","2008-09-14 21:53:42"
"6372","39839","2008-09-14 23:57:36"
"6461","97342","2008-09-15 10:26:05"
"6466","425","2008-09-15 10:32:15"
"6508","85381","2008-09-15 11:38:58"
"6521","268145","2008-09-15 11:56:50"
"6554","1141","2008-09-15 12:15:24"
"6610","37148","2008-09-15 12:21:49"
"6629","6691","2008-09-15 12:23:22"
"6703","6909","2008-09-15 12:30:37"
"6744","29955","2008-09-15 12:34:51"
"6782","301365","2008-09-15 12:37:18"
"6819","124722","2008-09-15 12:40:50"
"6902","3919","2008-09-15 12:47:42"
"6910","22307","2008-09-15 12:48:35"
"6920","46208","2008-09-15 12:50:02"
"6970","9254","2008-09-15 12:55:35"
"7186","12508","2008-09-15 13:19:15"
"7211","12319","2008-09-15 13:21:29"
"7277","23827","2008-09-15 13:27:07"
"7280","28698","2008-09-15 13:27:32"
"7345","25134","2008-09-15 13:35:27"
"7437","27300","2008-09-15 13:44:43"
"7491","35713","2008-09-15 13:50:58"
"7512","34218","2008-09-15 13:52:47"
"7552","193498","2008-09-15 13:57:22"
"7583","17023","2008-09-15 14:00:32"
"7613","13217","2008-09-15 14:03:54"
"7618","4138","2008-09-15 14:04:45"
"7675","13058","2008-09-15 14:12:11"
"7679","14555","2008-09-15 14:12:36"
"7714","122540","2008-09-15 14:17:08"
"7872","42416","2008-09-15 14:35:34"
