id,view_count
"5509","1943"
"16473","6124"
"19773","1557"
"20047","28428"
"20386","14113"
"20510","3070"
"25730","103378"
"33529","100795"
"34512","114708"
"36877","110592"
"40119","144294"
"44080","1209"
"47707","3795"
"52566","3264"
"60518","1970"
"62923","2050"
"64432","2963"
"69565","1706"
"76408","6064"
"78900","389"
"89112","2393"
"100832","1417"
"108057","390"
"117461","4671"
"122877","9799"
"124745","36003"
"140365","325"
"146841","864"
"150805","4658"
"153953","6319"
"178876","1760"
"180239","1298"
"191692","246"
"196177","2374"
"199017","4904"
"200786","2675"
"208387","665"
"217113","41285"
"217213","3092"
"218681","5229"
"228476","11737"
"233258","2931"
"239905","4390"
"242629","4151"
"244489","320"
"260192","1933"
"269676","6134"
"270011","908"
"271850","5378"
"273209","34449"
"276087","9605"
"279173","1770"
"280053","11195"
"285392","6567"
"285586","1520"
"287456","1257"
"302357","2281"
"307478","4828"
"312069","35984"
"320636","31604"
"321036","22698"
"321241","12649"
"329775","748"
"332833","635"
"344719","2629"
"346499","570"
"352066","579"
"354035","6427"
"364172","1101"
"367571","5901"
"372933","2009"
"376346","3888"
"391913","27680"
"394836","655"
"394895","1756"
"396100","1149"
"409449","1083"
"413940","2214"
"420599","26132"
"421893","1586"
"423802","1526"
"428478","5513"
"429254","22192"
"432491","2283"
"433700","963"
"443009","400"
"443237","2157"
"444191","8002"
"466601","2472"
"469098","2483"
"470820","1225"
"472700","3676"
"473760","28533"
"475539","1486"
"478242","4190"
"487173","5921"
"487889","2710"
"491527","2490"
"493909","296"
"494327","27562"
"505465","94413"
"507249","2582"
"508398","25859"
"510955","1233"
"511289","2315"
"512371","1898"
"516869","1786"
"517950","2420"
"520107","1053"
"527296","3866"
"528127","2172"
"528405","24070"
"531717","751"
"532346","29391"
"532917","1572"
"533021","2939"
"536432","333"
"537103","1027"
"541620","495"
"554138","10283"
"556616","253"
"560507","1195"
"562617","364"
"562843","369"
"565425","2770"
"580177","3244"
"582663","771"
"585149","1268"
"586759","613"
"595187","2182"
"596057","1102"
"600757","3121"
"611520","4434"
"612964","1468"
"620733","48879"
"626290","2576"
"639034","933"
"641666","2557"
"643122","40714"
"651481","385"
"653012","313"
"656274","2860"
"656583","4254"
"661908","53636"
"664718","330"
"665094","8244"
"666573","1152"
"667177","12976"
