id,view_count
"10","10484"
"32","56058"
"65","2394"
"130","8202"
"213","246"
"215","6082"
"235","5819"
"238","425"
"278","6785"
"378","6548"
"448","1907"
"465","1337"
"477","1681"
"589","1388"
"600","8449"
"603","350"
"667","389"
"730","6851"
"878","785"
"1080","1235"
"1274","740"
"1281","2243"
"1283","351"
"1310","8707"
"1327","2526"
"1537","8214"
"1774","857"
"1782","324"
"1793","5656"
"1812","245"
"2070","4247"
"2113","8988"
"2174","855"
"2231","41251"
"2452","2090"
"2658","713"
"2740","973"
"2770","554"
"2826","3230"
"2874","1112"
"2918","1174"
"3078","2697"
"3129","2608"
"3144","5354"
"3246","750"
"3290","10365"
"3416","2957"
"3488","4768"
"3493","1182"
"3574","4045"
"3592","64538"
"3611","48885"
"3664","4649"
"3681","1785"
"3727","5614"
"3945","750"
"4016","10269"
"4143","5563"
"4210","240"
"4256","1245"
"4313","779"
"4410","723"
"4533","3402"
"4699","2704"
"4767","852"
"4910","749"
"4925","3340"
"5043","457"
"5044","2062"
"5085","16826"
"5175","5559"
"5366","535"
"5502","507"
"5523","232"
"5526","1579"
"5613","2534"
"5762","448"
"5812","85"
"5833","437"
"5857","440"
"5951","7828"
"6562","696"
"6569","4350"
"6587","1020"
"6620","560"
"6641","608"
"6868","2573"
"6918","3208"
"6919","31899"
"6940","468"
"6944","1466"
"7024","3790"
"7181","1290"
"7236","613"
"7261","6811"
"7280","2986"
"7431","630"
"7587","15462"
"7595","365"
"7726","2467"
"7833","1282"
"7840","1502"
"7944","6073"
"7967","626"
"8028","8689"
"8072","26780"
"8085","320"
"8206","341"
"8220","4374"
"8225","5452"
"8277","1584"
"8316","1505"
"8417","5965"
"8518","752"
"8534","752"
"8638","583"
"8695","963"
"8786","3549"
"8829","865"
"8919","1434"
"9011","75831"
"9031","2803"
"9115","3612"
"9119","422"
"9192","6129"
"9372","2901"
"9402","920"
"9415","6828"
"9603","370"
"9663","21046"
"9708","7638"
"9932","426"
"9974","433"
"10044","1029"
"10219","178"
"10227","34108"
"10228","1392"
"10404","6916"
"10452","78204"
"10454","1749"
"10634","2724"
"10867","321"
"10962","1339"
"10989","10923"
"11083","5176"
"11112","847"
"11141","139"
"11233","4830"
"11272","460"
"11299","666"
"11309","4146"
"11391","12192"
"11404","713"
"11441","2223"
"11513","238"
"11532","6430"
"11550","63198"
"11655","1938"
"11875","668"
"11898","2961"
"11912","2958"
"11930","1862"
"12321","293"
"12413","239"
"12415","1131"
"12446","77362"
"12457","18662"
"12479","344"
"12618","660"
"12654","1679"
"12878","343"
"12939","431"
"13194","38219"
"13279","1000"
"13374","2230"
"13551","323"
"13703","1515"
"14098","376"
"14154","568"
"14210","171"
"14286","1824"
"14328","695"
"14396","177"
"14474","757"
"14505","36057"
"14515","7792"
"14613","1481"
"14687","188"
"14735","564"
"15016","1460"
"15038","772"
"15048","1617"
"15058","7782"
"15076","301006"
"15124","221"
"15163","437"
"15255","1085"
"15298","23388"
"15301","2851"
