postid,acceptedanswerid,answer_owner,accountid,topic,score
6753,6755.0,655.0,92852.0,T8,0.23178154230117798
6753,6755.0,655.0,92852.0,T10,0.11070508509874344
6753,6755.0,655.0,92852.0,T12,0.4317077696323395
6753,6755.0,655.0,92852.0,T13,0.13445375859737396
6530,6547.0,971.0,410094.0,T4,0.10890576243400574
6530,6547.0,971.0,410094.0,T11,0.2197844684123993
6530,6547.0,971.0,410094.0,T12,0.4778895676136017
5786,5882.0,971.0,410094.0,T1,0.15241126716136932
5786,5882.0,971.0,410094.0,T5,0.2693255543708801
5786,5882.0,971.0,410094.0,T12,0.5532178282737732
4667,4669.0,665.0,59387.0,T9,0.21376864612102509
4667,4669.0,665.0,59387.0,T12,0.48364049196243286
4667,4669.0,665.0,59387.0,T13,0.12652763724327087
12101,12167.0,971.0,410094.0,T6,0.1662844866514206
12101,12167.0,971.0,410094.0,T7,0.1976833939552307
12101,12167.0,971.0,410094.0,T12,0.28334715962409973
12101,12167.0,971.0,410094.0,T13,0.23500831425189972
11788,11790.0,294.0,17512.0,T4,0.12089603394269943
11788,11790.0,294.0,17512.0,T9,0.26521995663642883
11788,11790.0,294.0,17512.0,T12,0.2849980294704437
11788,11790.0,294.0,17512.0,T13,0.11882462352514267
11737,11738.0,294.0,17512.0,T12,0.8329630494117737
12593,12594.0,294.0,17512.0,T1,0.42031508684158325
12593,12594.0,294.0,17512.0,T12,0.5594269037246704
12729,12730.0,2568.0,207607.0,T7,0.27207645773887634
12729,12730.0,2568.0,207607.0,T9,0.4362558424472809
12729,12730.0,2568.0,207607.0,T13,0.26975372433662415
10277,12166.0,971.0,410094.0,T7,0.21849150955677032
10277,12166.0,971.0,410094.0,T12,0.5102500915527344
9945,10153.0,975.0,61611.0,T7,0.40731340646743774
9945,10153.0,975.0,61611.0,T12,0.4329347014427185
9096,9098.0,665.0,59387.0,T4,0.24904759228229523
9096,9098.0,665.0,59387.0,T11,0.6513034105300903
8865,8869.0,971.0,410094.0,T2,0.7923884391784668
8865,8869.0,971.0,410094.0,T12,0.18468235433101654
18007,18008.0,5400.0,952951.0,T3,0.1294470727443695
