postid,year,tags,topic,score,source,question_label,answer_label
43794,13/10/2013 23:59,flash|macos|malware|virus,0,0.500755727,sse,DC,"DC, Ex"
20951,2/10/2012 10:12,antivirus|malware|virus,0,0.47053352,sse,DC*,Ex
179977,17/02/2018 16:18,malware,0,0.705745935,sse,DH,Co
27769,9/01/2013 16:06,antivirus|virus|virus-removal,0,0.426363885,sse,Co,Ex
192082,22/08/2018 11:04,http|internet|malware|virus|websites,0,0.430358469,sse,DH,DC
180053,19/02/2018 12:54,malware|sms|trojan|virus,0,0.722277224,sse,HT,AT
169133,9/09/2017 18:12,ubuntu|usb-drive|virus|windows,0,0.382770121,sse,DH,Co
60744,10/06/2014 19:38,email|malware,0,0.773502171,sse,Co,"Co, ES"
43794,13/10/2013 23:59,flash|macos|malware|virus,0,0.500755727,sse,DH,"DC, Ex"
19631,2/09/2012 3:33,malware|spyware|virus,0,0.420342684,sse,HT,"AT, ES"
100140,13/09/2015 4:01,malware|spam,0,0.436982781,sse,HT,AT
44997,5/11/2013 20:17,attack-vector|mobile,0,0.337282598,sse,DH,"Co, ES"
70589,13/10/2014 16:40,rootkits|virus|virus-removal,0,0.434642941,sse,HT,"AT, ES"
20871,30/09/2012 19:49,attacks|man-in-the-middle,0,0.260507911,sse,HT,AT
195251,7/10/2018 15:37,backup|encryption|ransomware,0,0.39588505,sse,DC,"Co, ES"
14465,1/05/2012 13:44,detection|virus|webserver,0,0.397136211,sse,HT,"AT, ES"
196600,29/10/2018 4:21,malware|rootkits|spyware|ssd,0,0.46135062,sse,Co*,"DC, Ex"
106188,22/11/2015 15:27,virus|windows,0,0.458366096,sse,DC,"Ex, ES"
130358,18/07/2016 8:27,malware,0,0.533025265,sse,HT,"AT, Ex, ES"
214683,5/08/2019 12:47,antimalware|antivirus|malware|virus,0,0.633795857,sse,Co,"DC, ES"
135155,28/08/2016 12:10,antivirus,0,0.33570087,sse,DH,"Ex, CS"
122576,7/05/2016 17:33,javascript|malware|virus,0,0.446285069,sse,Co,"Ex, ES"
116093,29/02/2016 22:57,drive-by-download|php|spoofing|webserver,0,0.356843591,sse,DC,Ex
2552,15/03/2011 13:50,malware|virus,0,0.612806737,sse,HT,DC
76577,21/12/2014 5:32,antimalware|antivirus,0,0.46875,sse,DH,"Ex, ES"
226556,2020,virus windows-server,0,0.442049623,sse,DH,"DC, Ex, ES"
233432,2020,ransomware virtualization vmware,0,0.378097057,sse,DH,"Co, Ex"
126458,8/06/2016 12:34,dvwa,1,0.53417486,sse,HT,ES
74060,1/12/2014 16:31,sql-injection|web-application,1,0.617311895,sse,DH,"Co, Ex, Er"
194877,1/10/2018 19:33,javascript|sql-injection,1,0.498802125,sse,Re,"DC, Ex"
186756,30/05/2018 13:21,php|sql-injection,1,0.537262797,sse,DH,"AT, CS, ES"
